Isotope      A            Z            YIELD 
Sm51         151          62           0.00000E+00  
Sm52         152          62           5.99960E-11  
Sm53         153          62           0.00000E+00  
Sm54         154          62           3.03050E-12  
Eu51         151          63           1.07230E-11  
Eu52         152          63           0.00000E+00  
Eu53         153          63           1.03140E-11  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           2.96810E-12  
Gd53         153          64           0.00000E+00  
Gd54         154          64           2.46660E-11  
Gd55         155          64           1.37040E-11  
Gd56         156          64           5.65200E-11  
Gd57         157          64           2.61190E-11  
Gd58         158          64           1.09980E-10  
Gd59         159          64           0.00000E+00  
Gd60         160          64           9.25550E-13  
Tb59         159          65           2.31290E-11  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           3.87130E-11  
Dy61         161          66           1.60050E-11  
Dy62         162          66           7.79960E-11  
Dy63         163          66           2.42090E-11  
Dy64         164          66           1.42870E-10  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           0.00000E+00  
Ho64         164          67           0.00000E+00  
Ho65         165          67           3.03630E-11  
Ho66         166          67           0.00000E+00  
Er64         164          68           1.07640E-11  
Er65         165          68           0.00000E+00  
Er66         166          68           6.13340E-11  
Er67         167          68           2.60690E-11  
Er68         168          68           1.05840E-10  
Er69         169          68           0.00000E+00  
Er70         170          68           6.41550E-12  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           2.53760E-11  
Tm70         170          69           0.00000E+00  
Tm71         171          69           0.00000E+00  
Tm72         172          69           0.00000E+00  
Tm73         173          69           0.00000E+00  
Yb70         170          70           3.82630E-11  
Yb71         171          70           3.43500E-11  
Yb72         172          70           1.08150E-10  
Yb73         173          70           4.79130E-11  
Yb74         174          70           2.23630E-10  
Yb75         175          70           0.00000E+00  
Yb76         176          70           4.17920E-12  
Yb77         177          70           0.00000E+00  
Lu75         175          71           2.91740E-11  
Lu76         176          71           4.43010E-12  
Lu77         177          71           0.00000E+00  
Hf76         176          72           4.23890E-11  
Hf77         177          72           2.31640E-11  
Hf78         178          72           1.07880E-10  
Hf79         179          72           3.58590E-11  
Hf80         180          72           1.99700E-10  
Hf81         181          72           0.00000E+00  
Hf82         182          72           2.25460E-12  
Hf83         183          72           0.00000E+00  
Hf84         184          72           0.00000E+00  
Ta79         179          73           0.00000E+00  
Ta80         180          73           0.00000E+00  
Ta81         181          73           3.89550E-11  
Ta82         182          73           0.00000E+00  
Ta83         183          73           0.00000E+00  
Ta84         184          73           0.00000E+00  
W180         180          74           0.00000E+00  
W181         181          74           0.00000E+00  
W182         182          74           1.01930E-10  
W183         183          74           5.56380E-11  
W184         184          74           1.45830E-10  
W185         185          74           0.00000E+00  
W186         186          74           2.02040E-11  
W187         187          74           0.00000E+00  
W188         188          74           0.00000E+00  
Re85         185          75           2.55210E-11  
Re86         186          75           0.00000E+00  
Re87         187          75           -4.69290E-11 
Re88         188          75           0.00000E+00  
