isotope,a,z,yield,mass,metallicity,irv,mass_ej,massfrac,ysign
Si28,28.0,14.0,0.00094883,2.0,0.014,60.0,1.3820999999999999,0.0006865132768974749,1.0
Si29,29.0,14.0,4.997e-05,2.0,0.014,60.0,1.3820999999999999,3.6155126257144925e-05,1.0
Si30,30.0,14.0,3.4445e-05,2.0,0.014,60.0,1.3820999999999999,2.49222198104334e-05,1.0
Si31,31.0,14.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Si32,32.0,14.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
P31,31.0,15.0,9.0839e-06,2.0,0.014,60.0,1.3820999999999999,6.572534548874901e-06,1.0
P32,32.0,15.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
P33,33.0,15.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
S32,32.0,16.0,0.00049848,2.0,0.014,60.0,1.3820999999999999,0.00036066854786194924,1.0
S33,33.0,16.0,4.1341e-06,2.0,0.014,60.0,1.3820999999999999,2.9911728529049997e-06,1.0
S34,34.0,16.0,2.367e-05,2.0,0.014,60.0,1.3820999999999999,1.7126112437594966e-05,1.0
S35,35.0,16.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
S36,36.0,16.0,1.1747e-07,2.0,0.014,60.0,1.3820999999999999,8.49938499384994e-08,1.0
Cl35,35.0,17.0,5.0946e-06,2.0,0.014,60.0,1.3820999999999999,3.686129802474496e-06,1.0
Cl36,36.0,17.0,1.4318e-09,2.0,0.014,60.0,1.3820999999999999,1.0359597713624196e-09,1.0
Cl37,37.0,17.0,1.9751e-06,2.0,0.014,60.0,1.3820999999999999,1.4290572317487881e-06,1.0
Ar36,36.0,18.0,0.00011407,2.0,0.014,60.0,1.3820999999999999,8.253382533825339e-05,1.0
Ar37,37.0,18.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ar38,38.0,18.0,2.2103e-05,2.0,0.014,60.0,1.3820999999999999,1.5992330511540413e-05,1.0
Ar39,39.0,18.0,2.491e-12,2.0,0.014,60.0,1.3820999999999999,1.8023297880037626e-12,1.0
Ar40,40.0,18.0,4.869e-08,2.0,0.014,60.0,1.3820999999999999,3.522899934881702e-08,1.0
Ar41,41.0,18.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ar42,42.0,18.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
K39,39.0,19.0,4.7736e-06,2.0,0.014,60.0,1.3820999999999999,3.453874538745388e-06,1.0
K40,40.0,19.0,1.2819e-08,2.0,0.014,60.0,1.3820999999999999,9.275016279574562e-09,1.0
K41,41.0,19.0,3.9376e-07,2.0,0.014,60.0,1.3820999999999999,2.8489979017437237e-07,1.0
K42,42.0,19.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
K43,43.0,19.0,0.0,2.0,0.014,60.0,1.3820999999999999,0.0,0.0
Ca40,40.0,20.0,8.5591e-05,2.0,0.014,60.0,1.3820999999999999,6.192822516460459e-05,1.0
