elemZ,elemA,elemSymb,TypeII,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
19,41,K,3.6739130434782616e-06,4.427536231884059e-06,3.5e-07,3.9347826086956525e-06,3.27536231884058e-06,2.623188405797101e-06,3.7681159420289863e-06,3.0797101449275365e-06
20,40,Ca,0.004181159420289854,0.008623188405797103,0.013115942028985509,0.022463768115942032,0.017608695652173913,0.013623188405797104,0.023043478260869568,0.017246376811594206
20,42,Ca,3.065217391304348e-05,2.043478260869565e-05,7.681159420289856e-09,2.239130434782609e-05,1.847826086956522e-05,1.3985507246376813e-05,2.1521739130434784e-05,1.710144927536232e-05
20,43,Ca,7.826086956521741e-07,6.985507246376812e-08,4.4710144927536237e-08,4.782608695652174e-08,1.6086956521739132e-07,3.028985507246377e-07,3.731884057971015e-08,2.144927536231884e-07
20,44,Ca,4.007246376811594e-05,5.8115942028985515e-06,1.0000000000000003e-05,1.0434782608695653e-05,2.1376811594202898e-05,3.3768115942028994e-05,9.927536231884058e-06,2.623188405797102e-05
20,46,Ca,1.0362318840579713e-10,3.014492753623189e-09,7.318840579710144e-10,3.630434782608696e-09,3.4275362318840584e-09,3.239130434782609e-09,6.369565217391304e-10,8.55072463768116e-10
20,48,Ca,3.8623188405797096e-14,1.884057971014493e-09,1.7898550724637684e-09,1.1811594202898553e-06,1.1884057971014494e-06,1.1231884057971015e-06,2.5652173913043483e-11,3.572463768115942e-10
21,45,Sc,1.6594202898550726e-07,1.601449275362319e-07,2.7898550724637682e-08,1.8043478260869568e-07,1.5144927536231886e-07,1.27536231884058e-07,1.789855072463768e-07,1.463768115942029e-07
22,46,Ti,5.420289855072464e-06,9.637681159420292e-06,2.528985507246377e-07,9.710144927536232e-06,8.115942028985508e-06,6.217391304347826e-06,9.202898550724636e-06,7.608695652173912e-06
22,47,Ti,1.5289855072463768e-06,3.695652173913044e-07,2.956521739130435e-07,4.094202898550725e-07,1.1304347826086958e-06,1.8623188405797103e-06,3.572463768115942e-07,1.4130434782608697e-06
22,48,Ti,8.405797101449276e-05,0.00014855072463768116,0.00022681159420289852,0.0005144927536231882,0.0004427536231884059,0.0003789855072463769,0.0005304347826086957,0.00044927536231884063
22,49,Ti,4.333333333333334e-06,1.239130434782609e-05,2.130434782608696e-06,3.8188405797101455e-05,3.1811594202898546e-05,2.6014492753623192e-05,3.782608695652174e-05,3.0217391304347827e-05
22,50,Ti,2.760869565217392e-10,7.7536231884058e-05,7.536231884057973e-05,0.000255072463768116,0.00025434782608695647,0.00025434782608695647,1.5072463768115945e-05,5.27536231884058e-05
23,50,V,5.253623188405797e-10,1.1231884057971016e-08,8.840579710144928e-09,7.0579710144927545e-09,6.760869565217392e-09,6.572463768115942e-09,3.579710144927537e-09,8.695652173913043e-09
23,51,V,7.246376811594203e-06,5.4275362318840584e-05,3.094202898550725e-05,9.637681159420292e-05,8.405797101449276e-05,7.391304347826088e-05,8.043478260869567e-05,7.898550724637682e-05
24,50,Cr,3.36231884057971e-05,0.00019782608695652175,4.818840579710146e-05,0.0003217391304347827,0.00025579710144927535,0.00020579710144927533,0.00032536231884057974,0.0002434782608695652
24,52,Cr,0.0008333333333333334,0.004608695652173913,0.0056014492753623185,0.012173913043478259,0.00992753623188406,0.00818840579710145,0.011956521739130435,0.010144927536231885
24,53,Cr,8.623188405797102e-05,0.0006681159420289857,0.0004101449275362319,0.0012028985507246382,0.0010000000000000002,0.0008478260869565218,0.0011521739130434785,0.0009637681159420289
24,54,Cr,1.6884057971014496e-08,0.0006695652173913044,0.0006550724637681161,0.0011594202898550727,0.0011594202898550727,0.0011594202898550727,0.0001673913043478261,0.000581159420289855
