Isotope      A            Z            YIELD 
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           9.15140E-12  
Gd53         153          64           0.00000E+00  
Gd54         154          64           4.63760E-11  
Gd55         155          64           2.28730E-10  
Gd56         156          64           3.37290E-10  
Gd57         157          64           2.49100E-10  
Gd58         158          64           4.22170E-10  
Gd59         159          64           0.00000E+00  
Gd60         160          64           3.55030E-10  
Tb59         159          65           2.82180E-10  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           5.84540E-11  
Dy61         161          66           3.52450E-10  
Dy62         162          66           5.11160E-10  
Dy63         163          66           4.71060E-10  
Dy64         164          66           5.79900E-10  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           6.29100E-13  
Ho64         164          67           0.00000E+00  
Ho65         165          67           4.44050E-10  
Ho66         166          67           0.00000E+00  
Er64         164          68           2.68280E-11  
Er65         165          68           0.00000E+00  
Er66         166          68           4.51190E-10  
Er67         167          68           2.99070E-10  
Er68         168          68           3.81110E-10  
Er69         169          68           0.00000E+00  
Er70         170          68           2.08480E-10  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           1.91970E-10  
Tm70         170          69           0.00000E+00  
Tm71         171          69           0.00000E+00  
Tm72         172          69           0.00000E+00  
Tm73         173          69           0.00000E+00  
Yb70         170          70           5.02410E-11  
Yb71         171          70           1.93980E-10  
Yb72         172          70           3.07780E-10  
Yb73         173          70           2.20240E-10  
Yb74         174          70           4.69980E-10  
Yb75         175          70           0.00000E+00  
Yb76         176          70           1.82860E-10  
Yb77         177          70           0.00000E+00  
Lu75         175          71           1.85790E-10  
Lu76         176          71           6.36060E-12  
Lu77         177          71           0.00000E+00  
Hf76         176          72           5.85050E-11  
Hf77         177          72           1.71160E-10  
Hf78         178          72           2.77500E-10  
Hf79         179          72           1.33170E-10  
Hf80         180          72           3.72920E-10  
Hf81         181          72           0.00000E+00  
Hf82         182          72           4.65120E-12  
Hf83         183          72           0.00000E+00  
Hf84         184          72           0.00000E+00  
Ta79         179          73           0.00000E+00  
Ta80         180          73           0.00000E+00  
Ta81         181          73           1.23380E-10  
Ta82         182          73           0.00000E+00  
Ta83         183          73           0.00000E+00  
Ta84         184          73           0.00000E+00  
W180         180          74           8.23260E-13  
W181         181          74           0.00000E+00  
W182         182          74           2.04020E-10  
W183         183          74           1.14650E-10  
W184         184          74           2.50470E-10  
W185         185          74           0.00000E+00  
W186         186          74           2.24160E-10  
W187         187          74           0.00000E+00  
W188         188          74           0.00000E+00  
Re85         185          75           1.15470E-10  
Re86         186          75           0.00000E+00  
Re87         187          75           1.79980E-10  
Re88         188          75           0.00000E+00  
Re89         189          75           0.00000E+00  
Os86         186          76           7.03100E-11  
Os87         187          76           7.03470E-11  
Os88         188          76           5.40630E-10  
Os89         189          76           6.14050E-10  
Os90         190          76           1.06840E-09  
Os91         191          76           0.00000E+00  
Os92         192          76           1.62280E-09  
Os93         193          76           0.00000E+00  
Os94         194          76           0.00000E+00  
Ir91         191          77           1.35510E-09  
Ir92         192          77           0.00000E+00  
Ir93         193          77           2.32020E-09  
Ir94         194          77           0.00000E+00  
Ir95         195          77           0.00000E+00  
Pt92         192          78           1.12850E-10  
Pt93         193          78           0.00000E+00  
Pt94         194          78           2.70700E-09  
Pt95         195          78           2.67460E-09  
Pt96         196          78           2.13270E-09  
Pt97         197          78           0.00000E+00  
Pt98         198          78           5.85960E-10  
Au97         197          79           1.16950E-09  
Au98         198          79           0.00000E+00  
Au99         199          79           0.00000E+00  
Hg98         198          80           3.18560E-10  
Hg99         199          80           4.44760E-10  
Hg00         200          80           6.54790E-10  
Hg01         201          80           3.62490E-10  
Hg02         202          80           8.74380E-10  
Hg03         203          80           0.00000E+00  
Hg04         204          80           1.84210E-10  
Tl03         203          81           3.90820E-10  
Tl04         204          81           0.00000E+00  
Tl05         205          81           8.72660E-10  
Pb04         204          82           4.57060E-10  
Pb05         205          82           2.36800E-11  
Pb06         206          82           4.48540E-09  
Pb07         207          82           5.04610E-09  
Pb08         208          82           2.70900E-08  
Pb09         209          82           0.00000E+00  
Pb10         210          82           0.00000E+00  
Bi09         209          83           1.24160E-09  
Bi10         210          83           0.00000E+00  
Po10         210          84           0.00000E+00  
