 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
Mg25   12   25  1.1620E+01  1.5146E+01  1.4012E+01  2.2867E+01  4.1896E+01  7.0281E+01  4.5101E+01  2.8084E+02  8.6126E+02  1.9535E+02  5.3529E+03  8.8533E+03  8.0318E-04  1.0386E-03  9.5176E-04  2.7772E-04  4.9632E-04  8.2975E-04  5.5068E-05  3.1326E-04  1.0026E-03  2.3788E-05  6.2866E-04  1.0479E-03  1.1620E+01  2.2868E+01  4.5113E+01  1.9561E+02  8.0319E-04  2.7773E-04  5.5082E-05  2.3820E-05  7.3269E-05  1.3028E-05  1.3028E-06  1.3028E-07
Mg26   12   26  9.7822E+00  1.2376E+01  1.2632E+01  2.0715E+01  3.3079E+01  7.7994E+01  4.5383E+01  1.3038E+02  8.9951E+02  2.5106E+02  1.4849E+03  5.3205E+03  7.7425E-04  9.7177E-04  9.8240E-04  2.8807E-04  4.4870E-04  1.0543E-03  6.3447E-05  1.6651E-04  1.1989E-03  3.5004E-05  1.9968E-04  7.2107E-04  9.7824E+00  2.0716E+01  4.5387E+01  2.5112E+02  7.7426E-04  2.8808E-04  6.3453E-05  3.5013E-05  8.3896E-05  1.4917E-05  1.4917E-06  1.4917E-07
Al27   13   27  9.6334E+00  8.6959E+00  9.4746E+00  5.2909E+01  6.1607E+01  6.2736E+01  2.6196E+02  3.6458E+02  5.7114E+02  1.8441E+03  2.9508E+03  5.3012E+03  5.0912E-04  4.5592E-04  4.9203E-04  2.7627E-04  3.1379E-04  3.1845E-04  1.3752E-04  1.7484E-04  2.8585E-04  9.6545E-05  1.4900E-04  2.6978E-04  9.6333E+00  5.2909E+01  2.6197E+02  1.8441E+03  5.0912E-04  2.7627E-04  1.3752E-04  9.6548E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
Si28   14   28  1.6353E+01  2.2658E+01  2.3425E+01  7.9593E+01  1.1629E+02  1.3621E+02  6.6058E+02  1.2468E+03  1.5103E+03  6.7626E+03  1.1920E+04  1.1157E+04  9.4907E-03  1.3045E-02  1.3359E-02  1.1732E-02  1.6720E-02  1.9516E-02  9.7886E-03  1.6878E-02  2.1338E-02  9.9939E-03  1.6990E-02  1.6027E-02  1.6353E+01  7.9595E+01  6.6061E+02  6.7629E+03  9.4909E-03  1.1732E-02  9.7890E-03  9.9943E-03  6.1519E-04  1.5811E-04  1.5811E-05  1.5811E-06
Si29   14   29  8.1068E+00  9.7182E+00  1.0864E+01  1.5510E+01  2.1512E+01  3.0537E+01  5.8514E+01  1.1974E+02  2.4022E+02  4.1395E+02  9.7639E+02  2.2110E+03  2.4744E-04  2.9426E-04  3.2583E-04  1.2022E-04  1.6265E-04  2.3010E-04  4.5599E-05  8.5246E-05  1.7848E-04  3.2171E-05  7.3187E-05  1.6703E-04  8.1069E+00  1.5510E+01  5.8517E+01  4.1398E+02  2.4744E-04  1.2022E-04  4.5601E-05  3.2173E-05  3.2353E-05  8.3150E-06  8.3150E-07  8.3150E-08
Si30   14   30  1.3957E+01  1.7885E+01  2.1262E+01  2.9844E+01  4.3899E+01  6.0748E+01  8.5357E+01  1.9939E+02  4.5799E+02  4.4183E+02  1.4935E+03  4.6223E+03  2.9051E-04  3.6931E-04  4.3486E-04  1.5776E-04  2.2635E-04  3.1215E-04  4.5361E-05  9.6801E-05  2.3204E-04  2.3416E-05  7.6341E-05  2.3813E-04  1.3957E+01  2.9845E+01  8.5363E+01  4.4188E+02  2.9051E-04  1.5776E-04  4.5364E-05  2.3419E-05  2.2063E-05  5.6703E-06  5.6703E-07  5.6703E-08
P31    15   31  1.3469E+01  1.7785E+01  1.9630E+01  7.9006E+01  1.1472E+02  1.6786E+02  3.0796E+02  6.5487E+02  1.3950E+03  2.1791E+03  5.0878E+03  1.1582E+04  7.4539E-05  9.7638E-05  1.0675E-04  4.3198E-05  6.1182E-05  8.9222E-05  1.6928E-05  3.2886E-05  7.3107E-05  1.1946E-05  2.6900E-05  6.1719E-05  1.3469E+01  7.9008E+01  3.0798E+02  2.1793E+03  7.4540E-05  4.3199E-05  1.6929E-05  1.1947E-05  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
S32    16   32  1.6022E+01  2.3505E+01  2.4545E+01  8.8931E+01  1.5014E+02  1.9498E+02  7.1491E+02  1.6695E+03  2.1445E+03  8.2076E+03  1.5556E+04  1.3562E+04  4.4559E-03  6.4851E-03  6.7078E-03  5.4707E-03  9.0093E-03  1.1660E-02  4.4214E-03  9.4324E-03  1.2645E-02  5.0623E-03  9.2538E-03  8.1312E-03  1.6022E+01  8.8934E+01  7.1496E+02  8.2080E+03  4.4560E-03  5.4709E-03  4.4217E-03  5.0625E-03  2.9480E-04  6.5989E-05  6.5989E-06  6.5989E-07
S33    16   33  1.5834E+01  2.2942E+01  2.5303E+01  4.9675E+01  7.4346E+01  1.1524E+02  2.5651E+02  6.2646E+02  9.7983E+02  2.4559E+03  5.1411E+03  7.1351E+03  3.6357E-05  5.2259E-05  5.7090E-05  2.5230E-05  3.6832E-05  5.6896E-05  1.3097E-05  2.9222E-05  4.7699E-05  1.2506E-05  2.5250E-05  3.5319E-05  1.5834E+01  4.9677E+01  2.5653E+02  2.4560E+03  3.6358E-05  2.5231E-05  1.3098E-05  1.2507E-05  2.4339E-06  5.4482E-07  5.4482E-08  5.4482E-09
S34    16   34  1.9251E+01  2.9193E+01  3.1880E+01  3.9462E+01  5.7671E+01  1.5223E+02  1.1475E+02  2.7110E+02  1.1174E+03  7.9803E+02  2.3610E+03  7.2740E+03  2.5708E-04  3.8674E-04  4.1833E-04  1.1656E-04  1.6616E-04  4.3711E-04  3.4074E-05  7.3545E-05  3.1636E-04  2.3634E-05  6.7437E-05  2.0940E-04  1.9251E+01  3.9463E+01  1.1475E+02  7.9811E+02  2.5708E-04  1.1656E-04  3.4076E-05  2.3636E-05  1.4155E-05  3.1685E-06  3.1685E-07  3.1685E-08
S36    16   36  4.8310E+00  5.4177E+00  8.8454E+00  3.0199E+00  4.5843E+00  1.2519E+01  1.5435E+00  4.2137E+00  3.8459E+01  1.8401E+00  9.8604E+00  9.2041E+02  3.1846E-07  3.5429E-07  5.7295E-07  4.4034E-08  6.5201E-08  1.7744E-07  2.2625E-09  5.6428E-09  5.3749E-08  2.6901E-10  1.3903E-09  1.3080E-07  4.8311E+00  3.0200E+00  1.5436E+00  1.8405E+00  3.1846E-07  4.4035E-08  2.2627E-09  2.6907E-10  6.9873E-08  1.5641E-08  1.5641E-09  1.5641E-10
