  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
H       1    1  6.0014E-01  5.0259E-01  4.9394E-01  4.6764E-01  4.3100E-01  4.2592E-01  4.1238E-01  4.0434E-01  3.8820E-01
H2      1    2  6.3702E-13  4.1796E-11  4.8286E-08  8.2815E-07  2.8689E-07  7.7310E-06  1.2304E-04  2.1496E-04  7.8087E-04
He3     2    3  6.8794E-01  5.4995E-01  4.9800E-01  4.4569E-01  3.9347E-01  3.5040E-01  3.2811E-01  2.7509E-01  3.0219E-01
He4     2    4  1.3569E+00  1.1936E+00  1.3743E+00  1.3892E+00  1.3749E+00  1.4684E+00  1.5244E+00  1.5586E+00  1.9119E+00
Li6     3    6  3.9608E-04  5.6294E-04  1.1231E-03  1.4619E-03  1.5837E-03  1.8626E-03  2.3715E-03  1.1671E-03  1.4848E-03
Li7     3    7  6.4250E-04  9.6254E-04  1.7783E-03  2.4364E-03  2.3993E-03  2.5809E-03  3.9445E-03  1.8446E-03  1.8539E-03
Be9     4    9  1.0436E-03  1.4951E-03  2.7644E-03  4.0502E-03  4.0475E-03  3.7400E-03  4.2411E-03  2.4539E-03  2.5409E-03
B10     5   10  1.6162E-03  2.2522E-03  4.0607E-03  5.9991E-03  6.2096E-03  5.0792E-03  6.0948E-03  3.5306E-03  3.3453E-03
B11     5   11  7.8257E-02  6.6430E-02  5.9941E-02  5.2701E-02  4.8453E-02  4.9284E-02  5.2996E-02  4.4604E-02  5.5812E-02
C12     6   12  1.4323E+01  1.0989E+01  2.7083E+01  2.7247E+01  2.5851E+01  2.5791E+01  2.5541E+01  2.5716E+01  2.0490E+01
C13     6   13  3.1459E+00  1.8691E+00  4.5716E+00  3.9259E+00  3.3850E+00  2.7667E+00  1.5821E+00  1.1790E+00  7.1560E-01
N14     7   14  5.1694E+00  4.1820E+00  5.6008E+00  5.5072E+00  5.5966E+00  6.2576E+00  6.2018E+00  6.4069E+00  7.1281E+00
N15     7   15  1.0337E+00  9.1193E-01  3.0481E-01  1.8498E-01  1.3723E-01  1.3775E-01  1.4070E-01  1.3302E-01  1.5786E-01
O16     8   16  2.0884E+01  2.3699E+01  2.6105E+01  2.8165E+01  3.2205E+01  3.0255E+01  3.0160E+01  3.0607E+01  2.1483E+01
O17     8   17  2.3743E+00  1.4688E+00  1.7887E+00  1.4476E+00  6.9020E-01  5.8107E-01  3.7667E-01  3.9204E-01  3.8269E-01
O18     8   18  7.2959E+00  4.9043E-01  3.1432E-01  2.7619E-01  2.4944E-01  1.9370E-01  1.8316E-01  1.5534E-01  2.1629E-01
F19     9   19  2.6036E+00  9.0780E+01  1.2868E+01  1.3933E+00  5.9330E-01  6.4627E-01  7.3083E-01  3.8032E-01  4.5480E-01
Ne20   10   20  2.6982E+00  3.7001E+00  5.3770E+00  1.3842E+01  3.3139E+01  2.6162E+01  2.1438E+01  1.5230E+01  8.0276E+00
Ne21   10   21  7.1884E+00  1.1609E+01  1.2547E+01  1.1517E+01  1.5923E+01  1.6578E+01  1.4366E+01  1.3176E+01  7.7559E+00
Ne22   10   22  2.2067E+01  2.3717E+01  1.6997E+01  1.8585E+01  1.5280E+01  1.1803E+01  1.2067E+01  1.4619E+01  1.3480E+01
Na23   11   23  4.5737E+00  4.3931E+00  5.9853E+00  1.1000E+01  2.6633E+01  2.4148E+01  1.6702E+01  9.6636E+00  6.8432E+00
Mg24   12   24  2.2663E+00  2.0651E+00  3.7829E+00  7.9890E+00  1.0849E+01  7.9985E+00  8.1548E+00  7.3526E+00  5.7044E+00
Mg25   12   25  5.2685E+00  1.2759E+01  1.0396E+01  1.1291E+01  1.8400E+01  1.8480E+01  1.9507E+01  1.8563E+01  1.3707E+01
Mg26   12   26  4.8191E+00  8.6621E+00  8.0547E+00  8.9037E+00  1.6279E+01  1.6158E+01  1.6622E+01  1.4657E+01  1.0793E+01
Al27   13   27  2.9581E+00  2.8346E+00  4.5443E+00  1.0411E+01  1.6609E+01  1.3594E+01  1.0651E+01  7.4509E+00  4.4905E+00
Si28   14   28  2.7550E+01  1.2667E+01  3.8502E+01  3.1624E+01  1.7797E+01  1.7964E+01  2.0301E+01  2.2009E+01  1.6275E+01
Si29   14   29  7.2136E+00  7.0819E+00  1.0361E+01  1.1498E+01  1.1233E+01  1.0204E+01  9.9911E+00  9.7924E+00  8.0310E+00
Si30   14   30  1.6020E+01  1.3454E+01  1.7743E+01  2.8602E+01  1.9259E+01  1.6128E+01  1.6131E+01  1.7778E+01  1.6572E+01
P31    15   31  1.4089E+01  1.2505E+01  2.1402E+01  2.3106E+01  1.8658E+01  1.7917E+01  1.7457E+01  1.8224E+01  1.2993E+01
S32    16   32  3.3474E+01  1.1978E+01  4.1815E+01  3.0691E+01  1.6665E+01  1.8713E+01  2.1546E+01  2.3373E+01  1.6388E+01
