 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Sc   21    0  1.3188E+01  1.7637E+01  1.9627E+01  3.4943E+01  6.1721E+01  6.6218E+01  4.5356E+01  2.6280E+02  2.4513E+02  4.7078E+02  8.0925E+02  3.9458E+03  5.8224E-07  7.7248E-07  8.5142E-07  1.5242E-07  2.6259E-07  2.8077E-07  1.9890E-08  1.0528E-07  1.0248E-07  2.0588E-08  3.4132E-08  1.6773E-07  1.3188E+01  3.4944E+01  4.5367E+01  4.7079E+02  5.8225E-07  1.5243E-07  1.9894E-08  2.0589E-08  4.6794E-08  4.6788E-09  4.6788E-10  4.6788E-11
  Ti   22    0  4.0973E+00  5.3728E+00  5.9839E+00  1.6261E+01  2.4183E+01  4.0713E+01  1.2283E+02  2.1798E+02  3.4261E+02  1.3852E+03  2.0120E+03  2.1119E+03  1.2154E-05  1.5811E-05  1.7441E-05  9.5085E-06  1.3793E-05  2.3142E-05  7.2209E-06  1.1706E-05  1.9202E-05  8.1207E-06  1.1376E-05  1.2035E-05  4.0974E+00  1.6261E+01  1.2284E+02  1.3852E+03  1.2154E-05  9.5087E-06  7.2212E-06  8.1209E-06  3.1440E-06  6.2722E-07  6.2722E-08  6.2722E-09
  V    23    0  5.8520E+00  1.1409E+01  1.1862E+01  3.3568E+01  4.6553E+01  8.8513E+01  1.6159E+02  2.7284E+02  6.8098E+02  1.4574E+03  1.9390E+03  6.0501E+03  1.7643E-06  3.4123E-06  3.5139E-06  9.9989E-07  1.3525E-06  2.5628E-06  4.8390E-07  7.4636E-07  1.9441E-06  4.3524E-07  5.5846E-07  1.7563E-06  5.8523E+00  3.3569E+01  1.6160E+02  1.4574E+03  1.7644E-06  9.9991E-07  4.8391E-07  4.3525E-07  3.1954E-07  3.1950E-08  3.1950E-09  3.1950E-10
  Cr   24    0  7.0931E+00  1.3624E+01  1.2032E+01  7.2412E+01  9.9790E+01  1.0399E+02  6.4735E+02  9.6743E+02  1.0508E+03  7.1843E+03  9.6326E+03  9.5113E+03  1.1195E-04  2.1332E-04  1.8658E-04  1.1292E-04  1.5177E-04  1.5763E-04  1.0148E-04  1.3854E-04  1.5704E-04  1.1232E-04  1.4524E-04  1.4454E-04  7.0934E+00  7.2414E+01  6.4737E+02  7.1844E+03  1.1196E-04  1.1292E-04  1.0148E-04  1.1232E-04  1.6728E-05  1.6726E-06  1.6726E-07  1.6726E-08
  Mn   25    0  5.9458E+00  1.7823E+01  1.3940E+01  3.9222E+01  5.3878E+01  7.8518E+01  2.3624E+02  3.6375E+02  7.4664E+02  2.1779E+03  2.8920E+03  6.9653E+03  6.1137E-05  1.8181E-04  1.4083E-04  3.9843E-05  5.3383E-05  7.7532E-05  2.4126E-05  3.3934E-05  7.2695E-05  2.2181E-05  2.8406E-05  6.8954E-05  5.9465E+00  3.9223E+01  2.3625E+02  2.1779E+03  6.1144E-05  3.9844E-05  2.4126E-05  2.2181E-05  1.0898E-05  1.0896E-06  1.0896E-07  1.0896E-08
  Fe   26    0  3.3005E+00  5.6388E+00  4.6748E+00  2.3505E+01  2.4901E+01  2.8731E+01  2.1346E+02  2.3463E+02  2.8069E+02  2.1119E+03  2.2279E+03  2.6393E+03  4.0533E-03  6.8699E-03  5.6407E-03  2.8519E-03  2.9468E-03  3.3885E-03  2.6037E-03  2.6144E-03  3.2640E-03  2.5690E-03  2.6137E-03  3.1208E-03  3.3006E+00  2.3506E+01  2.1346E+02  2.1119E+03  4.0534E-03  2.8519E-03  2.6037E-03  2.5690E-03  1.3016E-03  1.3014E-04  1.3014E-05  1.3014E-06
  Co   27    0  6.7233E+00  6.2336E+01  7.0079E+00  7.6560E+00  5.7859E+00  6.4436E+00  2.7682E+01  1.4591E+01  2.6779E+01  1.2410E+02  2.1146E+01  1.3670E+02  2.6925E-05  2.4766E-04  2.7574E-05  3.0292E-06  2.2329E-06  2.4783E-06  1.1011E-06  5.3018E-07  1.0155E-06  4.9230E-07  8.0901E-08  5.2709E-07  6.7262E+00  7.6559E+00  2.7681E+01  1.2410E+02  2.6937E-05  3.0292E-06  1.1011E-06  4.9228E-07  4.2445E-06  4.2440E-07  4.2440E-08  4.2440E-09
  Ni   28    0  4.1010E+00  1.6651E+02  5.8552E+00  1.1090E+01  9.4563E+00  1.8160E+01  6.1638E+01  4.9858E+01  1.4385E+02  4.0660E+02  3.7118E+02  1.5377E+03  2.7777E-04  1.1189E-02  3.8967E-04  7.4216E-05  6.1722E-05  1.1813E-04  4.1467E-05  3.0641E-05  9.2260E-05  2.7280E-05  2.4018E-05  1.0028E-04  4.1096E+00  1.1090E+01  6.1637E+01  4.0660E+02  2.7835E-04  7.4215E-05  4.1466E-05  2.7279E-05  7.1789E-05  7.1779E-06  7.1779E-07  7.1779E-08
  Cu   29    0  3.1279E+01  5.6014E+01  4.3718E+01  3.9832E+01  6.0664E+01  4.9907E+01  2.0362E+01  6.8205E+01  3.6718E+01  2.2376E+01  7.4018E+01  2.9888E+01  2.1407E-05  3.8030E-05  2.9397E-05  2.6933E-06  4.0008E-06  3.2802E-06  1.3841E-07  4.2352E-07  2.3795E-07  1.5169E-08  4.8393E-08  1.9694E-08  3.1280E+01  3.9833E+01  2.0364E+01  2.2379E+01  2.1407E-05  2.6933E-06  1.3842E-07  1.5171E-08  7.2535E-07  7.2526E-08  7.2526E-09  7.2526E-10
  Zn   30    0  1.6698E+01  1.3713E+02  2.5323E+01  3.2101E+01  5.1917E+01  4.6437E+01  1.4672E+01  5.3186E+01  3.8236E+01  4.0752E+01  5.8889E+01  3.7897E+01  2.7569E-05  2.2461E-04  4.1079E-05  5.2364E-06  8.2602E-06  7.3633E-06  2.4061E-07  7.9677E-07  5.9780E-07  6.6649E-08  9.2886E-08  6.0246E-08  1.6704E+01  3.2102E+01  1.4674E+01  4.0753E+01  2.7580E-05  5.2366E-06  2.4064E-07  6.6650E-08  1.7499E-06  1.7497E-07  1.7497E-08  1.7497E-09
