Isotope      A            Z            YIELD [M<sub><font face='Wingdings'>&#164;</font></sub>]
Ir95         195          77           0.00000E+00  
Pt92         192          78           5.49150E-12  
Pt93         193          78           0.00000E+00  
Pt94         194          78           1.01920E-10  
Pt95         195          78           2.18330E-11  
Pt96         196          78           5.91150E-11  
Pt97         197          78           0.00000E+00  
Pt98         198          78           5.31700E-11  
Au97         197          79           2.62840E-11  
Au98         198          79           0.00000E+00  
Au99         199          79           0.00000E+00  
Hg98         198          80           3.14830E-11  
Hg99         199          80           3.67000E-11  
Hg00         200          80           9.84330E-11  
Hg01         201          80           4.07570E-11  
Hg02         202          80           1.68310E-10  
Hg03         203          80           0.00000E+00  
Hg04         204          80           1.11130E-10  
Tl03         203          81           8.45090E-11  
Tl04         204          81           0.00000E+00  
Tl05         205          81           1.58540E-10  
Pb04         204          82           4.49750E-11  
Pb05         205          82           6.42820E-12  
Pb06         206          82           1.18420E-09  
Pb07         207          82           1.28020E-09  
Pb08         208          82           1.49490E-08  
Pb09         209          82           0.00000E+00  
Pb10         210          82           0.00000E+00  
Bi09         209          83           3.17090E-10  
Bi10         210          83           0.00000E+00  
Po10         210          84           0.00000E+00  
