Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Yb71,17.0,70.0,6.9896e-10,2.0,0.01,0.0
Yb72,17.0,70.0,1.7809e-09,2.0,0.01,0.0
Yb73,17.0,70.0,8.9597e-10,2.0,0.01,0.0
Yb74,17.0,70.0,3.6939e-09,2.0,0.01,0.0
Yb75,17.0,70.0,0.0,2.0,0.01,0.0
Yb76,17.0,70.0,2.8861e-10,2.0,0.01,0.0
Yb77,17.0,70.0,0.0,2.0,0.01,0.0
Lu75,17.0,71.0,6.133e-10,2.0,0.01,0.0
Lu76,17.0,71.0,8.4247e-11,2.0,0.01,0.0
Lu77,17.0,71.0,0.0,2.0,0.01,0.0
Hf76,17.0,72.0,6.348e-10,2.0,0.01,0.0
Hf77,17.0,72.0,4.992e-10,2.0,0.01,0.0
Hf78,17.0,72.0,1.8437e-09,2.0,0.01,0.0
Hf79,17.0,72.0,6.639e-10,2.0,0.01,0.0
Hf80,18.0,72.0,3.3391e-09,2.0,0.01,0.0
Hf81,18.0,72.0,0.0,2.0,0.01,0.0
Hf82,18.0,72.0,5.9393e-11,2.0,0.01,0.0
Hf83,18.0,72.0,0.0,2.0,0.01,0.0
Hf84,18.0,72.0,0.0,2.0,0.01,0.0
Ta79,17.0,73.0,0.0,2.0,0.01,0.0
Ta80,18.0,73.0,1.0916e-13,2.0,0.01,0.0
Ta81,18.0,73.0,7.2358e-10,2.0,0.01,0.0
Ta82,18.0,73.0,0.0,2.0,0.01,0.0
Ta83,18.0,73.0,0.0,2.0,0.01,0.0
Ta84,18.0,73.0,0.0,2.0,0.01,0.0
W180,18.0,74.0,7.2265e-13,2.0,0.01,0.0
W181,18.0,74.0,0.0,2.0,0.01,0.0
W182,18.0,74.0,1.5844e-09,2.0,0.01,0.0
W183,18.0,74.0,9.6546e-10,2.0,0.01,0.0
W184,18.0,74.0,2.4587e-09,2.0,0.01,0.0
W185,18.0,74.0,0.0,2.0,0.01,0.0
W186,18.0,74.0,6.993e-10,2.0,0.01,0.0
W187,18.0,74.0,0.0,2.0,0.01,0.0
W188,18.0,74.0,0.0,2.0,0.01,0.0
Re85,18.0,75.0,5.2415e-10,2.0,0.01,0.0
Re86,18.0,75.0,0.0,2.0,0.01,0.0
Re87,18.0,75.0,2.4107e-10,2.0,0.01,0.0
Re88,18.0,75.0,0.0,2.0,0.01,0.0
Re89,18.0,75.0,0.0,2.0,0.01,0.0
Os86,18.0,76.0,9.1965e-10,2.0,0.01,0.0
Os87,18.0,76.0,3.5428e-10,2.0,0.01,0.0
Os88,18.0,76.0,1.5522e-09,2.0,0.01,0.0
Os89,18.0,76.0,8.4382e-10,2.0,0.01,0.0
Os90,19.0,76.0,2.3801e-09,2.0,0.01,0.0
Os91,19.0,76.0,0.0,2.0,0.01,0.0
Os92,19.0,76.0,1.5666e-09,2.0,0.01,0.0
Os93,19.0,76.0,0.0,2.0,0.01,0.0
Os94,19.0,76.0,0.0,2.0,0.01,0.0
Ir91,19.0,77.0,1.5193e-09,2.0,0.01,0.0
Ir92,19.0,77.0,0.0,2.0,0.01,0.0
Ir93,19.0,77.0,2.4048e-09,2.0,0.01,0.0
Ir94,19.0,77.0,0.0,2.0,0.01,0.0
Ir95,19.0,77.0,0.0,2.0,0.01,0.0
Pt92,19.0,78.0,6.4933e-10,2.0,0.01,0.0
Pt93,19.0,78.0,0.0,2.0,0.01,0.0
Pt94,19.0,78.0,4.0629e-09,2.0,0.01,0.0
Pt95,19.0,78.0,3.0271e-09,2.0,0.01,0.0
Pt96,19.0,78.0,4.4966e-09,2.0,0.01,0.0
Pt97,19.0,78.0,0.0,2.0,0.01,0.0
Pt98,19.0,78.0,5.4109e-10,2.0,0.01,0.0
Au97,19.0,79.0,1.7341e-09,2.0,0.01,0.0
Au98,19.0,79.0,0.0,2.0,0.01,0.0
Au99,19.0,79.0,0.0,2.0,0.01,0.0
Hg98,19.0,80.0,2.4359e-09,2.0,0.01,0.0
Hg99,19.0,80.0,1.3469e-09,2.0,0.01,0.0
Hg00,20.0,80.0,3.7832e-09,2.0,0.01,0.0
Hg01,20.0,80.0,1.6349e-09,2.0,0.01,0.0
Hg02,20.0,80.0,6.0439e-09,2.0,0.01,0.0
Hg03,20.0,80.0,0.0,2.0,0.01,0.0
Hg04,20.0,80.0,1.7197e-10,2.0,0.01,0.0
Tl03,20.0,81.0,2.6835e-09,2.0,0.01,0.0
Tl04,20.0,81.0,0.0,2.0,0.01,0.0
Tl05,20.0,81.0,6.6048e-09,2.0,0.01,0.0
Pb04,20.0,82.0,4.2052e-09,2.0,0.01,0.0
Pb05,20.0,82.0,2.8826e-10,2.0,0.01,0.0
Pb06,20.0,82.0,2.1821e-08,2.0,0.01,0.0
Pb07,20.0,82.0,2.4964e-08,2.0,0.01,0.0
Pb08,20.0,82.0,5.1194e-08,2.0,0.01,0.0
Pb09,20.0,82.0,0.0,2.0,0.01,0.0
Pb10,21.0,82.0,0.0,2.0,0.01,0.0
Bi09,20.0,83.0,1.0404e-09,2.0,0.01,0.0
Bi10,21.0,83.0,0.0,2.0,0.01,0.0
Po10,21.0,84.0,0.0,2.0,0.01,0.0
H,1.0,1.0,0.93708,2.0,0.014,30.0
He4,4.0,2.0,0.39494,2.0,0.014,30.0
C12,12.0,6.0,0.008025,2.0,0.014,30.0
C13,13.0,6.0,8.8435e-05,2.0,0.014,30.0
C14,14.0,6.0,1.4528e-10,2.0,0.014,30.0
N14,14.0,7.0,0.0022901,2.0,0.014,30.0
N15,15.0,7.0,1.9217e-06,2.0,0.014,30.0
O16,16.0,8.0,0.0082382,2.0,0.014,30.0
O17,17.0,8.0,3.5448e-05,2.0,0.014,30.0
O18,18.0,8.0,1.3079e-05,2.0,0.014,30.0
F18,18.0,9.0,0.0,2.0,0.014,30.0
F19,19.0,9.0,1.4819e-06,2.0,0.014,30.0
Ne20,20.0,10.0,0.0014503,2.0,0.014,30.0
Ne21,21.0,10.0,3.7171e-06,2.0,0.014,30.0
Ne22,22.0,10.0,0.00072019,2.0,0.014,30.0
Na22,22.0,11.0,0.0,2.0,0.014,30.0
Na23,23.0,11.0,6.6309e-05,2.0,0.014,30.0
Na24,24.0,11.0,0.0,2.0,0.014,30.0
Mg24,24.0,12.0,0.00073464,2.0,0.014,30.0
Mg25,25.0,12.0,9.6228e-05,2.0,0.014,30.0
Mg26,26.0,12.0,0.00011208,2.0,0.014,30.0
Al26,26.0,13.0,2.7452e-07,2.0,0.014,30.0
Al27,27.0,13.0,8.2947e-05,2.0,0.014,30.0
Si28,28.0,14.0,0.00094347,2.0,0.014,30.0
Si29,29.0,14.0,4.9693e-05,2.0,0.014,30.0
Si30,30.0,14.0,3.4281e-05,2.0,0.014,30.0
Si31,31.0,14.0,0.0,2.0,0.014,30.0
Si32,32.0,14.0,0.0,2.0,0.014,30.0
P31,31.0,15.0,9.0362e-06,2.0,0.014,30.0
P32,32.0,15.0,0.0,2.0,0.014,30.0
P33,33.0,15.0,0.0,2.0,0.014,30.0
S32,32.0,16.0,0.00049565,2.0,0.014,30.0
S33,33.0,16.0,4.1125e-06,2.0,0.014,30.0
S34,34.0,16.0,2.3557e-05,2.0,0.014,30.0
S35,35.0,16.0,0.0,2.0,0.014,30.0
S36,36.0,16.0,1.1726e-07,2.0,0.014,30.0
Cl35,35.0,17.0,5.0659e-06,2.0,0.014,30.0
Cl36,36.0,17.0,1.3142e-09,2.0,0.014,30.0
Cl37,37.0,17.0,1.9485e-06,2.0,0.014,30.0
Ar36,36.0,18.0,0.00011343,2.0,0.014,30.0
Ar37,37.0,18.0,0.0,2.0,0.014,30.0
Ar38,38.0,18.0,2.1978e-05,2.0,0.014,30.0
Ar39,39.0,18.0,2.4893e-12,2.0,0.014,30.0
Ar40,40.0,18.0,4.9467e-08,2.0,0.014,30.0
Ar41,41.0,18.0,0.0,2.0,0.014,30.0
Ar42,42.0,18.0,0.0,2.0,0.014,30.0
K39,39.0,19.0,4.745e-06,2.0,0.014,30.0
K40,40.0,19.0,1.245e-08,2.0,0.014,30.0
K41,41.0,19.0,3.9213e-07,2.0,0.014,30.0
K42,42.0,19.0,0.0,2.0,0.014,30.0
K43,43.0,19.0,0.0,2.0,0.014,30.0
Ca40,40.0,20.0,8.5106e-05,2.0,0.014,30.0
Ca41,41.0,20.0,3.7507e-09,2.0,0.014,30.0
Ca42,42.0,20.0,6.2127e-07,2.0,0.014,30.0
Ca43,43.0,20.0,1.3202e-07,2.0,0.014,30.0
Ca44,44.0,20.0,2.0371e-06,2.0,0.014,30.0
Ca45,45.0,20.0,0.0,2.0,0.014,30.0
Ca46,46.0,20.0,4.449e-09,2.0,0.014,30.0
Ca47,47.0,20.0,0.0,2.0,0.014,30.0
Ca48,48.0,20.0,1.9745e-07,2.0,0.014,30.0
Sc45,45.0,21.0,5.9057e-08,2.0,0.014,30.0
Sc46,46.0,21.0,0.0,2.0,0.014,30.0
Sc47,47.0,21.0,0.0,2.0,0.014,30.0
Sc48,48.0,21.0,0.0,2.0,0.014,30.0
Sc49,49.0,21.0,0.0,2.0,0.014,30.0
Ti46,46.0,22.0,3.3838e-07,2.0,0.014,30.0
Ti47,47.0,22.0,3.0569e-07,2.0,0.014,30.0
Ti48,48.0,22.0,3.0839e-06,2.0,0.014,30.0
Ti49,49.0,22.0,2.4796e-07,2.0,0.014,30.0
Ti50,50.0,22.0,2.5341e-07,2.0,0.014,30.0
V50,50.0,23.0,1.3034e-09,2.0,0.014,30.0
V51,51.0,23.0,5.359e-07,2.0,0.014,30.0
Cr50,50.0,24.0,1.0366e-06,2.0,0.014,30.0
Cr51,51.0,24.0,0.0,2.0,0.014,30.0
Cr52,52.0,24.0,2.093e-05,2.0,0.014,30.0
Cr53,53.0,24.0,2.415e-06,2.0,0.014,30.0
Cr54,54.0,24.0,6.597e-07,2.0,0.014,30.0
Mn55,55.0,25.0,1.8422e-05,2.0,0.014,30.0
Mn56,56.0,25.0,0.0,2.0,0.014,30.0
Fe54,54.0,26.0,9.9679e-05,2.0,0.014,30.0
Fe55,55.0,26.0,1.553e-12,2.0,0.014,30.0
Fe56,56.0,26.0,0.0016299,2.0,0.014,30.0
Fe57,57.0,26.0,3.9941e-05,2.0,0.014,30.0
Fe58,58.0,26.0,7.0896e-06,2.0,0.014,30.0
Fe59,59.0,26.0,0.0,2.0,0.014,30.0
Fe60,60.0,26.0,1.5205e-08,2.0,0.014,30.0
Co59,59.0,27.0,5.2886e-06,2.0,0.014,30.0
Co60,60.0,27.0,0.0,2.0,0.014,30.0
Ni58,58.0,28.0,6.8531e-05,2.0,0.014,30.0
Ni59,59.0,28.0,2.2431e-08,2.0,0.014,30.0
Ni60,60.0,28.0,2.7761e-05,2.0,0.014,30.0
Ni61,61.0,28.0,1.3724e-06,2.0,0.014,30.0
Ni62,62.0,28.0,4.2388e-06,2.0,0.014,30.0
Ni63,63.0,28.0,8.9323e-13,2.0,0.014,30.0
Ni64,64.0,28.0,1.3018e-06,2.0,0.014,30.0
Ni65,65.0,28.0,0.0,2.0,0.014,30.0
Ni66,66.0,28.0,0.0,2.0,0.014,30.0
Cu63,63.0,29.0,9.4252e-07,2.0,0.014,30.0
Cu64,64.0,29.0,0.0,2.0,0.014,30.0
Cu65,65.0,29.0,4.7549e-07,2.0,0.014,30.0
Cu66,66.0,29.0,0.0,2.0,0.014,30.0
Cu67,67.0,29.0,0.0,2.0,0.014,30.0
Zn64,64.0,30.0,1.4747e-06,2.0,0.014,30.0
Zn65,65.0,30.0,0.0,2.0,0.014,30.0
Zn66,66.0,30.0,9.4145e-07,2.0,0.014,30.0
Zn67,67.0,30.0,1.4728e-07,2.0,0.014,30.0
Zn68,68.0,30.0,6.9782e-07,2.0,0.014,30.0
Zn69,69.0,30.0,0.0,2.0,0.014,30.0
Zn70,70.0,30.0,1.9851e-08,2.0,0.014,30.0
Ga69,69.0,31.0,7.5668e-08,2.0,0.014,30.0
Ga70,70.0,31.0,0.0,2.0,0.014,30.0
Ga71,71.0,31.0,6.015e-08,2.0,0.014,30.0
Ga72,72.0,31.0,0.0,2.0,0.014,30.0
Ga73,73.0,31.0,0.0,2.0,0.014,30.0
Ge70,70.0,32.0,1.0242e-07,2.0,0.014,30.0
Ge71,71.0,32.0,0.0,2.0,0.014,30.0
Ge72,72.0,32.0,1.2718e-07,2.0,0.014,30.0
Ge73,73.0,32.0,3.5693e-08,2.0,0.014,30.0
Ge74,74.0,32.0,1.6819e-07,2.0,0.014,30.0
Ge75,75.0,32.0,0.0,2.0,0.014,30.0
Ge76,76.0,32.0,2.4681e-08,2.0,0.014,30.0
Ge77,77.0,32.0,0.0,2.0,0.014,30.0
As75,75.0,33.0,2.1081e-08,2.0,0.014,30.0
As76,76.0,33.0,0.0,2.0,0.014,30.0
As77,77.0,33.0,0.0,2.0,0.014,30.0
Se76,76.0,34.0,3.5557e-08,2.0,0.014,30.0
Se77,77.0,34.0,2.1621e-08,2.0,0.014,30.0
Se78,78.0,34.0,7.2107e-08,2.0,0.014,30.0
Se79,79.0,34.0,3.4024e-09,2.0,0.014,30.0
Se80,80.0,34.0,1.4719e-07,2.0,0.014,30.0
Se81,81.0,34.0,0.0,2.0,0.014,30.0
Se82,82.0,34.0,1.6601e-08,2.0,0.014,30.0
Br79,79.0,35.0,2.0665e-08,2.0,0.014,30.0
Br80,80.0,35.0,0.0,2.0,0.014,30.0
Br81,81.0,35.0,2.5054e-08,2.0,0.014,30.0
Br82,82.0,35.0,0.0,2.0,0.014,30.0
Br83,83.0,35.0,0.0,2.0,0.014,30.0
Br84,84.0,35.0,0.0,2.0,0.014,30.0
Kr80,80.0,36.0,8.6578e-09,2.0,0.014,30.0
Kr81,81.0,36.0,8.9928e-10,2.0,0.014,30.0
Kr82,82.0,36.0,5.1581e-08,2.0,0.014,30.0
Kr83,83.0,36.0,2.9769e-08,2.0,0.014,30.0
Kr84,84.0,36.0,1.576e-07,2.0,0.014,30.0
Kr85,85.0,36.0,0.0,2.0,0.014,30.0
Kr86,86.0,36.0,3.5e-08,2.0,0.014,30.0
Kr87,87.0,36.0,0.0,2.0,0.014,30.0
Kr88,88.0,36.0,0.0,2.0,0.014,30.0
Rb85,85.0,37.0,2.4899e-08,2.0,0.014,30.0
Rb86,86.0,37.0,0.0,2.0,0.014,30.0
Rb87,87.0,37.0,7.1567e-09,2.0,0.014,30.0
Rb88,88.0,37.0,0.0,2.0,0.014,30.0
Sr86,86.0,38.0,3.8514e-08,2.0,0.014,30.0
Sr87,87.0,38.0,2.594e-08,2.0,0.014,30.0
Sr88,88.0,38.0,3.7172e-07,2.0,0.014,30.0
Sr89,89.0,38.0,0.0,2.0,0.014,30.0
Sr90,90.0,38.0,0.0,2.0,0.014,30.0
Sr91,91.0,38.0,0.0,2.0,0.014,30.0
Sr92,92.0,38.0,0.0,2.0,0.014,30.0
Y89,89.0,39.0,7.1654e-08,2.0,0.014,30.0
Y90,90.0,39.0,0.0,2.0,0.014,30.0
Y91,91.0,39.0,0.0,2.0,0.014,30.0
Y92,92.0,39.0,0.0,2.0,0.014,30.0
Y93,93.0,39.0,0.0,2.0,0.014,30.0
Zr90,90.0,40.0,7.6324e-08,2.0,0.014,30.0
Zr91,91.0,40.0,1.7448e-08,2.0,0.014,30.0
Zr92,92.0,40.0,2.7101e-08,2.0,0.014,30.0
Zr93,93.0,40.0,5.9835e-09,2.0,0.014,30.0
Zr94,94.0,40.0,3.3696e-08,2.0,0.014,30.0
Zr95,95.0,40.0,0.0,2.0,0.014,30.0
Zr96,96.0,40.0,1.3007e-09,2.0,0.014,30.0
Zr97,97.0,40.0,0.0,2.0,0.014,30.0
Nb93,93.0,41.0,3.5388e-09,2.0,0.014,30.0
Nb94,94.0,41.0,0.0,2.0,0.014,30.0
Nb95,95.0,41.0,0.0,2.0,0.014,30.0
Nb96,96.0,41.0,0.0,2.0,0.014,30.0
Nb97,97.0,41.0,0.0,2.0,0.014,30.0
Mo92,92.0,42.0,1.3908e-09,2.0,0.014,30.0
Mo93,93.0,42.0,0.0,2.0,0.014,30.0
Mo94,94.0,42.0,1.0727e-09,2.0,0.014,30.0
Mo95,95.0,42.0,4.1349e-09,2.0,0.014,30.0
Mo96,96.0,42.0,7.1445e-09,2.0,0.014,30.0
Mo97,97.0,42.0,2.8412e-09,2.0,0.014,30.0
Mo98,98.0,42.0,9.2051e-09,2.0,0.014,30.0
Mo99,99.0,42.0,0.0,2.0,0.014,30.0
Mo00,10.0,42.0,1.023e-09,2.0,0.014,30.0
Tc97,97.0,43.0,5.4445e-13,2.0,0.014,30.0
Tc98,98.0,43.0,1.0262e-13,2.0,0.014,30.0
Tc99,99.0,43.0,3.8376e-10,2.0,0.014,30.0
Ru96,96.0,44.0,3.4825e-10,2.0,0.014,30.0
Ru97,97.0,44.0,0.0,2.0,0.014,30.0
Ru98,98.0,44.0,1.2079e-10,2.0,0.014,30.0
Ru99,99.0,44.0,1.373e-09,2.0,0.014,30.0
Ru00,10.0,44.0,4.2037e-09,2.0,0.014,30.0
Ru01,10.0,44.0,1.8572e-09,2.0,0.014,30.0
Ru02,10.0,44.0,5.782e-09,2.0,0.014,30.0
Ru03,10.0,44.0,0.0,2.0,0.014,30.0
Ru04,10.0,44.0,1.3306e-09,2.0,0.014,30.0
Ru05,10.0,44.0,0.0,2.0,0.014,30.0
Ru06,10.0,44.0,0.0,2.0,0.014,30.0
Rh03,10.0,45.0,2.1116e-09,2.0,0.014,30.0
Rh05,10.0,45.0,0.0,2.0,0.014,30.0
Pd04,10.0,46.0,3.0964e-09,2.0,0.014,30.0
Pd05,10.0,46.0,1.8728e-09,2.0,0.014,30.0
Pd06,10.0,46.0,4.4224e-09,2.0,0.014,30.0
Pd07,10.0,46.0,5.5322e-10,2.0,0.014,30.0
Pd08,10.0,46.0,5.0411e-09,2.0,0.014,30.0
Pd09,10.0,46.0,0.0,2.0,0.014,30.0
Pd10,11.0,46.0,7.0848e-10,2.0,0.014,30.0
Ag07,10.0,47.0,9.9196e-10,2.0,0.014,30.0
Ag09,10.0,47.0,1.8297e-09,2.0,0.014,30.0
Ag11,11.0,47.0,0.0,2.0,0.014,30.0
Cd08,10.0,48.0,7.0181e-11,2.0,0.014,30.0
Cd09,10.0,48.0,0.0,2.0,0.014,30.0
Cd10,11.0,48.0,3.7467e-09,2.0,0.014,30.0
Cd11,11.0,48.0,1.7987e-09,2.0,0.014,30.0
Cd12,11.0,48.0,5.1231e-09,2.0,0.014,30.0
Cd13,11.0,48.0,1.8301e-09,2.0,0.014,30.0
Cd14,11.0,48.0,6.8991e-09,2.0,0.014,30.0
Cd15,11.0,48.0,0.0,2.0,0.014,30.0
Cd16,11.0,48.0,5.5646e-10,2.0,0.014,30.0
In13,11.0,49.0,3.1585e-11,2.0,0.014,30.0
In15,11.0,49.0,1.7088e-09,2.0,0.014,30.0
Sn14,11.0,50.0,1.0093e-10,2.0,0.014,30.0
Sn15,11.0,50.0,5.2404e-11,2.0,0.014,30.0
Sn16,11.0,50.0,8.9388e-09,2.0,0.014,30.0
Sn17,11.0,50.0,3.2068e-09,2.0,0.014,30.0
Sn18,11.0,50.0,1.2287e-08,2.0,0.014,30.0
Sn19,11.0,50.0,3.9217e-09,2.0,0.014,30.0
Sn20,12.0,50.0,1.7722e-08,2.0,0.014,30.0
Sn21,12.0,50.0,0.0,2.0,0.014,30.0
Sn22,12.0,50.0,8.0161e-10,2.0,0.014,30.0
Sn23,12.0,50.0,0.0,2.0,0.014,30.0
Sn24,12.0,50.0,9.6957e-10,2.0,0.014,30.0
Sb21,12.0,51.0,1.765e-09,2.0,0.014,30.0
Sb22,12.0,51.0,0.0,2.0,0.014,30.0
Sb23,12.0,51.0,6.8379e-10,2.0,0.014,30.0
Sb24,12.0,51.0,0.0,2.0,0.014,30.0
Sb25,12.0,51.0,0.0,2.0,0.014,30.0
Te22,12.0,52.0,2.135e-09,2.0,0.014,30.0
Te23,12.0,52.0,7.6691e-10,2.0,0.014,30.0
Te24,12.0,52.0,4.135e-09,2.0,0.014,30.0
Te25,12.0,52.0,2.5844e-09,2.0,0.014,30.0
Te26,12.0,52.0,9.6993e-09,2.0,0.014,30.0
Te27,12.0,52.0,0.0,2.0,0.014,30.0
Te28,12.0,52.0,7.6242e-09,2.0,0.014,30.0
Te30,13.0,52.0,7.6483e-09,2.0,0.014,30.0
I127,12.0,53.0,5.2915e-09,2.0,0.014,30.0
I128,12.0,53.0,0.0,2.0,0.014,30.0
I129,12.0,53.0,1.2148e-11,2.0,0.014,30.0
I130,13.0,53.0,0.0,2.0,0.014,30.0
I131,13.0,53.0,0.0,2.0,0.014,30.0
I132,13.0,53.0,0.0,2.0,0.014,30.0
I133,13.0,53.0,0.0,2.0,0.014,30.0
Xe28,12.0,54.0,2.2879e-09,2.0,0.014,30.0
Xe29,12.0,54.0,7.5391e-09,2.0,0.014,30.0
Xe30,13.0,54.0,4.7406e-09,2.0,0.014,30.0
Xe31,13.0,54.0,6.5163e-09,2.0,0.014,30.0
Xe32,13.0,54.0,1.3255e-08,2.0,0.014,30.0
Xe33,13.0,54.0,0.0,2.0,0.014,30.0
Xe34,13.0,54.0,2.5567e-09,2.0,0.014,30.0
Xe35,13.0,54.0,0.0,2.0,0.014,30.0
Xe36,13.0,54.0,2.0981e-09,2.0,0.014,30.0
Cs33,13.0,55.0,2.5997e-09,2.0,0.014,30.0
Cs34,13.0,55.0,0.0,2.0,0.014,30.0
Cs35,13.0,55.0,1.7459e-10,2.0,0.014,30.0
Cs36,13.0,55.0,0.0,2.0,0.014,30.0
Cs37,13.0,55.0,0.0,2.0,0.014,30.0
Ba34,13.0,56.0,2.9149e-09,2.0,0.014,30.0
Ba35,13.0,56.0,2.2995e-09,2.0,0.014,30.0
Ba36,13.0,56.0,7.5593e-09,2.0,0.014,30.0
Ba37,13.0,56.0,6.8713e-09,2.0,0.014,30.0
Ba38,13.0,56.0,4.6306e-08,2.0,0.014,30.0
Ba39,13.0,56.0,0.0,2.0,0.014,30.0
Ba40,14.0,56.0,0.0,2.0,0.014,30.0
La39,13.0,57.0,5.5497e-09,2.0,0.014,30.0
La40,14.0,57.0,0.0,2.0,0.014,30.0
Ce40,14.0,58.0,1.2503e-08,2.0,0.014,30.0
Ce41,14.0,58.0,0.0,2.0,0.014,30.0
Ce42,14.0,58.0,6.8553e-10,2.0,0.014,30.0
Ce43,14.0,58.0,0.0,2.0,0.014,30.0
Ce44,14.0,58.0,0.0,2.0,0.014,30.0
Pr41,14.0,59.0,1.4487e-09,2.0,0.014,30.0
Pr42,14.0,59.0,0.0,2.0,0.014,30.0
Pr43,14.0,59.0,0.0,2.0,0.014,30.0
Pr45,14.0,59.0,0.0,2.0,0.014,30.0
Nd42,14.0,60.0,2.7493e-09,2.0,0.014,30.0
Nd43,14.0,60.0,7.3507e-10,2.0,0.014,30.0
Nd44,14.0,60.0,1.6726e-09,2.0,0.014,30.0
Nd45,14.0,60.0,4.7659e-10,2.0,0.014,30.0
Nd46,14.0,60.0,1.3545e-09,2.0,0.014,30.0
Nd47,14.0,60.0,0.0,2.0,0.014,30.0
Nd48,14.0,60.0,2.7279e-10,2.0,0.014,30.0
Nd49,14.0,60.0,0.0,2.0,0.014,30.0
Nd50,15.0,60.0,2.5227e-10,2.0,0.014,30.0
Pm45,14.0,61.0,0.0,2.0,0.014,30.0
Pm46,14.0,61.0,0.0,2.0,0.014,30.0
Pm47,14.0,61.0,0.0,2.0,0.014,30.0
Pm48,14.0,61.0,0.0,2.0,0.014,30.0
Pm49,14.0,61.0,0.0,2.0,0.014,30.0
Pm50,15.0,61.0,0.0,2.0,0.014,30.0
Pm51,15.0,61.0,0.0,2.0,0.014,30.0
Sm44,14.0,62.0,4.1122e-11,2.0,0.014,30.0
Sm45,14.0,62.0,0.0,2.0,0.014,30.0
Sm46,14.0,62.0,0.0,2.0,0.014,30.0
Sm47,14.0,62.0,2.7072e-10,2.0,0.014,30.0
Sm48,14.0,62.0,3.4627e-10,2.0,0.014,30.0
Sm49,14.0,62.0,2.1689e-10,2.0,0.014,30.0
Sm50,15.0,62.0,2.2235e-10,2.0,0.014,30.0
Sm51,15.0,62.0,0.0,2.0,0.014,30.0
Sm52,15.0,62.0,4.6448e-10,2.0,0.014,30.0
Sm53,15.0,62.0,0.0,2.0,0.014,30.0
Sm54,15.0,62.0,3.3232e-10,2.0,0.014,30.0
Eu51,15.0,63.0,2.6373e-10,2.0,0.014,30.0
Eu52,15.0,63.0,0.0,2.0,0.014,30.0
Eu53,15.0,63.0,2.8976e-10,2.0,0.014,30.0
Eu54,15.0,63.0,0.0,2.0,0.014,30.0
Eu55,15.0,63.0,0.0,2.0,0.014,30.0
Eu56,15.0,63.0,0.0,2.0,0.014,30.0
Eu57,15.0,63.0,0.0,2.0,0.014,30.0
Gd52,15.0,64.0,6.2893e-12,2.0,0.014,30.0
Gd53,15.0,64.0,0.0,2.0,0.014,30.0
Gd54,15.0,64.0,6.9286e-11,2.0,0.014,30.0
Gd55,15.0,64.0,2.9273e-10,2.0,0.014,30.0
Gd56,15.0,64.0,4.5577e-10,2.0,0.014,30.0
Gd57,15.0,64.0,3.2908e-10,2.0,0.014,30.0
Gd58,15.0,64.0,6.2559e-10,2.0,0.014,30.0
Gd59,15.0,64.0,0.0,2.0,0.014,30.0
Gd60,16.0,64.0,4.2307e-10,2.0,0.014,30.0
Tb59,15.0,65.0,3.7163e-10,2.0,0.014,30.0
Tb60,16.0,65.0,0.0,2.0,0.014,30.0
Tb61,16.0,65.0,0.0,2.0,0.014,30.0
Dy60,16.0,66.0,1.0609e-10,2.0,0.014,30.0
Dy61,16.0,66.0,4.499e-10,2.0,0.014,30.0
Dy62,16.0,66.0,6.9244e-10,2.0,0.014,30.0
Dy63,16.0,66.0,6.0465e-10,2.0,0.014,30.0
Dy64,16.0,66.0,8.5207e-10,2.0,0.014,30.0
Dy65,16.0,66.0,0.0,2.0,0.014,30.0
Dy66,16.0,66.0,0.0,2.0,0.014,30.0
Ho63,16.0,67.0,1.2708e-13,2.0,0.014,30.0
Ho64,16.0,67.0,0.0,2.0,0.014,30.0
Ho65,16.0,67.0,5.7552e-10,2.0,0.014,30.0
Ho66,16.0,67.0,0.0,2.0,0.014,30.0
Er64,16.0,68.0,4.2312e-11,2.0,0.014,30.0
Er65,16.0,68.0,0.0,2.0,0.014,30.0
Er66,16.0,68.0,5.9817e-10,2.0,0.014,30.0
Er67,16.0,68.0,3.9252e-10,2.0,0.014,30.0
Er68,16.0,68.0,5.797e-10,2.0,0.014,30.0
Er69,16.0,68.0,0.0,2.0,0.014,30.0
Er70,17.0,68.0,2.5115e-10,2.0,0.014,30.0
Er71,17.0,68.0,0.0,2.0,0.014,30.0
Er72,17.0,68.0,0.0,2.0,0.014,30.0
Tm69,16.0,69.0,2.6761e-10,2.0,0.014,30.0
Tm70,17.0,69.0,0.0,2.0,0.014,30.0
Tm71,17.0,69.0,0.0,2.0,0.014,30.0
Tm72,17.0,69.0,0.0,2.0,0.014,30.0
Tm73,17.0,69.0,0.0,2.0,0.014,30.0
Yb70,17.0,70.0,9.8012e-11,2.0,0.014,30.0
Yb71,17.0,70.0,2.764e-10,2.0,0.014,30.0
Yb72,17.0,70.0,4.9402e-10,2.0,0.014,30.0
Yb73,17.0,70.0,3.2401e-10,2.0,0.014,30.0
Yb74,17.0,70.0,8.2896e-10,2.0,0.014,30.0
Yb75,17.0,70.0,0.0,2.0,0.014,30.0
Yb76,17.0,70.0,2.12e-10,2.0,0.014,30.0
Yb77,17.0,70.0,0.0,2.0,0.014,30.0
Lu75,17.0,71.0,2.62e-10,2.0,0.014,30.0
Lu76,17.0,71.0,1.3212e-11,2.0,0.014,30.0
Lu77,17.0,71.0,0.0,2.0,0.014,30.0
