Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Fe60,60.0,26.0,2.0767e-08,2.0,0.014,60.0
Co59,59.0,27.0,5.2949e-06,2.0,0.014,60.0
Co60,60.0,27.0,0.0,2.0,0.014,60.0
Ni58,58.0,28.0,6.8926e-05,2.0,0.014,60.0
Ni59,59.0,28.0,2.5929e-08,2.0,0.014,60.0
Ni60,60.0,28.0,2.7928e-05,2.0,0.014,60.0
Ni61,61.0,28.0,1.3775e-06,2.0,0.014,60.0
Ni62,62.0,28.0,4.2676e-06,2.0,0.014,60.0
Ni63,63.0,28.0,9.2655e-13,2.0,0.014,60.0
Ni64,64.0,28.0,1.3361e-06,2.0,0.014,60.0
Ni65,65.0,28.0,0.0,2.0,0.014,60.0
Ni66,66.0,28.0,0.0,2.0,0.014,60.0
Cu63,63.0,29.0,9.4526e-07,2.0,0.014,60.0
Cu64,64.0,29.0,0.0,2.0,0.014,60.0
Cu65,65.0,29.0,4.9397e-07,2.0,0.014,60.0
Cu66,66.0,29.0,0.0,2.0,0.014,60.0
Cu67,67.0,29.0,0.0,2.0,0.014,60.0
Zn64,64.0,30.0,1.4895e-06,2.0,0.014,60.0
Zn65,65.0,30.0,0.0,2.0,0.014,60.0
Zn66,66.0,30.0,9.669e-07,2.0,0.014,60.0
Zn67,67.0,30.0,1.525e-07,2.0,0.014,60.0
Zn68,68.0,30.0,7.2568e-07,2.0,0.014,60.0
Zn69,69.0,30.0,0.0,2.0,0.014,60.0
Zn70,70.0,30.0,1.9988e-08,2.0,0.014,60.0
Ga69,69.0,31.0,8.027e-08,2.0,0.014,60.0
Ga70,70.0,31.0,0.0,2.0,0.014,60.0
Ga71,71.0,31.0,6.4384e-08,2.0,0.014,60.0
Ga72,72.0,31.0,0.0,2.0,0.014,60.0
Ga73,73.0,31.0,0.0,2.0,0.014,60.0
Ge70,70.0,32.0,1.0987e-07,2.0,0.014,60.0
Ge71,71.0,32.0,0.0,2.0,0.014,60.0
Ge72,72.0,32.0,1.3452e-07,2.0,0.014,60.0
Ge73,73.0,32.0,3.7696e-08,2.0,0.014,60.0
Ge74,74.0,32.0,1.7746e-07,2.0,0.014,60.0
Ge75,75.0,32.0,0.0,2.0,0.014,60.0
Ge76,76.0,32.0,2.4855e-08,2.0,0.014,60.0
Ge77,77.0,32.0,0.0,2.0,0.014,60.0
As75,75.0,33.0,2.1955e-08,2.0,0.014,60.0
As76,76.0,33.0,0.0,2.0,0.014,60.0
As77,77.0,33.0,0.0,2.0,0.014,60.0
Se76,76.0,34.0,3.8518e-08,2.0,0.014,60.0
Se77,77.0,34.0,2.2857e-08,2.0,0.014,60.0
Se78,78.0,34.0,7.6362e-08,2.0,0.014,60.0
Se79,79.0,34.0,3.8935e-09,2.0,0.014,60.0
Se80,80.0,34.0,1.5361e-07,2.0,0.014,60.0
Se81,81.0,34.0,0.0,2.0,0.014,60.0
Se82,82.0,34.0,1.6712e-08,2.0,0.014,60.0
Br79,79.0,35.0,2.1464e-08,2.0,0.014,60.0
Br80,80.0,35.0,0.0,2.0,0.014,60.0
Br81,81.0,35.0,2.6124e-08,2.0,0.014,60.0
Br82,82.0,35.0,0.0,2.0,0.014,60.0
Br83,83.0,35.0,0.0,2.0,0.014,60.0
Br84,84.0,35.0,0.0,2.0,0.014,60.0
Kr80,80.0,36.0,9.2216e-09,2.0,0.014,60.0
Kr81,81.0,36.0,1.0178e-09,2.0,0.014,60.0
Kr82,82.0,36.0,5.5383e-08,2.0,0.014,60.0
Kr83,83.0,36.0,3.1071e-08,2.0,0.014,60.0
Kr84,84.0,36.0,1.6379e-07,2.0,0.014,60.0
Kr85,85.0,36.0,0.0,2.0,0.014,60.0
Kr86,86.0,36.0,3.772e-08,2.0,0.014,60.0
Kr87,87.0,36.0,0.0,2.0,0.014,60.0
Kr88,88.0,36.0,0.0,2.0,0.014,60.0
Rb85,85.0,37.0,2.6179e-08,2.0,0.014,60.0
Rb86,86.0,37.0,0.0,2.0,0.014,60.0
Rb87,87.0,37.0,8.909e-09,2.0,0.014,60.0
Rb88,88.0,37.0,0.0,2.0,0.014,60.0
Sr86,86.0,38.0,3.974e-08,2.0,0.014,60.0
Sr87,87.0,38.0,2.6008e-08,2.0,0.014,60.0
Sr88,88.0,38.0,3.243e-07,2.0,0.014,60.0
Sr89,89.0,38.0,0.0,2.0,0.014,60.0
Sr90,90.0,38.0,0.0,2.0,0.014,60.0
Sr91,91.0,38.0,0.0,2.0,0.014,60.0
Sr92,92.0,38.0,0.0,2.0,0.014,60.0
Y89,89.0,39.0,6.17e-08,2.0,0.014,60.0
Y90,90.0,39.0,0.0,2.0,0.014,60.0
Y91,91.0,39.0,0.0,2.0,0.014,60.0
Y92,92.0,39.0,0.0,2.0,0.014,60.0
Y93,93.0,39.0,0.0,2.0,0.014,60.0
Zr90,90.0,40.0,6.2337e-08,2.0,0.014,60.0
Zr91,91.0,40.0,1.4173e-08,2.0,0.014,60.0
Zr92,92.0,40.0,2.1577e-08,2.0,0.014,60.0
Zr93,93.0,40.0,4.33e-09,2.0,0.014,60.0
Zr94,94.0,40.0,2.5081e-08,2.0,0.014,60.0
Zr95,95.0,40.0,0.0,2.0,0.014,60.0
Zr96,96.0,40.0,1.4368e-09,2.0,0.014,60.0
Zr97,97.0,40.0,0.0,2.0,0.014,60.0
Nb93,93.0,41.0,3.2321e-09,2.0,0.014,60.0
Nb94,94.0,41.0,0.0,2.0,0.014,60.0
Nb95,95.0,41.0,0.0,2.0,0.014,60.0
Nb96,96.0,41.0,0.0,2.0,0.014,60.0
Nb97,97.0,41.0,0.0,2.0,0.014,60.0
