 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Sc   21    0  1.3223E+01  1.7901E+01  1.9706E+01  3.4318E+01  6.1065E+01  6.5633E+01  4.0928E+01  2.5510E+02  2.3152E+02  4.1287E+02  7.0497E+02  3.9944E+03  5.8003E-07  7.6601E-07  8.4697E-07  1.4828E-07  2.5590E-07  2.7447E-07  1.7819E-08  1.0067E-07  9.5191E-08  1.7906E-08  2.9286E-08  1.6768E-07  1.3223E+01  3.4320E+01  4.0939E+01  4.1289E+02  5.8004E-07  1.4829E-07  1.7823E-08  1.7907E-08  4.6794E-08  4.6788E-09  4.6788E-10  4.6788E-11
  Ti   22    0  3.0849E+00  3.9409E+00  4.6673E+00  8.2810E+00  1.2634E+01  3.1473E+01  4.8673E+01  9.3426E+01  2.3366E+02  5.3919E+02  7.2347E+02  1.1861E+03  9.0921E-06  1.1330E-05  1.3478E-05  4.7964E-06  7.0976E-06  1.7644E-05  2.8407E-06  4.9426E-06  1.2879E-05  3.1349E-06  4.0290E-06  6.6745E-06  3.0849E+00  8.2812E+00  4.8675E+01  5.3920E+02  9.0922E-06  4.7966E-06  2.8409E-06  3.1349E-06  3.1440E-06  6.2722E-07  6.2722E-08  6.2722E-09
  V    23    0  2.9706E+00  7.3883E+00  7.8291E+00  1.0053E+01  1.4558E+01  4.6544E+01  3.3115E+01  6.7273E+01  2.9292E+02  2.8974E+02  3.5073E+02  3.0339E+03  8.8983E-07  2.1589E-06  2.2978E-06  2.9661E-07  4.1661E-07  1.3291E-06  9.8451E-08  1.8129E-07  8.2242E-07  8.5810E-08  9.9496E-08  8.6968E-07  2.9708E+00  1.0053E+01  3.3117E+01  2.8974E+02  8.8990E-07  2.9661E-07  9.8455E-08  8.5810E-08  3.1954E-07  3.1950E-08  3.1950E-09  3.1950E-10
  Cr   24    0  2.7705E+00  7.4867E+00  5.8956E+00  1.5036E+01  1.9340E+01  3.2584E+01  1.2766E+02  1.9198E+02  2.9463E+02  1.3945E+03  1.7901E+03  3.1235E+03  4.3446E-05  1.1452E-04  9.0584E-05  2.3224E-05  2.8973E-05  4.8712E-05  1.9869E-05  2.7084E-05  4.3306E-05  2.1621E-05  2.6585E-05  4.6873E-05  2.7708E+00  1.5036E+01  1.2766E+02  1.3945E+03  4.3450E-05  2.3224E-05  1.9869E-05  2.1621E-05  1.6728E-05  1.6726E-06  1.6726E-07  1.6726E-08
  Mn   25    0  2.3779E+00  9.3584E+00  8.9246E+00  7.8141E+00  9.5154E+00  2.4190E+01  4.4617E+01  6.2033E+01  2.3042E+02  3.8700E+02  4.4783E+02  3.0012E+03  2.4293E-05  9.3264E-05  8.9333E-05  7.8626E-06  9.2863E-06  2.3558E-05  4.5237E-06  5.7011E-06  2.2063E-05  3.9088E-06  4.3325E-06  2.9339E-05  2.3783E+00  7.8142E+00  4.4618E+01  3.8701E+02  2.4297E-05  7.8627E-06  4.5238E-06  3.9088E-06  1.0898E-05  1.0896E-06  1.0896E-07  1.0896E-08
  Fe   26    0  3.0949E+00  4.6675E+00  4.4080E+00  2.2441E+01  2.3452E+01  2.5581E+01  2.1260E+02  2.3159E+02  2.5485E+02  2.1184E+03  2.2228E+03  2.4597E+03  3.7763E-03  5.5555E-03  5.2698E-03  2.6969E-03  2.7336E-03  2.9756E-03  2.5745E-03  2.5421E-03  2.9146E-03  2.5556E-03  2.5685E-03  2.8719E-03  3.0950E+00  2.2441E+01  2.1260E+02  2.1185E+03  3.7764E-03  2.6969E-03  2.5745E-03  2.5556E-03  1.3016E-03  1.3014E-04  1.3014E-05  1.3014E-06
  Co   27    0  7.4805E+00  8.3563E+00  8.0394E+00  1.6461E+01  1.6377E+01  1.6562E+01  1.1301E+02  9.4512E+01  1.2357E+02  9.1625E+02  7.8185E+02  8.6671E+02  2.9765E-05  3.2434E-05  3.1342E-05  6.4513E-06  6.2251E-06  6.2824E-06  4.4628E-06  3.3832E-06  4.6087E-06  3.6045E-06  2.9462E-06  3.3002E-06  7.4806E+00  1.6461E+01  1.1301E+02  9.1624E+02  2.9765E-05  6.4513E-06  4.4627E-06  3.6045E-06  4.2445E-06  4.2440E-07  4.2440E-08  4.2440E-09
  Ni   28    0  5.4715E+00  8.3119E+00  7.8232E+00  3.6022E+01  3.8607E+01  4.1179E+01  3.3445E+02  3.6512E+02  3.9308E+02  3.3298E+03  3.4544E+03  3.8236E+03  3.6822E-04  5.4566E-04  5.1584E-04  2.3878E-04  2.4821E-04  2.6418E-04  2.2339E-04  2.2105E-04  2.4794E-04  2.2155E-04  2.2015E-04  2.4624E-04  5.4716E+00  3.6023E+01  3.3446E+02  3.3298E+03  3.6823E-04  2.3878E-04  2.2339E-04  2.2155E-04  7.1789E-05  7.1779E-06  7.1779E-07  7.1779E-08
  Cu   29    0  3.1525E+01  4.4847E+01  4.4195E+01  4.1121E+01  6.2745E+01  5.1490E+01  4.1714E+01  1.2111E+02  5.3049E+01  5.4623E+02  7.3974E+02  1.9706E+02  2.1436E-05  2.9747E-05  2.9444E-05  2.7541E-06  4.0758E-06  3.3378E-06  2.8151E-07  7.4088E-07  3.3810E-07  3.6722E-07  4.7636E-07  1.2823E-07  3.1526E+01  4.1122E+01  4.1717E+01  5.4624E+02  2.1437E-05  2.7542E-06  2.8153E-07  3.6722E-07  7.2535E-07  7.2526E-08  7.2526E-09  7.2526E-10
  Zn   30    0  1.6998E+01  2.6660E+01  2.5818E+01  3.7056E+01  5.8650E+01  5.0747E+01  9.8123E+01  1.5375E+02  8.5972E+01  1.0835E+03  1.0965E+03  5.0411E+02  2.7884E-05  4.2662E-05  4.1496E-05  5.9874E-06  9.1913E-06  7.9362E-06  1.5976E-06  2.2691E-06  1.3219E-06  1.7573E-06  1.7034E-06  7.9136E-07  1.6999E+01  3.7057E+01  9.8126E+01  1.0835E+03  2.7885E-05  5.9876E-06  1.5976E-06  1.7573E-06  1.7499E-06  1.7497E-07  1.7497E-08  1.7497E-09
  Ga   31    0  6.2839E+01  1.0625E+02  1.0646E+02  1.3832E+02  2.5110E+02  2.3968E+02  1.5303E+01  2.0058E+02  2.0078E+02  2.0570E+00  2.4112E+02  1.3851E+02  3.3189E-06  5.4739E-06  5.5091E-06  7.1956E-07  1.2670E-06  1.2068E-06  8.0219E-09  9.5305E-08  9.9396E-08  1.0742E-10  1.2060E-08  7.0004E-09  6.2842E+01  1.3833E+02  1.5312E+01  2.0692E+00  3.3190E-06  7.1959E-07  8.0265E-09  1.0805E-10  5.6340E-08  5.6333E-09  5.6333E-10  5.6333E-11
  Ge   32    0  3.9556E+01  6.8189E+01  6.7376E+01  1.0750E+02  2.0599E+02  2.1215E+02  9.4769E+00  1.6751E+02  1.9869E+02  1.5601E+00  2.1510E+02  1.4102E+02  8.8636E-06  1.4905E-05  1.4792E-05  2.3726E-06  4.4095E-06  4.5318E-06  2.1076E-08  3.3768E-07  4.1729E-07  3.4563E-10  4.5644E-08  3.0240E-08  3.9558E+01  1.0751E+02  9.4845E+00  1.5710E+00  8.8640E-06  2.3727E-06  2.1093E-08  3.4804E-10  2.3903E-07  2.3900E-08  2.3900E-09  2.3900E-10
  As   33    0  7.2272E+01  1.1919E+02  1.1580E+02  1.9324E+02  3.9735E+02  4.0501E+02  8.5568E+00  2.5065E+02  3.4455E+02  1.2935E+00  3.0316E+02  2.3357E+02  7.4634E-07  1.2007E-06  1.1717E-06  1.9656E-07  3.9201E-07  3.9873E-07  8.7704E-10  2.3288E-08  3.3352E-08  1.3207E-11  2.9650E-09  2.3083E-09  7.2274E+01  1.9325E+02  8.5685E+00  1.3089E+00  7.4636E-07  1.9657E-07  8.7823E-10  1.3364E-11  1.1016E-08  1.1015E-09  1.1015E-10  1.1015E-11
  Se   34    0  3.0113E+01  5.5719E+01  5.8493E+01  9.0163E+01  2.0690E+02  2.4725E+02  4.0170E+00  1.4880E+02  2.4415E+02  1.1632E+00  1.9551E+02  1.8534E+02  3.5935E-06  6.4863E-06  6.8392E-06  1.0598E-06  2.3588E-06  2.8129E-06  4.7579E-09  1.5976E-07  2.7311E-07  1.3725E-10  2.2096E-08  2.1166E-08  3.0114E+01  9.0169E+01  4.0239E+00  1.1731E+00  3.5937E-06  1.0599E-06  4.7661E-09  1.3842E-10  1.2730E-07  1.2729E-08  1.2729E-09  1.2729E-10
  Br   35    0  2.5205E+01  4.5634E+01  4.9583E+01  8.1336E+01  1.9895E+02  2.3884E+02  2.9513E+00  1.4154E+02  2.5061E+02  1.0769E+00  1.8216E+02  1.8438E+02  4.8241E-07  8.5200E-07  9.2982E-07  1.5333E-07  3.6377E-07  4.3577E-07  5.6061E-10  2.4371E-08  4.4957E-08  2.0377E-11  3.3017E-09  3.3771E-09  2.5206E+01  8.1342E+01  2.9580E+00  1.0861E+00  4.8243E-07  1.5334E-07  5.6188E-10  2.0552E-11  2.0417E-08  2.0414E-09  2.0414E-10  2.0414E-11
  Kr   36    0  1.6365E+01  3.5462E+01  3.9725E+01  9.1135E+01  2.1242E+02  2.9966E+02  2.8215E+00  1.5889E+02  4.3369E+02  1.1752E+00  2.6807E+02  3.5160E+02  1.6846E-06  3.5610E-06  4.0067E-06  9.2407E-07  2.0891E-06  2.9408E-06  2.8828E-09  1.4716E-07  4.1846E-07  1.1961E-10  2.6134E-08  3.4637E-08  1.6366E+01  9.1141E+01  2.8291E+00  1.1888E+00  1.6847E-06  9.2414E-07  2.8904E-09  1.2100E-10  1.0981E-07  1.0980E-08  1.0980E-09  1.0980E-10
  Rb   37    0  2.5243E+01  5.3115E+01  5.9816E+01  1.1436E+02  3.2668E+02  4.6203E+02  2.3136E+00  2.1293E+02  6.1037E+02  1.1722E+00  2.7527E+02  4.7850E+02  4.9369E-07  1.0134E-06  1.1462E-06  2.2029E-07  6.1035E-07  8.6142E-07  4.4909E-10  3.7465E-08  1.1189E-07  2.2666E-11  5.0984E-09  8.9553E-09  2.5244E+01  1.1437E+02  2.3238E+00  1.1862E+00  4.9372E-07  2.2031E-07  4.5106E-10  2.2936E-11  2.0863E-08  2.0860E-09  2.0860E-10  2.0860E-11
  Sr   38    0  1.6674E+01  3.9111E+01  4.8961E+01  2.3686E+02  4.9249E+02  1.1782E+03  3.8764E+00  3.6231E+02  3.1624E+03  1.4830E+00  8.2263E+02  3.7404E+03  7.4818E-07  1.7120E-06  2.1526E-06  1.0469E-06  2.1112E-06  5.0402E-06  1.7264E-09  1.4626E-07  1.3301E-06  6.5794E-11  3.4958E-08  1.6062E-07  1.6675E+01  2.3688E+02  3.8937E+00  1.5249E+00  7.4824E-07  1.0469E-06  1.7341E-09  6.7650E-11  4.7867E-08  4.7861E-09  4.7861E-10  4.7861E-11
  Y    39    0  9.3017E+00  2.2029E+01  3.2289E+01  1.3143E+02  3.1739E+02  1.1297E+03  2.8009E+00  2.7308E+02  3.7200E+03  1.2425E+00  5.9471E+02  5.1241E+03  9.2656E-08  2.1406E-07  3.1514E-07  1.2896E-07  3.0204E-07  1.0728E-06  2.7691E-10  2.4473E-08  3.4734E-07  1.2238E-11  5.6104E-09  4.8847E-08  9.3023E+00  1.3144E+02  2.8139E+00  1.2728E+00  9.2662E-08  1.2896E-07  2.7820E-10  1.2535E-11  1.0626E-08  1.0625E-09  1.0625E-10  1.0625E-11
  Zr   40    0  4.4992E+00  9.9963E+00  1.7730E+01  4.8908E+01  1.3800E+02  1.5947E+03  1.7258E+00  1.4434E+02  4.6338E+03  1.0837E+00  2.8034E+02  6.9489E+03  1.0780E-07  2.3364E-07  4.1623E-07  1.1542E-07  3.1586E-07  3.6425E-06  4.1038E-10  3.1112E-08  1.0406E-06  2.5671E-11  6.3609E-09  1.5932E-07  4.4995E+00  4.8912E+01  1.7327E+00  1.0979E+00  1.0781E-07  1.1543E-07  4.1202E-10  2.6008E-11  2.5559E-08  2.5555E-09  2.5555E-10  2.5555E-11
  Nb   41    0  2.7081E+00  5.5595E+00  9.2991E+00  2.1422E+01  7.3259E+01  7.1326E+02  1.2275E+00  8.3268E+01  3.1147E+03  9.2082E-01  1.5280E+02  5.1197E+03  5.0126E-09  1.0038E-08  1.6865E-08  3.9056E-09  1.2955E-08  1.2586E-07  2.2550E-11  1.3866E-09  5.4038E-08  1.6852E-12  2.6786E-10  9.0687E-09  2.7082E+00  2.1424E+01  1.2314E+00  9.2856E-01  5.0128E-09  3.9061E-09  2.2623E-11  1.6993E-12  1.9745E-09  1.9743E-10  1.9743E-11  1.9743E-12
