  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Si   14    0  1.4723E+01  1.3903E+01  2.0334E+01  2.0692E+01  1.3571E+01  1.2454E+01  1.3034E+01  1.4415E+01  1.0422E+01
  P    15    0  1.4318E+01  1.3995E+01  2.1749E+01  2.3428E+01  1.8755E+01  1.8045E+01  1.7614E+01  1.8401E+01  1.3091E+01
  S    16    0  1.5088E+01  1.4204E+01  1.8357E+01  1.5604E+01  1.0702E+01  1.0896E+01  1.2063E+01  1.3351E+01  8.3717E+00
  Cl   17    0  5.0061E+00  5.1157E+00  7.1372E+00  5.3078E+00  5.1335E+00  5.7881E+00  5.6389E+00  5.5297E+00  3.7128E+00
  Ar   18    0  1.3882E+01  1.2592E+01  1.4520E+01  1.2363E+01  8.9627E+00  9.2298E+00  1.0355E+01  1.1125E+01  6.8675E+00
  K    19    0  5.9789E+00  7.4292E+00  6.6419E+00  5.2113E+00  4.5224E+00  4.9446E+00  5.3698E+00  5.3247E+00  3.8902E+00
  Ca   20    0  9.8764E+00  6.7634E+00  8.2613E+00  8.2499E+00  6.4137E+00  5.7638E+00  6.3444E+00  7.2602E+00  4.3508E+00
  Sc   21    0  7.4542E+00  1.4408E+01  1.6286E+01  1.1945E+01  1.9141E+01  2.3690E+01  2.2288E+01  1.9908E+01  1.5242E+01
  Ti   22    0  4.8037E+00  4.0943E+00  4.0959E+00  4.2005E+00  4.7265E+00  3.8046E+00  3.7163E+00  3.5642E+00  2.9001E+00
  V    23    0  4.6587E+00  3.9398E+01  4.2606E+00  3.7732E+00  2.8217E+00  2.8332E+00  3.0947E+00  3.2198E+00  2.8154E+00
  Cr   24    0  5.2691E+00  4.5774E+01  3.7919E+00  3.9889E+00  2.5763E+00  2.0916E+00  1.8549E+00  1.7707E+00  1.5147E+00
  Mn   25    0  4.1234E+00  6.7145E+01  2.9440E+00  2.8860E+00  1.8377E+00  1.5846E+00  1.5029E+00  1.5338E+00  1.3603E+00
  Fe   26    0  6.3006E+00  1.9440E+01  4.2930E+00  3.5320E+00  2.9608E+00  2.4036E+00  1.9009E+00  1.6736E+00  1.4124E+00
  Co   27    0  6.8064E+00  8.9350E+00  9.7056E+00  8.6114E+00  1.1040E+01  9.8864E+00  7.1674E+00  6.2203E+00  4.6256E+00
  Ni   28    0  1.0397E+01  3.0810E+01  7.8923E+00  6.4033E+00  5.7884E+00  5.1025E+00  4.2257E+00  3.6962E+00  2.8433E+00
  Cu   29    0  2.1099E+01  3.4383E+01  3.5398E+01  3.5569E+01  5.1282E+01  5.6470E+01  5.5821E+01  5.1999E+01  3.9237E+01
  Zn   30    0  1.2471E+01  2.3249E+01  2.0045E+01  1.9972E+01  2.7445E+01  2.9677E+01  3.3568E+01  3.5619E+01  2.6281E+01
  Ga   31    0  3.7229E+01  1.0051E+02  6.6178E+01  7.0296E+01  1.0694E+02  1.1849E+02  1.3865E+02  1.5418E+02  1.1187E+02
  Ge   32    0  1.9282E+01  6.0163E+01  4.0235E+01  3.8869E+01  6.5601E+01  8.0775E+01  9.6389E+01  1.0305E+02  6.8115E+01
  As   33    0  2.7134E+01  1.0367E+02  5.5911E+01  6.5859E+01  1.0118E+02  1.3873E+02  1.7761E+02  1.9511E+02  1.3563E+02
  Se   34    0  1.3192E+01  4.8655E+01  3.0294E+01  2.5851E+01  4.8766E+01  6.8113E+01  8.7400E+01  8.4982E+01  5.5345E+01
  Br   35    0  9.2822E+00  3.1524E+01  1.9676E+01  2.0942E+01  4.7579E+01  6.5700E+01  7.6036E+01  6.3161E+01  3.9926E+01
  Kr   36    0  8.1999E+00  3.2150E+01  1.5465E+01  1.4982E+01  2.7341E+01  3.9128E+01  6.0849E+01  5.7184E+01  4.0563E+01
  Rb   37    0  9.1789E+00  4.6927E+01  2.0603E+01  1.9128E+01  3.4843E+01  5.9663E+01  9.8137E+01  8.8623E+01  6.1732E+01
  Sr   38    0  1.0524E+01  4.6333E+01  1.3977E+01  1.6808E+01  2.7115E+01  3.3564E+01  5.8876E+01  7.6661E+01  5.0908E+01
  Y    39    0  6.2777E+00  2.7452E+01  9.8434E+00  9.2184E+00  1.5644E+01  2.0977E+01  3.3992E+01  3.8414E+01  2.4685E+01
  Zr   40    0  3.5738E+00  1.2936E+01  5.9480E+00  4.3028E+00  6.8798E+00  9.5884E+00  1.4836E+01  1.5405E+01  1.1593E+01
  Nb   41    0  1.9202E+00  6.0637E+00  3.1303E+00  2.6702E+00  4.8171E+00  6.2045E+00  8.8242E+00  7.8863E+00  5.0601E+00
  Mo   42    0  1.6885E+00  3.2391E+00  2.0348E+00  2.1405E+00  2.6831E+00  3.1312E+00  4.3435E+00  4.0420E+00  3.2439E+00
  Xe   54    0  1.1135E+00  1.8059E+00  1.2606E+00  1.3083E+00  1.4835E+00  1.6695E+00  2.3545E+00  2.2417E+00  1.8431E+00
  Cs   55    0  1.0492E+00  1.5695E+00  1.1271E+00  1.1478E+00  1.3150E+00  1.5091E+00  2.0911E+00  1.8236E+00  1.5082E+00
  Ba   56    0  1.3837E+00  2.1996E+00  1.5890E+00  1.7084E+00  2.2135E+00  2.3830E+00  2.9148E+00  2.5968E+00  2.1303E+00
  La   57    0  1.2389E+00  1.7791E+00  1.4965E+00  1.5485E+00  2.0262E+00  2.2495E+00  2.4882E+00  2.1608E+00  1.7602E+00
  Ce   58    0  1.1162E+00  1.4022E+00  1.2621E+00  1.2743E+00  1.5228E+00  1.6446E+00  1.7426E+00  1.6602E+00  1.4617E+00
  Pr   59    0  1.0557E+00  1.5611E+00  1.9481E+00  1.1965E+00  1.3414E+00  1.8109E+00  1.7970E+00  1.9323E+00  1.7032E+00
  Nd   60    0  1.1072E+00  1.2511E+00  1.0930E+00  1.3587E+00  1.4411E+00  1.4176E+00  1.5124E+00  1.5182E+00  1.3647E+00
  Hg   80    0  1.1287E+00  1.2838E+00  1.1541E+00  1.1156E+00  1.2462E+00  1.2661E+00  1.4037E+00  1.3650E+00  1.3623E+00
  Tl   81    0  1.0152E+00  1.1415E+00  1.0192E+00  1.0657E+00  1.2447E+00  1.3111E+00  1.3924E+00  1.2860E+00  1.1970E+00
  Pb   82    0  1.0872E+00  1.2390E+00  1.1865E+00  1.2081E+00  1.4042E+00  1.4431E+00  1.4794E+00  1.4229E+00  1.3022E+00
  Bi   83    0  9.2148E-01  9.1521E-01  9.2050E-01  9.2365E-01  9.5149E-01  9.6231E-01  9.7534E-01  9.6333E-01  9.7632E-01
  ele   Z    A    013a300     015a300     020a300     025a300     030a300     040a300     060a300     080a300     120a300
  H     1    0  5.2303E-01  5.0042E-01  4.7684E-01  4.0169E-01  3.5918E-01  3.6048E-01  3.1696E-01  3.3898E-01  3.7052E-01
  He    2    0  1.4401E+00  1.3666E+00  1.3806E+00  1.5243E+00  1.5749E+00  1.6450E+00  1.9841E+00  2.1238E+00  2.2306E+00
  Li    3    0  2.9829E-04  5.2117E-04  1.1465E-03  1.9516E-03  1.9380E-03  2.5394E-03  2.0081E-03  1.9710E-03  8.6460E-04
  Be    4    0  4.3901E-04  7.5289E-04  1.6013E-03  2.6542E-03  3.0742E-03  4.0644E-03  3.0877E-03  3.1200E-03  1.5289E-03
  B     5    0  1.7028E-02  1.7186E-02  1.5605E-02  1.9111E-02  2.2026E-02  2.8967E-02  2.8062E-02  3.1498E-02  2.4081E-02
  C     6    0  2.0981E+01  1.7932E+01  2.5557E+01  2.8845E+01  2.6071E+01  2.7012E+01  2.2587E+01  1.8282E+01  1.3511E+01
  N     7    0  7.0042E+00  8.2991E+00  1.1239E+01  6.7516E+00  6.8911E+00  6.8318E+00  7.2381E+00  8.1898E+00  9.2190E+00
  O     8    0  2.4060E+01  2.6198E+01  3.0264E+01  3.0390E+01  3.2362E+01  3.1018E+01  2.4737E+01  1.9212E+01  1.4011E+01
  F     9    0  9.4741E+01  1.7316E+01  1.5105E+01  9.0928E-01  6.8845E-01  6.5012E-01  7.2433E-01  3.0741E-01  2.2744E-01
  Ne   10    0  8.6329E+00  9.4483E+00  9.1604E+00  1.9385E+01  3.1090E+01  2.4152E+01  1.8307E+01  1.2327E+01  7.1026E+00
  Na   11    0  7.9758E+00  7.1423E+00  9.0668E+00  1.7072E+01  2.2465E+01  2.2089E+01  1.8666E+01  1.4237E+01  1.0680E+01
  Mg   12    0  4.9521E+00  5.2563E+00  5.6720E+00  9.5638E+00  1.3445E+01  1.0128E+01  7.9838E+00  5.8650E+00  4.3580E+00
  Al   13    0  4.4806E+00  4.7098E+00  6.0991E+00  1.2571E+01  1.7631E+01  1.3424E+01  1.0239E+01  7.4299E+00  5.1639E+00
  Si   14    0  1.6271E+01  3.1596E+01  2.3000E+01  1.9762E+01  1.5169E+01  1.2889E+01  1.0692E+01  8.8574E+00  7.0698E+00
  P    15    0  1.1906E+01  2.2879E+01  3.5119E+01  2.3590E+01  2.0412E+01  1.9228E+01  1.4787E+01  1.2159E+01  8.9802E+00
  S    16    0  2.4695E+01  3.3804E+01  2.0782E+01  1.5546E+01  1.0997E+01  1.0695E+01  9.4490E+00  8.1276E+00  5.7956E+00
  Cl   17    0  7.7921E+00  1.1672E+01  8.4945E+00  5.5200E+00  4.8524E+00  5.8673E+00  4.8295E+00  4.2978E+00  2.7758E+00
  Ar   18    0  2.9521E+01  3.0191E+01  1.6887E+01  1.2521E+01  9.0958E+00  8.7502E+00  7.8821E+00  6.9130E+00  4.8604E+00
  K    19    0  1.8891E+01  2.6424E+01  7.8205E+00  5.3737E+00  4.4450E+00  4.9502E+00  4.4482E+00  3.9908E+00  2.6846E+00
  Ca   20    0  2.8145E+01  1.9091E+01  9.0190E+00  8.6335E+00  6.7485E+00  5.0078E+00  4.6588E+00  4.0612E+00  3.4621E+00
  Sc   21    0  2.4712E+01  3.0945E+01  1.5951E+01  1.4010E+01  2.0053E+01  2.2282E+01  2.1762E+01  1.6593E+01  1.1586E+01
  Ti   22    0  6.0355E+00  9.2040E+00  5.7485E+00  4.5354E+00  5.1769E+00  4.0742E+00  3.1417E+00  2.7295E+00  2.1801E+00
  V    23    0  5.5406E+00  4.1743E+01  6.8532E+00  3.6491E+00  3.1186E+00  2.9085E+00  2.5893E+00  2.3105E+00  1.9472E+00
  Cr   24    0  5.7708E+00  3.1323E+01  4.3931E+00  3.5263E+00  2.8984E+00  2.0249E+00  1.7179E+00  1.6015E+00  1.3869E+00
  Mn   25    0  6.9744E+00  6.2016E+01  3.6842E+00  2.5382E+00  1.9818E+00  1.4852E+00  1.3966E+00  1.3438E+00  1.2399E+00
  Fe   26    0  6.6285E+00  1.6979E+01  4.3847E+00  3.5111E+00  2.9662E+00  2.3951E+00  1.8866E+00  1.6552E+00  1.4360E+00
  Co   27    0  1.1129E+01  8.6167E+00  6.9185E+00  9.2264E+00  1.1100E+01  9.5031E+00  7.3913E+00  5.7913E+00  4.1409E+00
  Ni   28    0  1.1161E+01  2.6911E+01  7.9470E+00  6.5276E+00  5.8442E+00  5.0699E+00  4.0351E+00  3.3045E+00  2.5933E+00
  Cu   29    0  3.0264E+01  3.4811E+01  4.7777E+01  4.2585E+01  5.3727E+01  5.5468E+01  4.8837E+01  3.8084E+01  2.7810E+01
  Zn   30    0  1.5527E+01  2.2739E+01  3.3860E+01  2.4644E+01  2.9057E+01  3.0282E+01  2.6681E+01  2.1233E+01  1.5798E+01
  Ga   31    0  5.2657E+01  8.8432E+01  1.6710E+02  9.5378E+01  1.2052E+02  1.2290E+02  1.0313E+02  8.2924E+01  6.1007E+01
  Ge   32    0  3.4008E+01  6.1723E+01  9.3108E+01  5.4345E+01  7.3435E+01  8.3666E+01  7.0425E+01  5.5644E+01  3.8898E+01
  As   33    0  5.3566E+01  9.6768E+01  1.6024E+02  9.1852E+01  1.1847E+02  1.4188E+02  1.2536E+02  1.0310E+02  7.8045E+01
  Se   34    0  2.8564E+01  5.4043E+01  1.0023E+02  3.8999E+01  5.6025E+01  7.0120E+01  5.8931E+01  4.6795E+01  3.1946E+01
  Br   35    0  2.2001E+01  4.9053E+01  6.5593E+01  3.2974E+01  5.5128E+01  6.6241E+01  5.3493E+01  3.9707E+01  2.8090E+01
  Kr   36    0  1.8555E+01  5.4094E+01  7.8081E+01  2.3804E+01  3.2786E+01  4.0395E+01  3.4677E+01  2.7254E+01  2.0664E+01
  Rb   37    0  2.3119E+01  7.8109E+01  1.2570E+02  2.9435E+01  4.2506E+01  5.8644E+01  5.6186E+01  4.4309E+01  3.3135E+01
  Sr   38    0  2.3008E+01  9.2335E+01  1.1880E+02  2.6916E+01  3.2439E+01  3.8263E+01  3.0116E+01  2.5776E+01  2.0309E+01
  Y    39    0  1.5471E+01  6.7511E+01  8.5227E+01  1.4651E+01  1.8520E+01  2.2998E+01  1.7754E+01  1.5117E+01  1.0822E+01
  Zr   40    0  7.4953E+00  3.6851E+01  5.6247E+01  6.3773E+00  8.0740E+00  1.0164E+01  8.0156E+00  6.9669E+00  5.0192E+00
  Nb   41    0  4.6303E+00  2.4554E+01  2.1156E+01  3.8775E+00  5.5048E+00  6.3585E+00  4.9130E+00  4.0985E+00  3.1934E+00
  Mo   42    0  2.4737E+00  1.0017E+01  1.0924E+01  2.6996E+00  2.9767E+00  3.1895E+00  2.7799E+00  2.4759E+00  2.1312E+00
  Xe   54    0  1.4734E+00  5.2320E+00  4.5662E+00  1.4984E+00  1.5966E+00  1.6951E+00  1.6355E+00  1.5422E+00  1.3903E+00
  Cs   55    0  1.3211E+00  4.8305E+00  4.1333E+00  1.2115E+00  1.3688E+00  1.4995E+00  1.4865E+00  1.4112E+00  1.2900E+00
  Ba   56    0  1.9504E+00  5.6744E+00  5.1708E+00  2.0142E+00  2.3677E+00  2.4696E+00  2.0686E+00  1.8568E+00  1.6407E+00
  La   57    0  1.7840E+00  4.0957E+00  3.3861E+00  1.7726E+00  2.1128E+00  2.2531E+00  2.0033E+00  1.7894E+00  1.5344E+00
