# From file: input/yields/snii/lc18/tab_R/tab_yieldstot_iso_exp_pd.dec
elemSymb,elemZ,elemA,mass_i_ini,13.,15.,20.,25.,30.,40.,60.,80.,120.,Z_ini,vel_ini
Mg25,12,25,7.326899999999999e-05,0.0015868,0.0041404,0.011411,0.022406,0.00098194,0.0011694000000000001,0.0015272,0.001841,0.0025277,0.0181,0.0
Mg26,12,26,8.3896e-05,0.0019316,0.0042161,0.010638,0.022161,0.0019659000000000005,0.0027351999999999997,0.004785800000000001,0.006428399999999999,0.010459999999999999,0.0181,0.0
Al27,13,27,5.602e-05,0.0020263,0.0044265,0.012025,0.017666,0.0011614000000000001,0.0016547,0.0030396,0.0043295,0.007587000000000001,0.0181,0.0
Si28,14,28,0.00061519,0.065992,0.10543,0.1374,0.12379000000000001,0.011793000000000001,0.015909,0.026485,0.035252,0.056701,0.0181,0.0
Si29,14,29,3.2353e-05,0.0013367000000000001,0.002487,0.005452899999999999,0.0051387,0.00062015,0.00083656,0.0013932,0.0018558,0.0029864,0.0181,0.0
Si30,14,30,2.2063000000000002e-05,0.0022603000000000002,0.0038749,0.006935300000000001,0.0050028,0.00042294,0.00057058,0.00095064,0.0012685,0.0020432000000000002,0.0181,0.0
P31,15,31,5.866e-06,0.00045199,0.00084826,0.0012662,0.001542,0.00011244,0.00015169,0.00025315,0.00033973,0.00054829,0.0181,0.0
S32,16,32,0.0002948,0.027089,0.040487,0.043996,0.045946,0.0056508999999999995,0.0076232,0.012686,0.016866,0.027111,0.0181,0.0
S33,16,33,2.4338999999999997e-06,0.00020567,0.00039096,0.00047086,0.0007118,4.6655e-05,6.2938e-05,0.00010878,0.00016089,0.00027207,0.0181,0.0
S34,16,34,1.4155e-05,0.0016552,0.0029760000000000003,0.0031531999999999997,0.0049044,0.00027133,0.00036603,0.00060944,0.00081211,0.0013069000000000002,0.0181,0.0
S36,16,36,6.9873e-08,1.1162e-06,1.8474e-06,4.4246e-06,1.0495e-05,1.3394e-06,1.8068e-06,3.0076e-06,4.0022e-06,6.4363e-06,0.0181,0.0
Cl35,17,35,6.174500000000001e-06,0.00014486,0.00024554,0.00028802,0.0005771,0.00011836,0.00015967,0.00026538,0.00035149,0.000564,0.0181,0.0
Cl37,17,37,2.0862e-06,3.8361e-05,6.0078e-05,9.7999e-05,0.00018263,3.999e-05,5.3947e-05,9.2964e-05,0.0001368,0.00022992,0.0181,0.0
