 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Sc   21    0  3.2458E+00  7.0815E+00  1.0027E+01  1.0927E+01  3.0341E+01  3.6962E+01  1.9682E+01  2.7049E+02  2.4147E+02  6.6473E+02  5.1444E+02  5.6685E+03  1.2089E-07  2.5407E-07  3.6990E-07  2.9309E-08  9.0897E-08  1.1809E-07  3.6611E-09  7.2891E-08  6.8332E-08  1.1802E-08  1.3001E-08  1.5433E-07  3.2460E+00  1.0928E+01  1.9701E+01  6.6472E+02  1.2090E-07  2.9312E-08  3.6648E-09  1.1802E-08  4.6794E-08  4.6788E-09  4.6788E-10  4.6788E-11
  Ti   22    0  2.0411E+00  2.5120E+00  3.5031E+00  6.0792E+00  9.8342E+00  3.3447E+01  6.2628E+01  9.4940E+01  2.8156E+02  8.0201E+02  7.1135E+02  1.2973E+03  5.1079E-06  6.0554E-06  8.6826E-06  2.1859E-06  3.9495E-06  1.4325E-05  1.5617E-06  3.4297E-06  1.0681E-05  1.9088E-06  2.4100E-06  4.7350E-06  2.0411E+00  6.0794E+00  6.2630E+01  8.0200E+02  5.1080E-06  2.1860E-06  1.5618E-06  1.9089E-06  3.1440E-06  6.2722E-07  6.2722E-08  6.2722E-09
  V    23    0  2.2163E+00  7.2142E+00  7.8265E+00  7.8731E+00  1.0493E+01  5.1126E+01  5.5592E+01  7.4074E+01  3.7906E+02  5.4574E+02  3.4535E+02  4.3093E+03  5.6371E-07  1.7675E-06  1.9716E-06  1.4420E-07  2.1466E-07  1.1154E-06  7.0615E-08  1.3631E-07  7.3249E-07  6.6164E-08  5.9599E-08  8.0116E-07  2.2166E+00  7.8732E+00  5.5593E+01  5.4572E+02  5.6377E-07  1.4421E-07  7.0619E-08  6.6164E-08  3.1954E-07  3.1950E-08  3.1950E-09  3.1950E-10
  Cr   24    0  2.5330E+00  8.0329E+00  6.0468E+00  1.5522E+01  1.8328E+01  3.4232E+01  1.8643E+02  1.9802E+02  3.3866E+02  2.1847E+03  1.9645E+03  3.8330E+03  3.3728E-05  1.0303E-04  7.9742E-05  1.4883E-05  1.9628E-05  3.9097E-05  1.2397E-05  1.9076E-05  3.4259E-05  1.3866E-05  1.7748E-05  3.7306E-05  2.5333E+00  1.5522E+01  1.8643E+02  2.1846E+03  3.3731E-05  1.4883E-05  1.2398E-05  1.3866E-05  1.6728E-05  1.6726E-06  1.6726E-07  1.6726E-08
  Mn   25    0  2.3235E+00  1.0597E+01  9.9182E+00  8.7002E+00  9.2978E+00  2.7833E+01  7.5924E+01  6.6819E+01  2.9889E+02  7.1002E+02  4.6173E+02  4.2308E+03  2.0156E-05  8.8545E-05  8.5211E-05  5.4344E-06  6.4868E-06  2.0709E-05  3.2890E-06  4.1933E-06  1.9697E-05  2.9357E-06  2.7175E-06  2.6824E-05  2.3239E+00  8.7002E+00  7.5923E+01  7.1000E+02  2.0159E-05  5.4345E-06  3.2890E-06  2.9357E-06  1.0898E-05  1.0896E-06  1.0896E-07  1.0896E-08
  Fe   26    0  2.7063E+00  4.5820E+00  4.2008E+00  2.4021E+01  2.1902E+01  2.3358E+01  3.3075E+02  2.2955E+02  2.5777E+02  3.4450E+03  2.4149E+03  2.6898E+03  2.8039E-03  4.5727E-03  4.3105E-03  1.7921E-03  1.8251E-03  2.0757E-03  1.7113E-03  1.7206E-03  2.0289E-03  1.7012E-03  1.6975E-03  2.0369E-03  2.7064E+00  2.4021E+01  3.3074E+02  3.4449E+03  2.8040E-03  1.7921E-03  1.7113E-03  1.7012E-03  1.3016E-03  1.3014E-04  1.3014E-05  1.3014E-06
  Co   27    0  4.0611E+00  4.8144E+00  4.4646E+00  1.6028E+01  1.4168E+01  1.3871E+01  1.7703E+02  9.2240E+01  1.3098E+02  1.6324E+03  8.5052E+02  9.1775E+02  1.3721E-05  1.5668E-05  1.4939E-05  3.8995E-06  3.8500E-06  4.0200E-06  2.9869E-06  2.2546E-06  3.3621E-06  2.6289E-06  1.9497E-06  2.2665E-06  4.0611E+00  1.6028E+01  1.7702E+02  1.6323E+03  1.3721E-05  3.8995E-06  2.9869E-06  2.6288E-06  4.2445E-06  4.2440E-07  4.2440E-08  4.2440E-09
  Ni   28    0  4.0163E+00  7.2549E+00  6.6490E+00  3.7979E+01  3.5224E+01  3.6417E+01  5.2437E+02  3.6769E+02  4.0069E+02  5.4694E+03  3.8401E+03  4.2712E+03  2.2950E-04  3.9933E-04  3.7630E-04  1.5628E-04  1.6189E-04  1.7849E-04  1.4964E-04  1.5201E-04  1.7395E-04  1.4897E-04  1.4889E-04  1.7840E-04  4.0164E+00  3.7979E+01  5.2436E+02  5.4693E+03  2.2951E-04  1.5628E-04  1.4964E-04  1.4897E-04  7.1789E-05  7.1779E-06  7.1779E-07  7.1779E-08
  Cu   29    0  6.5775E+00  1.6574E+01  1.9454E+01  1.1896E+01  2.9821E+01  1.4890E+01  1.4705E+01  8.3439E+01  2.0550E+01  8.0000E+02  9.1523E+02  2.1432E+02  3.7976E-06  9.2178E-06  1.1124E-05  4.9461E-07  1.3848E-06  7.3740E-07  4.2400E-08  3.4853E-07  9.0140E-08  2.2017E-07  3.5854E-07  9.0450E-08  6.5780E+00  1.1897E+01  1.4710E+01  8.0001E+02  3.7979E-06  4.9466E-07  4.2417E-08  2.2017E-07  7.2535E-07  7.2526E-08  7.2526E-09  7.2526E-10
  Zn   30    0  3.0682E+00  1.0094E+01  1.2725E+01  1.0229E+01  2.7072E+01  1.6153E+01  6.3211E+01  9.6981E+01  4.3955E+01  1.5534E+03  1.0852E+03  4.1859E+02  4.2737E-06  1.3543E-05  1.7555E-05  1.0260E-06  3.0330E-06  1.9300E-06  4.3971E-07  9.7731E-07  4.6515E-07  1.0314E-06  1.0256E-06  4.2618E-07  3.0686E+00  1.0230E+01  6.3213E+01  1.5533E+03  4.2742E-06  1.0262E-06  4.3974E-07  1.0314E-06  1.7499E-06  1.7497E-07  1.7497E-08  1.7497E-09
  Ga   31    0  6.8590E+00  3.5683E+01  5.3302E+01  1.4740E+01  1.0313E+02  7.2840E+01  1.4394E+00  8.2818E+01  5.3959E+01  1.5947E+00  3.0502E+01  8.0726E+01  3.0760E-07  1.5414E-06  2.3674E-06  4.7601E-08  3.7199E-07  2.8020E-07  3.2238E-10  2.6870E-08  1.8384E-08  3.4089E-11  9.2812E-10  2.6462E-09  6.8605E+00  1.4745E+01  1.4457E+00  1.5969E+00  3.0766E-07  4.7618E-08  3.2379E-10  3.4137E-11  5.6340E-08  5.6333E-09  5.6333E-10  5.6333E-11
  Ge   32    0  4.1439E+00  2.1127E+01  3.1917E+01  1.0038E+01  7.6391E+01  6.7251E+01  1.2180E+00  7.1048E+01  5.2156E+01  1.3215E+00  2.3809E+01  7.2609E+01  7.8843E-07  3.8720E-06  6.0144E-06  1.3753E-07  1.1690E-06  1.0975E-06  1.1574E-09  9.7799E-08  7.5392E-08  1.1985E-10  3.0736E-09  1.0098E-08  4.1448E+00  1.0042E+01  1.2234E+00  1.3232E+00  7.8859E-07  1.3759E-07  1.1625E-09  1.2001E-10  2.3903E-07  2.3900E-08  2.3900E-09  2.3900E-10
  As   33    0  5.7167E+00  3.3338E+01  5.2872E+01  1.3425E+01  1.4452E+02  1.1656E+02  1.1618E+00  1.1516E+02  9.2535E+01  1.0502E+00  2.2676E+01  1.0676E+02  5.0127E-08  2.8158E-07  4.5916E-07  8.4775E-09  1.0193E-07  8.7672E-08  5.0877E-11  7.3061E-09  6.1647E-09  4.3897E-12  1.3491E-10  6.8426E-10  5.7182E+00  1.3433E+01  1.1706E+00  1.0519E+00  5.0139E-08  8.4824E-09  5.1263E-11  4.3966E-12  1.1016E-08  1.1015E-09  1.1015E-10  1.1015E-11
  Se   34    0  2.8943E+00  1.5995E+01  2.9943E+01  6.1277E+00  7.2417E+01  9.3844E+01  1.0487E+00  7.7526E+01  7.3807E+01  1.0347E+00  2.1596E+01  8.5408E+01  2.9327E-07  1.5612E-06  3.0049E-06  4.4715E-08  5.9023E-07  8.1569E-07  5.3070E-10  5.6836E-08  5.6821E-08  4.9977E-11  1.4848E-09  6.3262E-09  2.8950E+00  6.1317E+00  1.0546E+00  1.0362E+00  2.9334E-07  4.4744E-08  5.3370E-10  5.0054E-11  1.2730E-07  1.2729E-08  1.2729E-09  1.2729E-10
