  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Zn68   30   68  1.8343E+00  2.5200E+00  6.4479E+00  1.7012E+01  9.9999E-01  9.9999E-01  1.0025E+00  1.0113E+00  1.0158E+00
Zn70   30   70  1.6292E+00  2.2964E+00  3.3028E+00  1.2668E+01  9.9998E-01  9.9998E-01  9.9730E-01  9.8911E-01  9.8515E-01
Ga69   31   69  2.6616E+00  4.1367E+00  1.0175E+01  2.7811E+01  1.0000E+00  1.0000E+00  1.0123E+00  1.0417E+00  1.0559E+00
Ga71   31   71  2.4702E+00  3.7608E+00  1.1442E+01  3.3786E+01  9.9998E-01  9.9998E-01  1.0069E+00  1.0318E+00  1.0432E+00
Ge70   32   70  2.4680E+00  3.8525E+00  8.6047E+00  2.7030E+01  9.9999E-01  1.0000E+00  1.0043E+00  1.0248E+00  1.0333E+00
Ge72   32   72  1.9257E+00  2.6786E+00  6.1351E+00  1.8268E+01  9.9998E-01  1.0000E+00  9.9774E-01  9.9541E-01  9.9396E-01
Ge73   32   73  1.5556E+00  1.9874E+00  5.9497E+00  2.0538E+01  1.0000E+00  1.0000E+00  9.9834E-01  9.9510E-01  9.9343E-01
Ge74   32   74  1.5456E+00  1.8679E+00  4.7175E+00  1.3854E+01  9.9999E-01  1.0000E+00  1.0022E+00  1.0073E+00  1.0099E+00
Ge76   32   76  1.1016E+00  1.3395E+00  1.6763E+00  5.2158E+00  9.9997E-01  1.0000E+00  9.9718E-01  9.8872E-01  9.8467E-01
As75   33   75  2.1899E+00  3.4522E+00  8.5318E+00  2.4955E+01  9.9996E-01  9.9996E-01  9.9679E-01  9.9406E-01  9.9234E-01
Se74   34   74  4.5865E+00  9.2930E+00  1.4855E+01  5.7094E+01  9.9998E-01  9.9998E-01  9.7924E-01  9.4624E-01  9.2815E-01
Se76   34   76  2.3534E+00  3.4017E+00  7.6150E+00  2.7168E+01  9.9999E-01  9.9999E-01  1.0184E+00  1.0511E+00  1.0682E+00
Se77   34   77  1.6385E+00  2.3815E+00  6.3276E+00  1.8237E+01  9.9999E-01  9.9999E-01  9.9502E-01  9.9589E-01  9.9550E-01
Se78   34   78  1.5315E+00  1.7290E+00  4.4961E+00  1.5104E+01  9.9997E-01  1.0000E+00  1.0062E+00  1.0248E+00  1.0334E+00
Se80   34   80  1.1676E+00  1.2185E+00  2.2853E+00  6.3774E+00  9.9998E-01  1.0000E+00  9.9480E-01  9.8221E-01  9.7691E-01
Se82   34   82  1.0914E+00  1.3055E+00  1.5533E+00  5.3429E+00  9.9996E-01  9.9996E-01  9.9875E-01  9.9459E-01  9.9268E-01
Br79   35   79  1.2807E+00  1.4814E+00  3.7994E+00  1.3447E+01  1.0000E+00  9.9992E-01  9.7977E-01  9.6048E-01  9.5002E-01
Br81   35   81  1.3179E+00  1.5140E+00  3.1310E+00  9.7589E+00  9.9997E-01  9.9998E-01  1.0103E+00  1.0176E+00  1.0219E+00
Kr78   36   78  1.4609E+00  2.0343E+00  2.7603E+00  1.1162E+01  9.9999E-01  9.9999E-01  9.8065E-01  9.4748E-01  9.2936E-01
Kr80   36   80  1.7673E+00  2.4216E+00  4.4936E+00  1.2386E+01  1.0000E+00  1.0003E+00  1.0858E+00  1.1731E+00  1.2136E+00
Kr82   36   82  1.3323E+00  1.4568E+00  3.0996E+00  1.0149E+01  9.9997E-01  1.0001E+00  1.0270E+00  1.0968E+00  1.1288E+00
Kr83   36   83  1.1201E+00  1.2826E+00  2.4789E+00  7.3766E+00  9.9996E-01  9.9996E-01  9.8856E-01  9.8370E-01  9.7868E-01
Kr84   36   84  1.0667E+00  1.1411E+00  1.8585E+00  3.8860E+00  9.9999E-01  1.0000E+00  9.9890E-01  9.9502E-01  9.9327E-01
Kr86   36   86  1.2297E+00  1.4594E+00  2.7200E+00  6.0444E+00  9.9997E-01  1.0000E+00  9.9977E-01  9.9889E-01  9.9884E-01
Rb85   37   85  1.1630E+00  1.3156E+00  2.5211E+00  5.4605E+00  9.9999E-01  9.9999E-01  9.9753E-01  9.8936E-01  9.8568E-01
Rb87   37   87  1.5528E+00  2.1733E+00  4.0890E+00  9.0627E+00  9.9991E-01  9.9994E-01  9.9906E-01  9.9614E-01  9.9488E-01
Sr84   38   84  2.1839E+00  3.2091E+00  3.5010E+00  1.6482E+01  9.9998E-01  9.9998E-01  9.7836E-01  9.4505E-01  9.2664E-01
Sr86   38   86  1.4911E+00  1.9539E+00  3.8093E+00  7.0088E+00  9.9999E-01  1.0001E+00  1.0812E+00  1.2638E+00  1.3549E+00
Sr87   38   87  1.1901E+00  1.5632E+00  2.9000E+00  4.7639E+00  1.0002E+00  1.0001E+00  1.0171E+00  1.1090E+00  1.1473E+00
Sr88   38   88  1.2165E+00  1.4566E+00  2.2366E+00  3.4585E+00  9.9998E-01  1.0000E+00  1.0010E+00  1.0074E+00  1.0100E+00
Y89    39   89  1.1358E+00  1.2791E+00  1.7982E+00  3.0482E+00  1.0000E+00  1.0000E+00  1.0006E+00  1.0028E+00  1.0040E+00
Zr90   40   90  1.0806E+00  1.1536E+00  1.4073E+00  2.0590E+00  1.0000E+00  1.0000E+00  1.0001E+00  1.0002E+00  1.0002E+00
Zr91   40   91  1.0728E+00  1.1525E+00  1.5576E+00  2.6133E+00  9.9997E-01  1.0000E+00  1.0010E+00  1.0034E+00  1.0048E+00
Zr92   40   92  1.0538E+00  1.1074E+00  1.3800E+00  2.0360E+00  1.0000E+00  1.0000E+00  1.0017E+00  1.0065E+00  1.0089E+00
Zr94   40   94  1.0083E+00  1.0264E+00  1.1748E+00  1.5678E+00  9.9999E-01  9.9999E-01  9.9754E-01  9.9420E-01  9.9216E-01
Zr96   40   96  9.8331E-02  1.0024E-01  3.3057E-01  1.9269E+00  1.5650E-02  1.5468E-02  1.3939E-02  1.3966E-02  1.3026E-02
Nb93   41   93  9.8848E-01  1.0128E+00  1.2054E+00  1.8921E+00  9.9999E-01  1.0000E+00  9.8830E-01  9.7664E-01  9.6922E-01
Mo92   42   92  1.0728E+00  1.1419E+00  1.1628E+00  1.1436E+00  9.9999E-01  9.9999E-01  9.9072E-01  9.6838E-01  9.5738E-01
Mo94   42   94  1.2209E+00  1.3041E+00  1.3863E+00  1.3316E+00  9.9998E-01  1.0001E+00  1.0643E+00  1.1038E+00  1.1342E+00
Mo95   42   95  1.0125E+00  1.0266E+00  1.1411E+00  1.8093E+00  9.9999E-01  9.9999E-01  9.9961E-01  9.9826E-01  9.9856E-01
Mo96   42   96  1.8102E+00  1.7971E+00  1.9172E+00  2.1500E+00  1.8285E+00  1.8287E+00  1.8350E+00  1.8480E+00  1.8551E+00
Mo97   42   97  9.9185E-01  9.7720E-01  1.0569E+00  1.3258E+00  9.9999E-01  1.0000E+00  1.0048E+00  1.0146E+00  1.0194E+00
Mo98   42   98  9.9045E-01  9.9734E-01  1.0726E+00  1.3157E+00  9.9996E-01  1.0000E+00  1.0061E+00  1.0247E+00  1.0334E+00
Xe32   54  132  9.7517E-01  9.7277E-01  1.0065E+00  1.0799E+00  9.9999E-01  9.9999E-01  9.9767E-01  9.9417E-01  9.9207E-01
Xe34   54  134  9.7535E-01  9.6133E-01  9.3569E-01  9.8163E-01  1.0000E+00  1.0000E+00  9.9744E-01  9.8964E-01  9.8594E-01
