 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
Na23   11   23  9.1074E+00  5.8754E+00  7.9104E+00  3.8733E+01  2.6194E+01  4.4574E+01  3.4626E+02  9.9664E+01  3.0141E+02  3.1165E+03  9.2789E+02  2.7207E+03  2.1325E-04  1.3253E-04  1.8346E-04  6.5309E-05  4.9326E-05  8.9516E-05  4.0486E-05  1.6881E-05  5.3615E-05  3.4778E-05  1.4741E-05  4.6566E-05  9.1073E+00  3.8732E+01  3.4624E+02  3.1163E+03  2.1325E-04  6.5308E-05  4.0485E-05  3.4777E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
Mg24   12   24  4.3586E+00  2.6117E+00  2.7926E+00  2.7010E+01  2.0943E+01  1.2917E+01  3.9581E+02  1.9451E+02  1.5550E+02  3.8079E+03  1.9587E+03  1.7801E+03  1.9271E-03  1.1124E-03  1.2230E-03  1.5293E-03  1.3243E-03  8.7108E-04  1.5540E-03  1.1063E-03  9.2877E-04  1.4269E-03  1.0448E-03  1.0230E-03  4.3585E+00  2.7010E+01  3.9579E+02  3.8078E+03  1.9271E-03  1.5292E-03  1.5540E-03  1.4269E-03  5.5560E-04  9.8788E-05  9.8788E-06  9.8788E-07
Mg25   12   25  4.0899E+00  5.5767E+00  6.0820E+00  8.7027E+00  1.3453E+01  4.0705E+01  3.2200E+01  6.9393E+01  6.3647E+02  2.0294E+02  8.9988E+02  1.7702E+03  2.3846E-04  3.1324E-04  3.5124E-04  6.4980E-05  1.1219E-04  3.6200E-04  1.6672E-05  5.2050E-05  5.0135E-04  1.0029E-05  6.3305E-05  1.3416E-04  4.0899E+00  8.7030E+00  3.2202E+01  2.0300E+02  2.3847E-04  6.4982E-05  1.6674E-05  1.0032E-05  7.3269E-05  1.3028E-05  1.3028E-06  1.3028E-07
Mg26   12   26  3.9291E+00  4.8071E+00  6.1896E+00  8.9003E+00  1.3122E+01  6.6800E+01  4.5565E+01  5.8572E+01  9.4260E+02  3.0899E+02  6.0687E+02  2.3637E+03  2.6232E-04  3.0917E-04  4.0930E-04  7.6091E-05  1.2529E-04  6.8021E-04  2.7013E-05  5.0303E-05  8.5014E-04  1.7483E-05  4.8882E-05  2.0513E-04  3.9291E+00  8.9005E+00  4.5566E+01  3.0901E+02  2.6232E-04  7.6093E-05  2.7015E-05  1.7485E-05  8.3896E-05  1.4917E-05  1.4917E-06  1.4917E-07
Al27   13   27  5.3681E+00  3.3695E+00  4.1155E+00  3.3717E+01  3.3100E+01  3.0622E+01  2.6241E+02  1.8813E+02  2.6069E+02  1.9163E+03  1.2758E+03  2.5897E+03  2.3931E-04  1.4471E-04  1.8172E-04  1.0824E-04  1.1867E-04  1.1708E-04  5.8415E-05  6.0670E-05  8.8286E-05  4.0714E-05  3.8588E-05  8.4387E-05  5.3679E+00  3.3717E+01  2.6240E+02  1.9162E+03  2.3930E-04  1.0824E-04  5.8415E-05  4.0714E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
Si28   14   28  5.9304E+00  9.2608E+00  1.1699E+01  2.9261E+01  3.9039E+01  6.8615E+01  3.5093E+02  4.7932E+02  7.5967E+02  3.8783E+03  4.4940E+03  5.0335E+03  2.9033E-03  4.3675E-03  5.6726E-03  2.6516E-03  3.9509E-03  7.4056E-03  2.2052E-03  4.3633E-03  7.2622E-03  2.3260E-03  3.8368E-03  4.6299E-03  5.9306E+00  2.9262E+01  3.5094E+02  3.8784E+03  2.9034E-03  2.6516E-03  2.2053E-03  2.3260E-03  6.1519E-04  1.5811E-04  1.5811E-05  1.5811E-06
Si29   14   29  3.9430E+00  5.1707E+00  6.8830E+00  8.2895E+00  1.1438E+01  2.1846E+01  4.7872E+01  6.3488E+01  1.4907E+02  3.2586E+02  4.0385E+02  1.6165E+03  1.0152E-04  1.2825E-04  1.7552E-04  3.9503E-05  6.0877E-05  1.2400E-04  1.5820E-05  3.0393E-05  7.4942E-05  1.0278E-05  1.8133E-05  7.8197E-05  3.9431E+00  8.2897E+00  4.7873E+01  3.2586E+02  1.0152E-04  3.9505E-05  1.5821E-05  1.0278E-05  3.2353E-05  8.3150E-06  8.3150E-07  8.3150E-08
Si30   14   30  6.9607E+00  9.9904E+00  1.4577E+01  1.5088E+01  2.3430E+01  4.4782E+01  7.9492E+01  1.0607E+02  2.4211E+02  4.1707E+02  4.9160E+02  3.3554E+03  1.2221E-04  1.6898E-04  2.5349E-04  4.9034E-05  8.5038E-05  1.7334E-04  1.7914E-05  3.4629E-05  8.3005E-05  8.9706E-06  1.5052E-05  1.1068E-04  6.9609E+00  1.5089E+01  7.9494E+01  4.1708E+02  1.2221E-04  4.9036E-05  1.7915E-05  8.9709E-06  2.2063E-05  5.6703E-06  5.6703E-07  5.6703E-08
P31    15   31  5.8017E+00  9.6682E+00  1.2666E+01  4.0503E+01  5.9939E+01  1.1972E+02  2.7075E+02  3.9021E+02  9.8488E+02  1.9552E+03  2.3837E+03  8.4802E+03  2.7083E-05  4.3478E-05  5.8563E-05  1.3615E-05  2.2503E-05  4.7932E-05  6.3112E-06  1.3177E-05  3.4926E-05  4.3499E-06  7.5493E-06  2.8935E-05  5.8019E+00  4.0504E+01  2.7076E+02  1.9553E+03  2.7084E-05  1.3615E-05  6.3116E-06  4.3501E-06  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
S32    16   32  4.5663E+00  7.7104E+00  1.0779E+01  2.1145E+01  4.4825E+01  1.1493E+02  2.5097E+02  6.9694E+02  1.2856E+03  4.0745E+03  5.3223E+03  5.5229E+03  1.0712E-03  1.7425E-03  2.5047E-03  7.9971E-04  1.8933E-03  5.1771E-03  6.5820E-04  2.6478E-03  5.1294E-03  1.0199E-03  1.8965E-03  2.1202E-03  4.5664E+00  2.1147E+01  2.5100E+02  4.0746E+03  1.0713E-03  7.9977E-04  6.5830E-04  1.0199E-03  2.9480E-04  6.5989E-05  6.5989E-06  6.5989E-07
S33    16   33  5.9790E+00  1.3287E+01  1.7212E+01  2.5534E+01  4.3202E+01  8.9048E+01  1.9704E+02  4.7118E+02  8.0687E+02  2.4251E+03  3.6314E+03  5.4091E+03  1.1580E-05  2.4792E-05  3.3020E-05  7.9728E-06  1.5066E-05  3.3118E-05  4.2666E-06  1.4780E-05  2.6579E-05  5.0117E-06  1.0683E-05  1.7144E-05  5.9793E+00  2.5535E+01  1.9706E+02  2.4252E+03  1.1581E-05  7.9732E-06  4.2671E-06  5.0120E-06  2.4339E-06  5.4482E-07  5.4482E-08  5.4482E-09
S34    16   34  7.1551E+00  1.6907E+01  2.2143E+01  1.9879E+01  2.8206E+01  1.4594E+02  1.1059E+02  1.6072E+02  1.1175E+03  8.3810E+02  1.3559E+03  6.6400E+03  8.0597E-05  1.8347E-04  2.4706E-04  3.6099E-05  5.7205E-05  3.1566E-04  1.3926E-05  2.9318E-05  2.1409E-04  1.0073E-05  2.3199E-05  1.2240E-04  7.1556E+00  1.9879E+01  1.1059E+02  8.3814E+02  8.0603E-05  3.6100E-05  1.3927E-05  1.0073E-05  1.4155E-05  3.1685E-06  3.1685E-07  3.1685E-08
S36    16   36  2.2753E+00  2.7676E+00  6.9079E+00  1.7584E+00  2.8625E+00  1.2983E+01  1.4146E+00  3.3957E+00  4.7786E+01  1.8688E+00  3.6693E+00  1.3933E+03  1.2651E-07  1.4825E-07  3.8045E-07  1.5763E-08  2.8658E-08  1.3862E-07  8.7938E-10  3.0579E-09  4.5191E-08  1.1088E-10  3.0991E-10  1.2678E-07  2.2753E+00  1.7585E+00  1.4148E+00  1.8690E+00  1.2652E-07  1.5764E-08  8.7950E-10  1.1089E-10  6.9873E-08  1.5641E-08  1.5641E-09  1.5641E-10
Cl35   17   35  1.9719E+00  3.3883E+00  4.6170E+00  8.7760E+00  1.6999E+01  6.2174E+01  4.7473E+01  2.2043E+02  5.9959E+02  6.0806E+02  1.2554E+03  3.1126E+03  9.6889E-06  1.6039E-05  2.2470E-05  3.1052E-06  6.7174E-06  2.6202E-05  1.1648E-06  7.8349E-06  2.2381E-05  1.4239E-06  4.1850E-06  1.1179E-05  1.9719E+00  8.7765E+00  4.7486E+01  6.0811E+02  9.6893E-06  3.1054E-06  1.1652E-06  1.4241E-06  6.1745E-06  6.1737E-07  6.1737E-08  6.1737E-09
Cl37   17   37  1.8461E+00  3.1423E+00  4.0868E+00  6.1194E+00  1.6921E+01  5.5009E+01  3.5168E+01  2.7827E+02  4.7926E+02  1.0013E+03  1.4718E+03  1.4470E+03  3.0648E-06  5.0254E-06  6.7201E-06  7.3156E-07  2.2593E-06  7.8327E-06  2.9155E-07  3.3418E-06  6.0444E-06  7.9226E-07  1.6578E-06  1.7559E-06  1.8461E+00  6.1200E+00  3.5187E+01  1.0014E+03  3.0649E-06  7.3164E-07  2.9171E-07  7.9230E-07  2.0862E-06  2.0859E-07  2.0859E-08  2.0859E-09
