# From file: input/yields/lims/k10/['Z0.0001.dat', 'Z0.008.dat', 'Z0.004.dat', 'Z0.02.dat']
mass_ini,Z_ini,mass_fin,elemSymb,elemZ,elemA,Yield,Mi_windloss,Mi_ini,Xi_avg,Xi_ini,ProdFact
1.0,0.0001,0.72,ne20 ,10,20,1.8451032999999998e-07,2.4515825e-06,2.2670722000000002e-06,8.7556527e-06,8.0981417e-06,0.033903167000000005
1.0,0.0001,0.72,ne21 ,10,21,2.4603273999999997e-08,3.0381717e-08,5.7784431e-09,1.0850614e-07,2.0641006999999995e-08,0.72072345
1.0,0.0001,0.72,ne22 ,10,22,1.1070938999999998e-06,1.2894135e-06,1.8231955e-07,4.605048599999999e-06,6.512583499999999e-07,0.84948093
1.0,0.0001,0.72,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,na22 ,11,22,1.4535642e-24,1.4535642e-24,0.0,5.1913010999999994e-24,0.0,0.0
1.0,0.0001,0.72,na23 ,11,23,3.1468911e-08,7.822802700000001e-08,4.675911599999999e-08,2.7938583000000003e-07,1.6702687e-07,0.22341804
1.0,0.0001,0.72,na24 ,11,24,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,mg24 ,12,24,8.2501401e-09,7.2928106e-07,7.210309100000001e-07,2.6045755e-06,2.5755735e-06,0.0048629966999999994
1.0,0.0001,0.72,mg25 ,12,25,1.9257698e-09,9.6685724e-08,9.475995499999999e-08,3.453062e-07,3.3848925999999997e-07,0.008659495
1.0,0.0001,0.72,mg26 ,12,26,1.0841837999999998e-08,1.1953509e-07,1.0869325e-07,4.2691107e-07,3.8825999e-07,0.041214798
1.0,0.0001,0.72,mg27 ,12,27,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,al25 ,13,25,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,al-6 ,13,26,1.2656813e-10,1.2656813e-10,0.0,4.5202908e-10,0.0,0.0
1.0,0.0001,0.72,al*6 ,13,26,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,al27 ,13,27,3.2148861e-09,8.4527386e-08,8.13125e-08,3.0188354999999996e-07,2.9045401e-07,0.016762083
1.0,0.0001,0.72,al28 ,13,28,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,si27 ,14,27,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,si28 ,14,28,5.6614908e-09,9.2046889e-07,9.148074e-07,3.2873893e-06,3.2677567e-06,0.0026013956
1.0,0.0001,0.72,si29 ,14,29,5.1394622e-10,4.8506944e-08,4.7992998e-08,1.7323910000000003e-07,1.7143438e-07,0.0045479796999999995
1.0,0.0001,0.72,si30 ,14,30,1.7805739e-09,3.4731801e-08,3.2951227999999995e-08,1.2404216e-07,1.1770411e-07,0.022777692999999998
1.0,0.0001,0.72,si31 ,14,31,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,si32 ,14,32,5.740049e-16,5.740049e-16,0.0,2.0500176999999998e-15,0.0,0.0
1.0,0.0001,0.72,si33 ,14,33,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,p29  ,15,29,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,p30  ,15,30,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,p31  ,15,31,2.4702835e-09,1.3895073999999998e-08,1.1424791000000001e-08,4.962527099999999e-08,4.0810161e-08,0.084934585
1.0,0.0001,0.72,p32  ,15,32,1.4653249e-19,1.4653249e-19,0.0,5.2333034000000005e-19,0.0,0.0
1.0,0.0001,0.72,p33  ,15,33,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0001,0.72,p34  ,15,34,0.0,0.0,0.0,0.0,0.0,0.0
