# From file: input/yields/lims/k10/['Z0.0001.dat', 'Z0.008.dat', 'Z0.004.dat', 'Z0.02.dat']
mass_ini,Z_ini,mass_fin,elemSymb,elemZ,elemA,Yield,Mi_windloss,Mi_ini,Xi_avg,Xi_ini,ProdFact
3.0,0.0001,0.813,fe60 ,26,60,1.3417260999999998e-07,1.3417260999999998e-07,0.0,6.1350072e-08,0.0,0.0
3.0,0.0001,0.813,fe61 ,26,61,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0001,0.813,co59 ,27,59,4.929770400000001e-08,8.605685800000002e-08,3.6759154e-08,3.9349271e-08,1.6809187e-08,0.36938998
3.0,0.0001,0.813,co60 ,27,60,4.6674622e-13,4.6674622e-13,0.0,2.1341848e-13,0.0,0.0
3.0,0.0001,0.813,co61 ,27,61,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0001,0.813,ni58 ,28,58,-2.4213705e-08,5.169845800000001e-07,5.4119829e-07,2.3638984000000002e-07,2.474786e-07,-0.019908851
3.0,0.0001,0.813,ni59 ,28,59,3.7641314e-11,3.7641314e-11,0.0,1.7211392e-11,0.0,0.0
3.0,0.0001,0.813,ni60 ,28,60,2.0165514999999998e-08,2.3450625999999999e-07,2.1434073999999998e-07,1.0722737e-07,9.801350099999998e-08,0.039019775
3.0,0.0001,0.813,ni61 ,28,61,2.9416444e-07,3.0357171e-07,9.4072616e-09,1.3880737e-07,4.3017425e-09,1.5087681
3.0,0.0001,0.813,ni62 ,28,62,-3.0357185e-08,3.1559946e-11,3.0388744e-08,1.4430701999999999e-11,1.3896131999999998e-08,-2.9836063
3.5,0.0001,0.8540000000000001,g    ,0,1,4.663858599999999e-08,4.7388510999999995e-08,7.4992301e-10,1.7909491000000003e-08,2.8343647e-10,1.8006275
3.5,0.0001,0.8540000000000001,n    ,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,p    ,1,1,-0.1438086,1.8932218999999997,2.0370305,0.71550339,0.76990402,-0.031824898
3.5,0.0001,0.8540000000000001,d    ,1,2,1.4779104e-17,1.4779104e-17,0.0,5.5854515e-18,0.0,0.0
3.5,0.0001,0.8540000000000001,he3  ,2,3,2.3417491e-05,2.3417491e-05,0.0,8.850148300000001e-06,0.0,0.0
3.5,0.0001,0.8540000000000001,he4  ,2,4,0.11693752,0.7254802,0.60854268,0.27417997,0.23000120000000002,0.076305628
3.5,0.0001,0.8540000000000001,li7  ,3,7,2.2613658e-09,7.1971504e-09,4.9357847e-09,2.7200115e-09,1.8655e-09,0.16377552
3.5,0.0001,0.8540000000000001,be7  ,4,7,2.2579860000000003e-08,2.2579860000000003e-08,0.0,8.5335827e-09,0.0,0.0
3.5,0.0001,0.8540000000000001,b8   ,5,8,4.63316e-24,4.63316e-24,0.0,1.7510054e-24,0.0,0.0
3.5,0.0001,0.8540000000000001,c12  ,6,12,0.0068518734,0.006891985,4.011143e-05,0.0026046807999999997,1.5160279e-05,2.2350472999999997
3.5,0.0001,0.8540000000000001,c13  ,6,13,0.00060741953,0.0006079023,4.8274632e-07,0.00022974389,1.8245595e-07,3.100086
3.5,0.0001,0.8540000000000001,c14  ,6,14,1.7396148999999997e-08,1.7396148999999997e-08,0.0,6.5745085e-09,0.0,0.0
3.5,0.0001,0.8540000000000001,n13  ,7,13,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,n14  ,7,14,0.018038806,0.01805342,1.4614999e-05,0.0068229102,5.523798799999999e-06,3.0917318
3.5,0.0001,0.8540000000000001,n15  ,7,15,2.670655e-07,3.2478312e-07,5.7717624e-08,1.2274495e-07,2.1814614e-08,0.75025612
3.5,0.0001,0.8540000000000001,o14  ,8,14,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,o15  ,8,15,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,o16  ,8,16,0.00045057287000000004,0.00057750748,0.0001269346,0.0002182568,4.7975448999999995e-05,0.65794873
3.5,0.0001,0.8540000000000001,o17  ,8,17,8.2621801e-07,8.7764278e-07,5.1424763e-08,3.3168664e-07,1.94362e-08,1.2321166000000001
3.5,0.0001,0.8540000000000001,o18  ,8,18,-2.7739884e-07,9.2803143e-09,2.8667915e-07,3.5072996e-09,1.0835156e-07,-1.4898623
3.5,0.0001,0.8540000000000001,o19  ,8,19,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,f17  ,9,17,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,f18  ,9,18,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,f19  ,9,19,6.100050899999999e-07,6.1536474e-07,5.3596332e-09,2.3256416000000002e-07,2.0256954e-09,2.0599686999999998
3.5,0.0001,0.8540000000000001,f20  ,9,20,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,ne19 ,10,19,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,ne20 ,10,20,1.457096e-05,3.5997218e-05,2.1426257999999997e-05,1.3604391e-05,8.0981417e-06,0.22529374
3.5,0.0001,0.8540000000000001,ne21 ,10,21,7.5626735e-07,8.1087984e-07,5.4612467e-08,3.0645498e-07,2.0641006999999995e-08,1.1716358999999998
3.5,0.0001,0.8540000000000001,ne22 ,10,22,0.000650867,0.00065259013,1.7231149999999998e-06,0.0002466327,6.512583499999999e-07,2.5782974
3.5,0.0001,0.8540000000000001,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,na22 ,11,22,9.3441539e-12,9.3441539e-12,0.0,3.5314265e-12,0.0,0.0
3.5,0.0001,0.8540000000000001,na23 ,11,23,1.2139181e-05,1.2581105e-05,4.4192370000000006e-07,4.754763700000001e-06,1.6702687e-07,1.4543426000000002
3.5,0.0001,0.8540000000000001,na24 ,11,24,1.8537496999999997e-40,1.8537496999999997e-40,0.0,7.0057917e-41,0.0,0.0
3.5,0.0001,0.8540000000000001,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,mg24 ,12,24,3.388951e-06,1.0203465e-05,6.8145137e-06,3.8561847999999995e-06,2.5755735e-06,0.17528391
3.5,0.0001,0.8540000000000001,mg25 ,12,25,5.3277585e-05,5.4173168e-05,8.9558296e-07,2.047361e-05,3.3848925999999997e-07,1.7816496
3.5,0.0001,0.8540000000000001,mg26 ,12,26,0.000154257,0.00015528426000000002,1.0272677e-06,5.868641899999999e-05,3.8825999e-07,2.179415
3.5,0.0001,0.8540000000000001,mg27 ,12,27,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,al25 ,13,25,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,al-6 ,13,26,1.3570116e-07,1.3570116e-07,0.0,5.1285397e-08,0.0,0.0
3.5,0.0001,0.8540000000000001,al*6 ,13,26,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,al27 ,13,27,2.9798025e-06,3.7482928e-06,7.684901700000001e-07,1.4165884e-06,2.9045401e-07,0.68816626
3.5,0.0001,0.8540000000000001,al28 ,13,28,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,si27 ,14,27,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,si28 ,14,28,3.0851816000000003e-06,1.173109e-05,8.6459086e-06,4.4335187999999996e-06,3.2677567e-06,0.13249885
3.5,0.0001,0.8540000000000001,si29 ,14,29,4.4786934999999997e-07,9.0145454e-07,4.5358519e-07,3.4068577e-07,1.7143438e-07,0.29825607
3.5,0.0001,0.8540000000000001,si30 ,14,30,5.9876265e-07,9.101869999999999e-07,3.1142434000000004e-07,3.4398602e-07,1.1770411e-07,0.46574914
3.5,0.0001,0.8540000000000001,si31 ,14,31,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,si32 ,14,32,5.5159891e-12,5.5159891e-12,0.0,2.0846521e-12,0.0,0.0
3.5,0.0001,0.8540000000000001,si33 ,14,33,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,p29  ,15,29,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,p30  ,15,30,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,p31  ,15,31,1.7511722e-07,2.8309372999999995e-07,1.0797650000000001e-07,1.0698932000000002e-07,4.0810161e-08,0.41857213
3.5,0.0001,0.8540000000000001,p32  ,15,32,1.4081267e-15,1.4081267e-15,0.0,5.321719e-16,0.0,0.0
3.5,0.0001,0.8540000000000001,p33  ,15,33,4.4620422e-24,4.4620422e-24,0.0,1.6863348999999998e-24,0.0,0.0
3.5,0.0001,0.8540000000000001,p34  ,15,34,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,s32  ,16,32,-6.8893314e-08,5.1719821000000005e-06,5.2408755e-06,1.9546419e-06,1.9808103e-06,-0.0057756794
3.5,0.0001,0.8540000000000001,s33  ,16,33,1.1006307e-09,4.3762024999999996e-08,4.2661394e-08,1.6538936999999997e-08,1.612405e-08,0.011033468000000001
3.5,0.0001,0.8540000000000001,s34  ,16,34,4.2750798e-09,2.4779533e-06,2.4736782999999998e-06,9.364903199999999e-07,9.3493685e-07,0.00072099845
3.5,0.0001,0.8540000000000001,s35  ,16,35,5.7653442e-09,5.7653442e-09,0.0,2.1788906e-09,0.0,0.0
3.5,0.0001,0.8540000000000001,fe54 ,26,54,-3.19273e-08,9.123351099999999e-07,9.4426241e-07,3.4479785e-07,3.5688784999999994e-07,-0.014967211000000001
3.5,0.0001,0.8540000000000001,fe55 ,26,55,5.2261179e-10,5.2261179e-10,0.0,1.9751013e-10,0.0,0.0
3.5,0.0001,0.8540000000000001,fe56 ,26,56,-4.7115918e-07,1.5011542e-05,1.5482701e-05,5.6732965e-06,5.8517503e-06,-0.013450315
3.5,0.0001,0.8540000000000001,fe57 ,26,57,4.2185206e-09,3.8234375999999995e-07,3.7812523999999995e-07,1.4449878e-07,1.4291398e-07,0.004789474
3.5,0.0001,0.8540000000000001,fe58 ,26,58,8.9302929e-08,1.3826772e-07,4.8964796999999994e-08,5.2255377000000005e-08,1.8506446e-08,0.45080793
3.5,0.0001,0.8540000000000001,fe59 ,26,59,-9.1695551e-27,-9.1695551e-27,0.0,-3.4654405e-27,0.0,0.0
3.5,0.0001,0.8540000000000001,fe60 ,26,60,1.2658927e-07,1.2658927e-07,0.0,4.7841752e-08,0.0,0.0
3.5,0.0001,0.8540000000000001,fe61 ,26,61,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,co59 ,27,59,3.7948602000000003e-08,8.242275099999999e-08,4.4474149e-08,3.1149945e-08,1.6809187e-08,0.2679106
3.5,0.0001,0.8540000000000001,co60 ,27,60,3.1817791e-13,3.1817791e-13,0.0,1.2024865e-13,0.0,0.0
3.5,0.0001,0.8540000000000001,co61 ,27,61,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0001,0.8540000000000001,ni58 ,28,58,-2.21753e-08,6.326094399999999e-07,6.547847400000001e-07,2.3908143e-07,2.474786e-07,-0.014991808999999998
3.5,0.0001,0.8540000000000001,ni59 ,28,59,3.8388962e-11,3.8388962e-11,0.0,1.4508301000000002e-11,0.0,0.0
3.5,0.0001,0.8540000000000001,ni60 ,28,60,1.5471584999999998e-08,2.7479804999999997e-07,2.5932647e-07,1.0385414e-07,9.801350099999998e-08,0.025137893999999997
3.5,0.0001,0.8540000000000001,ni61 ,28,61,3.2610960999999996e-07,3.3749126000000006e-07,1.1381654e-08,1.2754772000000001e-07,4.3017425e-09,1.4720283
3.5,0.0001,0.8540000000000001,ni62 ,28,62,-3.6720952000000006e-08,4.5765332e-11,3.6766718000000004e-08,1.7296045000000002e-11,1.3896131999999998e-08,-2.904947
4.0,0.0001,0.8740000000000001,g    ,0,1,6.2454468e-08,6.334043700000001e-08,8.8596536e-10,2.0262457e-08,2.8343647e-10,1.8542363999999998
4.0,0.0001,0.8740000000000001,n    ,0,1,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,p    ,1,1,-0.23702455,2.1695404,2.406565,0.69403088,0.76990402,-0.045057792
4.0,0.0001,0.8740000000000001,d    ,1,2,1.6805195e-17,1.6805195e-17,0.0,5.3759423e-18,0.0,0.0
4.0,0.0001,0.8740000000000001,he3  ,2,3,7.1095646e-06,7.1095646e-06,0.0,2.2743329e-06,0.0,0.0
4.0,0.0001,0.8740000000000001,he4  ,2,4,0.20344323,0.92238069,0.71893746,0.29506740000000004,0.23000120000000002,0.10819115
4.0,0.0001,0.8740000000000001,li7  ,3,7,-4.066977e-09,1.7642005e-09,5.8311773e-09,5.643635599999999e-10,1.8655e-09,-0.51923627
4.0,0.0001,0.8740000000000001,be7  ,4,7,5.9248531e-09,5.9248531e-09,0.0,1.8953465e-09,0.0,0.0
4.0,0.0001,0.8740000000000001,b8   ,5,8,7.4917006e-25,7.4917006e-25,0.0,2.3965773999999997e-25,0.0,0.0
4.0,0.0001,0.8740000000000001,c12  ,6,12,0.0050201635,0.005067551500000001,4.7387977e-05,0.0016210978,1.5160279e-05,2.0291021000000002
4.0,0.0001,0.8740000000000001,c13  ,6,13,0.00042831691,0.00042888723,5.7032059e-07,0.00013720001000000002,1.8245595e-07,2.8761961
4.0,0.0001,0.8740000000000001,c14  ,6,14,5.2242441e-08,5.2242441e-08,0.0,1.6712233e-08,0.0,0.0
4.0,0.0001,0.8740000000000001,n13  ,7,13,-9.6731723e-38,-9.6731723e-38,0.0,-3.0944248999999997e-38,0.0,0.0
4.0,0.0001,0.8740000000000001,n14  ,7,14,0.026322611,0.026339877,1.7266284e-05,0.0084260646,5.523798799999999e-06,3.1833869999999997
4.0,0.0001,0.8740000000000001,n15  ,7,15,4.814857e-07,5.496738100000001e-07,6.8188086e-08,1.7583935999999997e-07,2.1814614e-08,0.90636855
4.0,0.0001,0.8740000000000001,o14  ,8,14,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,o15  ,8,15,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,o16  ,8,16,0.00064871553,0.00079867715,0.00014996159,0.00025549492999999996,4.7975448999999995e-05,0.72636324
4.0,0.0001,0.8740000000000001,o17  ,8,17,1.1912033999999998e-06,1.2519571e-06,6.0753649e-08,4.0049812000000003e-07,1.94362e-08,1.3139892
4.0,0.0001,0.8740000000000001,o18  ,8,18,-3.3422629e-07,4.4588795e-09,3.3868516999999997e-07,1.426385e-09,1.0835156e-07,-1.8805984
4.0,0.0001,0.8740000000000001,o19  ,8,19,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,f17  ,9,17,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,f18  ,9,18,-3.0231712000000004e-30,-3.0231712000000004e-30,0.0,-9.671053499999998e-31,0.0,0.0
4.0,0.0001,0.8740000000000001,f19  ,9,19,4.9887416e-07,5.0520606e-07,6.3319163e-09,1.6161422e-07,2.0256954e-09,1.9019054
4.0,0.0001,0.8740000000000001,f20  ,9,20,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,ne19 ,10,19,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,ne20 ,10,20,1.9776675e-05,4.5089837e-05,2.5313162000000003e-05,1.4424131999999999e-05,8.0981417e-06,0.25070435
4.0,0.0001,0.8740000000000001,ne21 ,10,21,3.765802e-07,4.4109984000000005e-07,6.451963200000001e-08,1.4110679999999998e-07,2.0641006999999995e-08,0.83481705
4.0,0.0001,0.8740000000000001,ne22 ,10,22,0.00083950651,0.00084154221,2.0357023999999997e-06,0.00026920738,6.512583499999999e-07,2.6163337
4.0,0.0001,0.8740000000000001,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,na22 ,11,22,7.2748654e-11,7.2748654e-11,0.0,2.3272122e-11,0.0,0.0
4.0,0.0001,0.8740000000000001,na23 ,11,23,1.7815879e-05,1.8337971e-05,5.2209236e-07,5.866273599999999e-06,1.6702687e-07,1.545576
4.0,0.0001,0.8740000000000001,na24 ,11,24,-8.851119799999999e-31,-8.851119799999999e-31,0.0,-2.8314522999999994e-31,0.0,0.0
4.0,0.0001,0.8740000000000001,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,mg24 ,12,24,3.8414382e-06,1.1892162e-05,8.0507234e-06,3.8042745000000004e-06,2.5755735e-06,0.16939789
4.0,0.0001,0.8740000000000001,mg25 ,12,25,6.7344889e-05,6.8402936e-05,1.0580493e-06,2.1881939e-05,3.3848925999999997e-07,1.8105409
4.0,0.0001,0.8740000000000001,mg26 ,12,26,0.00019522169999999997,0.00019643533,1.2136226999999999e-06,6.283920100000001e-05,3.8825999e-07,2.2091081000000004
4.0,0.0001,0.8740000000000001,mg27 ,12,27,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,al25 ,13,25,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,al-6 ,13,26,9.7409475e-07,9.7409475e-07,0.0,3.1161062e-07,0.0,0.0
4.0,0.0001,0.8740000000000001,al*6 ,13,26,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,al27 ,13,27,4.9273185e-06,5.8352193e-06,9.0790081e-07,1.8666728e-06,2.9045401e-07,0.80799085
4.0,0.0001,0.8740000000000001,al28 ,13,28,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,si27 ,14,27,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,si28 ,14,28,4.5112274e-06,1.4725577e-05,1.0214349e-05,4.7106773e-06,3.2677567e-06,0.15883364
4.0,0.0001,0.8740000000000001,si29 ,14,29,6.8473315e-07,1.2206025e-06,5.358693299999999e-07,3.9046785e-07,1.7143438e-07,0.35748738
4.0,0.0001,0.8740000000000001,si30 ,14,30,9.533951000000001e-07,1.3213145e-06,3.6791936999999997e-07,4.2268539000000004e-07,1.1770411e-07,0.55522561
4.0,0.0001,0.8740000000000001,si31 ,14,31,-2.5232173e-39,-2.5232173e-39,0.0,-8.0717174e-40,0.0,0.0
4.0,0.0001,0.8740000000000001,si32 ,14,32,8.8738166e-12,8.8738166e-12,0.0,2.8387130000000002e-12,0.0,0.0
4.0,0.0001,0.8740000000000001,si33 ,14,33,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,p29  ,15,29,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,p30  ,15,30,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,p31  ,15,31,2.8890213e-07,4.1646646000000005e-07,1.2756435e-07,1.3322664000000002e-07,4.0810161e-08,0.51382273
4.0,0.0001,0.8740000000000001,p32  ,15,32,2.2653168e-15,2.2653168e-15,0.0,7.2466951e-16,0.0,0.0
4.0,0.0001,0.8740000000000001,p33  ,15,33,-1.2986588999999998e-21,-1.2986588999999998e-21,0.0,-4.1543793e-22,0.0,0.0
4.0,0.0001,0.8740000000000001,p34  ,15,34,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,s32  ,16,32,-7.9206984e-08,6.112407400000001e-06,6.191614400000001e-06,1.9553447e-06,1.9808103e-06,-0.0056195715
4.0,0.0001,0.8740000000000001,s33  ,16,33,1.7801014e-09,5.2180635e-08,5.0400534000000006e-08,1.6692463e-08,1.612405e-08,0.015046268
4.0,0.0001,0.8740000000000001,s34  ,16,34,7.4721811e-09,2.9298964999999997e-06,2.9224242999999994e-06,9.3726698e-07,9.3493685e-07,0.0010810492999999998
4.0,0.0001,0.8740000000000001,s35  ,16,35,7.7281026e-09,7.7281026e-09,0.0,2.4722018e-09,0.0,0.0
4.0,0.0001,0.8740000000000001,fe54 ,26,54,-3.9937504000000004e-08,1.0756221e-06,1.1155596000000002e-06,3.4408896e-07,3.5688784999999994e-07,-0.015861027
4.0,0.0001,0.8740000000000001,fe55 ,26,55,6.0686534e-10,6.0686534e-10,0.0,1.9413479e-10,0.0,0.0
4.0,0.0001,0.8740000000000001,fe56 ,26,56,-5.9407284e-07,1.7697320999999998e-05,1.8291394e-05,5.6613312e-06,5.8517503e-06,-0.014367234
4.0,0.0001,0.8740000000000001,fe57 ,26,57,4.1859494e-09,4.509063e-07,4.4672035e-07,1.4424385999999997e-07,1.4291398e-07,0.004022630399999999
4.0,0.0001,0.8740000000000001,fe58 ,26,58,1.0193704999999999e-07,1.5978448e-07,5.784742599999999e-08,5.1114679e-08,1.8506446e-08,0.44122261
4.0,0.0001,0.8740000000000001,fe59 ,26,59,1.3809709e-23,1.3809709e-23,0.0,4.4176933e-24,0.0,0.0
4.0,0.0001,0.8740000000000001,fe60 ,26,60,1.6856369000000001e-07,1.6856369000000001e-07,0.0,5.3923126999999997e-08,0.0,0.0
4.0,0.0001,0.8740000000000001,fe61 ,26,61,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,co59 ,27,59,4.3553882e-08,9.6096016e-08,5.2542134000000005e-08,3.0740889e-08,1.6809187e-08,0.26216972
4.0,0.0001,0.8740000000000001,co60 ,27,60,2.7850376e-13,2.7850376e-13,0.0,8.909269400000001e-14,0.0,0.0
4.0,0.0001,0.8740000000000001,co61 ,27,61,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0001,0.8740000000000001,ni58 ,28,58,-2.7760109e-08,7.458081700000001e-07,7.7356827e-07,2.3858226e-07,2.474786e-07,-0.015899504
4.0,0.0001,0.8740000000000001,ni59 ,28,59,6.7095468e-11,6.7095468e-11,0.0,2.1463682000000002e-11,0.0,0.0
4.0,0.0001,0.8740000000000001,ni60 ,28,60,1.8580294999999996e-08,3.2495078e-07,3.0637047999999995e-07,1.0395099e-07,9.801350099999998e-08,0.025542707999999997
4.0,0.0001,0.8740000000000001,ni61 ,28,61,4.1651322e-07,4.2995958000000003e-07,1.3446381e-08,1.3754305e-07,4.3017425e-09,1.5047941999999999
4.0,0.0001,0.8740000000000001,ni62 ,28,62,-4.3391565999999996e-08,4.4945835e-11,4.3436511e-08,1.4378066e-11,1.3896131999999998e-08,-2.9851935000000003
4.5,0.0001,0.897,g    ,0,1,5.708453400000001e-08,5.8105690999999995e-08,1.0211577e-09,1.612703e-08,2.8343655e-10,1.7550986000000002
4.5,0.0001,0.897,n    ,0,1,3.765289e-42,3.765289e-42,0.0,1.0453687e-42,0.0,0.0
4.5,0.0001,0.897,p    ,1,1,-0.29226971,2.4815199,2.7737896,0.68873715,0.76990402,-0.048383068
4.5,0.0001,0.897,d    ,1,2,1.8837416000000003e-17,1.8837416000000003e-17,0.0,5.2282588e-18,0.0,0.0
4.5,0.0001,0.897,he3  ,2,3,5.3382759999999995e-06,5.3382759999999995e-06,0.0,1.4816197e-06,0.0,0.0
4.5,0.0001,0.897,he4  ,2,4,0.26488173,1.0935242,0.82864249,0.30350381,0.23000127,0.1204339
4.5,0.0001,0.897,li7  ,3,7,-5.255294e-09,1.4656797e-09,6.7209736e-09,4.0679426e-10,1.8655e-09,-0.6614204
4.5,0.0001,0.897,be7  ,4,7,5.3063318e-09,5.3063318e-09,0.0,1.4727538e-09,0.0,0.0
4.5,0.0001,0.897,b8   ,5,8,1.0835241000000002e-24,1.0835241000000002e-24,0.0,3.0072832e-25,0.0,0.0
4.5,0.0001,0.897,c12  ,6,12,0.0034412725,0.0034958916,5.4619068e-05,0.00097027246,1.5160283999999999e-05,1.8061863999999999
4.5,0.0001,0.897,c13  ,6,13,0.00035059865,0.00035125599,6.5734758e-07,9.7489872e-05,1.8245599e-07,2.7278013
4.5,0.0001,0.897,c14  ,6,14,3.5103135e-08,3.5103135e-08,0.0,9.7427524e-09,0.0,0.0
4.5,0.0001,0.897,n13  ,7,13,1.7694755999999997e-40,1.7694755999999997e-40,0.0,4.9111307e-41,0.0,0.0
4.5,0.0001,0.897,n14  ,7,14,0.022397351,0.022417251000000003,1.9901001e-05,0.006221829399999999,5.5238002e-06,3.0516801
4.5,0.0001,0.897,n15  ,7,15,4.5639365000000003e-07,5.349867800000001e-07,7.8593125e-08,1.4848370999999998e-07,2.1814617999999998e-08,0.83293122
4.5,0.0001,0.897,o14  ,8,14,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,o15  ,8,15,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,o16  ,8,16,0.00047720352,0.0006500482599999999,0.00017284471999999998,0.00018041862000000002,4.7975464e-05,0.57526219
4.5,0.0001,0.897,o17  ,8,17,1.2108558e-06,1.28088e-06,7.0024242e-08,3.5550377000000004e-07,1.9436206000000002e-08,1.2622328
4.5,0.0001,0.897,o18  ,8,18,-3.8618924e-07,4.1769876e-09,3.9036624e-07,1.1593083e-09,1.0835158999999998e-07,-1.9706363999999998
4.5,0.0001,0.897,o19  ,8,19,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,f17  ,9,17,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,f18  ,9,18,6.2138965e-32,6.2138965e-32,0.0,1.7246452e-32,0.0,0.0
4.5,0.0001,0.897,f19  ,9,19,2.1033479e-07,2.1763292e-07,7.2981234e-09,6.0403252e-08,2.0256961e-09,1.4744861
4.5,0.0001,0.897,f20  ,9,20,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,ne19 ,10,19,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,ne20 ,10,20,1.3736626000000001e-05,4.2912405e-05,2.9175779000000002e-05,1.1910188e-05,8.0981445e-06,0.16753308
4.5,0.0001,0.897,ne21 ,10,21,2.1377710000000001e-07,2.8814199e-07,7.4364891e-08,7.99728e-08,2.0641011000000003e-08,0.58821136
4.5,0.0001,0.897,ne22 ,10,22,0.00049007178,0.0004924181299999999,2.3463369e-06,0.00013666892,6.5125857e-07,2.3219163
4.5,0.0001,0.897,ne23 ,10,23,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,na21 ,11,21,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,na22 ,11,22,5.4964699e-11,5.4964699e-11,0.0,1.5255259e-11,0.0,0.0
4.5,0.0001,0.897,na23 ,11,23,1.1380284e-05,1.1982044e-05,6.0176012e-07,3.3255744e-06,1.6702691000000002e-07,1.2990803
4.5,0.0001,0.897,na24 ,11,24,-1.7040555e-32,-1.7040555e-32,0.0,-4.7295463999999997e-33,0.0,0.0
4.5,0.0001,0.897,mg23 ,12,23,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0001,0.897,mg24 ,12,24,5.8940441e-07,9.8686151e-06,9.2792106e-06,2.7389995e-06,2.5755742000000004e-06,0.026717896
4.5,0.0001,0.897,mg25 ,12,25,4.5108132e-05,4.6327634e-05,1.2195004e-06,1.2858072e-05,3.3848934e-07,1.5796309
4.5,0.0001,0.897,mg26 ,12,26,0.00013118601,0.00013258483,1.3988132999999998e-06,3.6798454000000004e-05,3.8826013000000006e-07,1.9767066999999998
