 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
P31    15   31  5.7940E+00  9.4819E+00  1.2605E+01  4.0358E+01  5.9361E+01  1.1910E+02  2.6982E+02  3.8724E+02  9.7673E+02  1.9496E+03  2.3738E+03  8.4251E+03  2.7087E-05  4.3595E-05  5.8646E-05  1.3643E-05  2.2530E-05  4.8091E-05  6.3203E-06  1.3208E-05  3.5028E-05  4.3697E-06  7.6031E-06  2.8979E-05  5.7942E+00  4.0359E+01  2.6983E+02  1.9496E+03  2.7088E-05  1.3644E-05  6.3206E-06  4.3699E-06  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
S32    16   32  6.1759E+00  1.4666E+01  1.7583E+01  5.0186E+01  1.0130E+02  1.5543E+02  5.1433E+02  1.2217E+03  1.8382E+03  8.1026E+03  1.1298E+04  9.5359E+03  1.4510E-03  3.3888E-03  4.1112E-03  1.9088E-03  4.3254E-03  7.0610E-03  1.3555E-03  4.6882E-03  7.4168E-03  2.0433E-03  4.0715E-03  3.6903E-03  6.1764E+00  5.0189E+01  5.1439E+02  8.1028E+03  1.4511E-03  1.9090E-03  1.3557E-03  2.0434E-03  2.9480E-04  6.5989E-05  6.5989E-06  6.5989E-07
S33    16   33  5.9859E+00  1.3164E+01  1.7245E+01  2.5734E+01  4.3086E+01  8.9438E+01  1.9681E+02  4.6778E+02  8.0616E+02  2.4159E+03  3.6046E+03  5.3949E+03  1.1611E-05  2.5113E-05  3.3290E-05  8.0810E-06  1.5190E-05  3.3545E-05  4.2822E-06  1.4820E-05  2.6856E-05  5.0300E-06  1.0725E-05  1.7237E-05  5.9863E+00  2.5735E+01  1.9683E+02  2.4160E+03  1.1612E-05  8.0814E-06  4.2828E-06  5.0303E-06  2.4339E-06  5.4482E-07  5.4482E-08  5.4482E-09
S34    16   34  7.1445E+00  1.6641E+01  2.2050E+01  1.9806E+01  2.7904E+01  1.4550E+02  1.0999E+02  1.5911E+02  1.1104E+03  8.3143E+02  1.3406E+03  6.6011E+03  8.0599E-05  1.8463E-04  2.4755E-04  3.6172E-05  5.7213E-05  3.1737E-04  1.3918E-05  2.9316E-05  2.1512E-04  1.0067E-05  2.3196E-05  1.2266E-04  7.1450E+00  1.9807E+01  1.0999E+02  8.3147E+02  8.0604E-05  3.6173E-05  1.3919E-05  1.0068E-05  1.4155E-05  3.1685E-06  3.1685E-07  3.1685E-08
S36    16   36  2.2719E+00  2.7069E+00  6.8651E+00  1.7485E+00  2.8315E+00  1.2874E+01  1.4078E+00  3.3620E+00  4.7252E+01  1.8547E+00  3.6281E+00  1.3821E+03  1.2651E-07  1.4825E-07  3.8045E-07  1.5763E-08  2.8658E-08  1.3862E-07  8.7937E-10  3.0579E-09  4.5190E-08  1.1086E-10  3.0989E-10  1.2678E-07  2.2719E+00  1.7485E+00  1.4079E+00  1.8548E+00  1.2652E-07  1.5764E-08  8.7948E-10  1.1087E-10  6.9873E-08  1.5641E-08  1.5641E-09  1.5641E-10
Cl35   17   35  1.9672E+00  3.3530E+00  4.6194E+00  8.8064E+00  1.6803E+01  6.2297E+01  4.6612E+01  2.1800E+02  5.9709E+02  5.9888E+02  1.2389E+03  3.0961E+03  9.6808E-06  1.6227E-05  2.2622E-05  3.1337E-06  6.7128E-06  2.6477E-05  1.1493E-06  7.8265E-06  2.2540E-05  1.4129E-06  4.1768E-06  1.1209E-05  1.9673E+00  8.8069E+00  4.6625E+01  5.9893E+02  9.6811E-06  3.1339E-06  1.1496E-06  1.4131E-06  6.1745E-06  6.1737E-07  6.1737E-08  6.1737E-09
Cl37   17   37  1.8501E+00  3.1424E+00  4.1256E+00  6.4282E+00  1.7183E+01  5.5666E+01  3.5718E+01  2.7721E+02  4.8229E+02  1.0073E+03  1.4778E+03  1.4617E+03  3.0761E-06  5.1383E-06  6.8263E-06  7.7285E-07  2.3193E-06  7.9935E-06  2.9755E-07  3.3625E-06  6.1512E-06  8.0298E-07  1.6834E-06  1.7880E-06  1.8502E+00  6.4288E+00  3.5736E+01  1.0074E+03  3.0762E-06  7.7293E-07  2.9771E-07  8.0303E-07  2.0862E-06  2.0859E-07  2.0859E-08  2.0859E-09
Ar36   18   36  5.8213E+00  1.4033E+01  1.6878E+01  5.0817E+01  1.2639E+02  1.7948E+02  5.5194E+02  1.6009E+03  2.1332E+03  9.9911E+03  1.3252E+04  9.9827E+03  2.6127E-04  6.1941E-04  7.5385E-04  3.6923E-04  1.0310E-03  1.5576E-03  2.7787E-04  1.1736E-03  1.6443E-03  4.8131E-04  9.1232E-04  7.3799E-04  5.8217E+00  5.0821E+01  5.5202E+02  9.9914E+03  2.6129E-04  3.6926E-04  2.7792E-04  4.8134E-04  5.6315E-05  1.2606E-05  1.2606E-06  1.2606E-07
Ar38   18   38  4.0919E+00  1.0578E+01  1.5344E+01  1.0725E+01  1.9252E+01  2.9143E+02  5.6900E+01  1.7631E+02  2.0745E+03  1.0832E+03  1.5999E+03  6.0931E+03  3.5247E-05  8.9610E-05  1.3152E-04  1.4955E-05  3.0139E-05  4.8539E-04  5.4977E-06  2.4804E-05  3.0688E-04  1.0015E-05  2.1138E-05  8.6448E-05  4.0923E+00  1.0725E+01  5.6909E+01  1.0832E+03  3.5250E-05  1.4956E-05  5.4987E-06  1.0015E-05  1.0808E-05  2.4193E-06  2.4193E-07  2.4193E-08
Ar40   18   40  2.3700E+00  4.3619E+00  7.8278E+00  1.7521E+00  5.9568E+00  1.0090E+01  1.1329E+00  8.4609E+00  1.5634E+01  1.0405E+00  1.0252E+01  2.8354E+03  3.4369E-08  6.2209E-08  1.1297E-07  4.1132E-09  1.5700E-08  2.8293E-08  1.8428E-10  2.0040E-09  3.8936E-09  1.6196E-11  2.2802E-10  6.7725E-08  2.3701E+00  1.7523E+00  1.1335E+00  1.0412E+00  3.4370E-08  4.1138E-09  1.8438E-10  1.6207E-11  1.8196E-08  4.0730E-09  4.0730E-10  4.0730E-11
K39    19   39  1.7959E+00  3.5329E+00  6.4954E+00  9.4691E+00  3.7902E+01  2.4031E+02  6.5463E+01  8.4001E+02  2.0898E+03  1.8542E+03  3.3405E+03  7.8347E+03  4.1009E-06  7.9338E-06  1.4760E-05  1.5635E-06  7.0261E-06  4.7393E-05  7.4895E-07  1.3993E-05  3.6605E-05  2.0299E-06  5.2259E-06  1.3162E-05  1.7960E+00  9.4708E+00  6.5523E+01  1.8543E+03  4.1011E-06  1.5638E-06  7.4965E-07  2.0301E-06  2.8651E-06  2.8647E-07  2.8647E-08  2.8647E-09
K40    19   40  8.6065E+00  2.1006E+01  6.2788E+01  2.4091E+01  9.5775E+01  2.6110E+02  2.6684E+01  4.4997E+02  1.4025E+03  1.2487E+02  5.4001E+02  6.8300E+04  3.1815E-08  7.6368E-08  2.3098E-07  6.4398E-09  2.8742E-08  8.3363E-08  4.9422E-10  1.2135E-08  3.9772E-08  2.2131E-10  1.3677E-09  1.8576E-07  8.6072E+00  2.4095E+01  2.6716E+01  1.2490E+02  3.1818E-08  6.4410E-09  4.9484E-10  2.2137E-10  4.6383E-09  4.6377E-10  4.6377E-11  4.6377E-12
K41    19   41  2.6301E+00  5.6827E+00  1.1630E+01  1.1610E+01  1.0217E+02  3.2147E+02  7.4431E+01  2.3236E+03  2.6413E+03  4.2581E+03  3.2817E+03  6.1417E+03  4.5564E-07  9.6818E-07  2.0051E-06  1.4544E-07  1.4369E-06  4.8099E-06  6.4606E-08  2.9367E-06  3.5102E-06  3.5367E-07  3.8950E-07  7.8280E-07  2.6302E+00  1.1615E+01  7.4605E+01  4.2580E+03  4.5566E-07  1.4551E-07  6.4758E-08  3.5367E-07  2.1737E-07  2.1734E-08  2.1734E-09  2.1734E-10
