 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
Na23   11   23  1.6183E+01  1.3445E+01  1.5172E+01  5.8029E+01  4.8011E+01  6.9586E+01  3.2038E+02  2.4355E+02  4.6910E+02  2.5514E+03  1.9887E+03  4.5165E+03  4.4623E-04  3.6165E-04  4.0990E-04  1.5761E-04  1.2647E-04  1.8291E-04  8.7686E-05  6.0415E-05  1.2124E-04  6.9560E-05  5.1932E-05  1.1919E-04  1.6182E+01  5.8029E+01  3.2038E+02  2.5513E+03  4.4623E-04  1.5761E-04  8.7684E-05  6.9559E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
Mg24   12   24  7.0030E+00  6.6748E+00  6.1505E+00  4.6375E+01  6.6730E+01  5.9819E+01  4.4684E+02  8.6935E+02  8.1922E+02  4.1703E+03  1.1244E+04  7.0410E+03  3.6463E-03  3.3903E-03  3.1376E-03  4.2295E-03  5.9023E-03  5.2798E-03  4.1065E-03  7.2413E-03  7.1095E-03  3.8178E-03  9.8597E-03  6.2389E-03  7.0030E+00  4.6376E+01  4.4686E+02  4.1707E+03  3.6463E-03  4.2296E-03  4.1066E-03  3.8181E-03  5.5560E-04  9.8788E-05  9.8788E-06  9.8788E-07
Mg25   12   25  1.1697E+01  1.5506E+01  1.4148E+01  2.3090E+01  4.2549E+01  7.1284E+01  4.5437E+01  2.8517E+02  8.7602E+02  1.9704E+02  5.4363E+03  8.9676E+03  8.0318E-04  1.0386E-03  9.5176E-04  2.7772E-04  4.9632E-04  8.2975E-04  5.5068E-05  3.1326E-04  1.0026E-03  2.3789E-05  6.2866E-04  1.0479E-03  1.1697E+01  2.3091E+01  4.5448E+01  1.9731E+02  8.0319E-04  2.7773E-04  5.5082E-05  2.3821E-05  7.3269E-05  1.3028E-05  1.3028E-06  1.3028E-07
Mg26   12   26  9.8476E+00  1.2670E+01  1.2753E+01  2.0918E+01  3.3595E+01  7.9107E+01  4.5721E+01  1.3239E+02  9.1492E+02  2.5322E+02  1.5081E+03  5.3892E+03  7.7425E-04  9.7177E-04  9.8240E-04  2.8807E-04  4.4870E-04  1.0543E-03  6.3447E-05  1.6651E-04  1.1989E-03  3.5004E-05  1.9968E-04  7.2107E-04  9.8477E+00  2.0918E+01  4.5725E+01  2.5328E+02  7.7426E-04  2.8808E-04  6.3453E-05  3.5013E-05  8.3896E-05  1.4917E-05  1.4917E-06  1.4917E-07
Al27   13   27  9.6977E+00  8.9025E+00  9.5658E+00  5.3425E+01  6.2567E+01  6.3631E+01  2.6391E+02  3.7020E+02  5.8091E+02  1.8599E+03  2.9967E+03  5.3696E+03  5.0912E-04  4.5592E-04  4.9203E-04  2.7627E-04  3.1378E-04  3.1844E-04  1.3752E-04  1.7484E-04  2.8585E-04  9.6543E-05  1.4899E-04  2.6978E-04  9.6977E+00  5.3425E+01  2.6391E+02  1.8600E+03  5.0912E-04  2.7627E-04  1.3752E-04  9.6545E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
Si28   14   28  1.1315E+01  1.5097E+01  1.6295E+01  5.1739E+01  7.3830E+01  9.6657E+01  4.5237E+02  8.3277E+02  1.0452E+03  4.3886E+03  7.7691E+03  7.5491E+03  6.5233E-03  8.4905E-03  9.2044E-03  7.5524E-03  1.0452E-02  1.3654E-02  6.6538E-03  1.1102E-02  1.4517E-02  6.4303E-03  1.0903E-02  1.0706E-02  1.1315E+01  5.1741E+01  4.5239E+02  4.3888E+03  6.5234E-03  7.5526E-03  6.6540E-03  6.4305E-03  6.1519E-04  1.5811E-04  1.5811E-05  1.5811E-06
Si29   14   29  8.1595E+00  9.9444E+00  1.0965E+01  1.5652E+01  2.1841E+01  3.0952E+01  5.8927E+01  1.2156E+02  2.4416E+02  4.1738E+02  9.9136E+02  2.2389E+03  2.4739E-04  2.9412E-04  3.2572E-04  1.2016E-04  1.6261E-04  2.2994E-04  4.5582E-05  8.5223E-05  1.7835E-04  3.2161E-05  7.3169E-05  1.6698E-04  8.1596E+00  1.5653E+01  5.8930E+01  4.1741E+02  2.4740E-04  1.2016E-04  4.5584E-05  3.2164E-05  3.2353E-05  8.3150E-06  8.3150E-07  8.3150E-08
Si30   14   30  1.4050E+01  1.8309E+01  2.1466E+01  3.0134E+01  4.4582E+01  6.1606E+01  8.5980E+01  2.0244E+02  4.6578E+02  4.4547E+02  1.5165E+03  4.6818E+03  2.9050E-04  3.6929E-04  4.3485E-04  1.5775E-04  2.2634E-04  3.1211E-04  4.5354E-05  9.6789E-05  2.3201E-04  2.3408E-05  7.6328E-05  2.3812E-04  1.4050E+01  3.0135E+01  8.5986E+01  4.4553E+02  2.9050E-04  1.5775E-04  4.5357E-05  2.3411E-05  2.2063E-05  5.6703E-06  5.6703E-07  5.6703E-08
P31    15   31  1.3554E+01  1.8184E+01  1.9803E+01  7.9688E+01  1.1642E+02  1.6992E+02  3.0956E+02  6.6373E+02  1.4163E+03  2.1873E+03  5.1501E+03  1.1720E+04  7.4511E-05  9.7513E-05  1.0666E-04  4.3150E-05  6.1137E-05  8.9046E-05  1.6891E-05  3.2824E-05  7.2977E-05  1.1889E-05  2.6812E-05  6.1657E-05  1.3554E+01  7.9690E+01  3.0958E+02  2.1874E+03  7.4512E-05  4.3151E-05  1.6891E-05  1.1889E-05  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
S32    16   32  8.6806E+00  1.2330E+01  1.3962E+01  3.8817E+01  7.0303E+01  1.2489E+02  3.1961E+02  8.6729E+02  1.2916E+03  3.6336E+03  7.3966E+03  7.0170E+03  2.3982E-03  3.3230E-03  3.7791E-03  2.3648E-03  4.1538E-03  7.3636E-03  1.9620E-03  4.8256E-03  7.4873E-03  2.2220E-03  4.3324E-03  4.1534E-03  8.6807E+00  3.8819E+01  3.1964E+02  3.6338E+03  2.3982E-03  2.3649E-03  1.9622E-03  2.2221E-03  2.9480E-04  6.5989E-05  6.5989E-06  6.5989E-07
