  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Ni60   28   60  7.4222E+00  5.8240E+00  5.1351E+00  5.6760E+00  5.0874E+00  4.6824E+00  3.9267E+00  3.7378E+00  2.9026E+00
Ni61   28   61  1.0392E+01  9.4209E+00  1.0939E+01  1.5645E+01  1.4845E+01  1.7378E+01  1.3923E+01  1.2308E+01  1.0038E+01
Ni62   28   62  2.2638E+01  1.8844E+01  1.7955E+01  2.0880E+01  2.1673E+01  2.3832E+01  1.9889E+01  1.8598E+01  1.3811E+01
Ni64   28   64  2.3700E+00  3.0323E+00  7.0112E+00  1.8647E+01  2.1950E+01  3.5857E+01  3.6271E+01  4.6958E+01  3.6276E+01
Cu63   29   63  3.0626E+00  4.4524E+00  1.0214E+01  2.7060E+01  2.8737E+01  4.0934E+01  3.6820E+01  3.5632E+01  2.5288E+01
Cu65   29   65  3.3681E+00  5.4164E+00  1.2237E+01  2.5657E+01  3.8228E+01  6.5881E+01  6.5364E+01  8.8025E+01  7.8403E+01
Zn64   30   64  1.8679E+00  1.9102E+00  2.4099E+00  3.3270E+00  4.3455E+00  5.8255E+00  5.4883E+00  6.7364E+00  6.4203E+00
Zn66   30   66  4.0703E+00  4.7867E+00  6.8027E+00  1.4413E+01  2.4076E+01  3.4363E+01  3.3761E+01  4.3283E+01  3.7654E+01
Zn67   30   67  1.7634E+00  2.5554E+00  7.3480E+00  1.8662E+01  2.3297E+01  5.3251E+01  4.5549E+01  5.3005E+01  3.5527E+01
Zn68   30   68  1.8343E+00  2.5200E+00  6.4479E+00  1.7012E+01  2.5866E+01  5.3951E+01  5.1128E+01  6.7790E+01  5.5337E+01
Zn70   30   70  1.6292E+00  2.2964E+00  3.3028E+00  1.2668E+01  7.2971E+01  6.7449E+01  9.9553E+01  1.6368E+02  3.5562E+02
Ga69   31   69  2.6616E+00  4.1367E+00  1.0175E+01  2.7811E+01  5.0366E+01  8.8471E+01  8.6955E+01  1.1485E+02  9.9281E+01
Ga71   31   71  2.4702E+00  3.7608E+00  1.1442E+01  3.3786E+01  5.4401E+01  1.0482E+02  1.0468E+02  1.5475E+02  1.4561E+02
Ge70   32   70  2.4680E+00  3.8525E+00  8.6047E+00  2.7030E+01  4.6621E+01  8.1701E+01  8.1361E+01  1.0730E+02  7.8931E+01
Ge72   32   72  1.9257E+00  2.6786E+00  6.1351E+00  1.8268E+01  3.5263E+01  6.1504E+01  6.4896E+01  8.9972E+01  7.5161E+01
Ge73   32   73  1.5556E+00  1.9874E+00  5.9497E+00  2.0538E+01  2.9873E+01  6.7891E+01  6.2204E+01  7.3904E+01  4.8610E+01
Ge74   32   74  1.5456E+00  1.8679E+00  4.7175E+00  1.3854E+01  2.3574E+01  5.0667E+01  5.1577E+01  7.2838E+01  6.1309E+01
Ge76   32   76  1.1016E+00  1.3395E+00  1.6763E+00  5.2158E+00  3.0068E+01  2.9229E+01  4.5306E+01  7.8128E+01  1.1253E+02
As75   33   75  2.1899E+00  3.4522E+00  8.5318E+00  2.4955E+01  6.8590E+01  9.9577E+01  1.1335E+02  1.6312E+02  1.3710E+02
Se74   34   74  4.5865E+00  9.2930E+00  1.4855E+01  5.7094E+01  1.9748E+02  2.1658E+02  2.8525E+02  4.0183E+02  2.0708E+02
Se76   34   76  2.3534E+00  3.4017E+00  7.6150E+00  2.7168E+01  6.2289E+01  9.7268E+01  1.1329E+02  1.6406E+02  1.2764E+02
Se77   34   77  1.6385E+00  2.3815E+00  6.3276E+00  1.8237E+01  7.1598E+01  8.2523E+01  1.1719E+02  2.0502E+02  1.3576E+02
Se78   34   78  1.5315E+00  1.7290E+00  4.4961E+00  1.5104E+01  2.1833E+01  5.3627E+01  5.2935E+01  7.5694E+01  7.4031E+01
Se80   34   80  1.1676E+00  1.2185E+00  2.2853E+00  6.3774E+00  9.3329E+00  2.2321E+01  2.0432E+01  2.3976E+01  2.0045E+01
Se82   34   82  1.0914E+00  1.3055E+00  1.5533E+00  5.3429E+00  2.2319E+01  2.8411E+01  3.8992E+01  5.0764E+01  7.1751E+01
Br79   35   79  1.2807E+00  1.4814E+00  3.7994E+00  1.3447E+01  1.9203E+01  4.8535E+01  4.3039E+01  4.8030E+01  3.5938E+01
Br81   35   81  1.3179E+00  1.5140E+00  3.1310E+00  9.7589E+00  2.0363E+01  3.6263E+01  3.8759E+01  5.1864E+01  4.6884E+01
Kr78   36   78  1.4609E+00  2.0343E+00  2.7603E+00  1.1162E+01  3.1977E+01  3.8400E+01  4.9218E+01  6.7292E+01  3.3571E+01
Kr80   36   80  1.7673E+00  2.4216E+00  4.4936E+00  1.2386E+01  3.0536E+01  4.3494E+01  6.4016E+01  1.2467E+02  1.4066E+02
Kr82   36   82  1.3323E+00  1.4568E+00  3.0996E+00  1.0149E+01  1.0364E+01  3.0475E+01  3.3137E+01  6.6863E+01  8.2509E+01
Kr83   36   83  1.1201E+00  1.2826E+00  2.4789E+00  7.3766E+00  1.4246E+01  2.6811E+01  2.9607E+01  4.6320E+01  4.6274E+01
Kr84   36   84  1.0667E+00  1.1411E+00  1.8585E+00  3.8860E+00  4.8591E+00  1.3035E+01  1.4370E+01  2.6521E+01  2.8595E+01
