# Uncorrected
# names=['KIC', 'Teff1', 'e_Teff1', '[M/H]1', 'e_[M/H]1', 'M1', 'E_M1', 'e_M1', 'R1', 'E_R1', 'e_R1', 'log.g1', 'E_log.g1', 'e_log.g1', 'rho1', 'E_rho1', 'e_rho1']
10652469 4499  99 -0.37 0.07     1.13     0.12     0.12     8.87     0.38     0.39     2.595     0.011     0.011     0.00162     0.00005     0.00005
10784013 4387  93 -0.24 0.06     1.22     0.26     0.22    16.28     1.13     1.11     2.103     0.025     0.026     0.00028     0.00001     0.00001
10849541 4363  95 -0.28 0.06     1.15     0.13     0.11    13.73     0.61     0.55     2.222     0.011     0.012     0.00044     0.00001     0.00001
10718491 4591  84  0.00 0.05     1.50     0.17     0.14    10.38     0.47     0.42     2.581     0.011     0.011     0.00134     0.00004     0.00004
10849000 4558  86 -0.06 0.06     1.14     0.14     0.13     8.09     0.39     0.37     2.679     0.014     0.014     0.00215     0.00007     0.00007
10653200 4623  84  0.00 0.05     1.36     0.17     0.16    10.96     0.48     0.47     2.490     0.015     0.016     0.00103     0.00003     0.00003
10653383 4754  86 -0.05 0.06     1.49     0.17     0.13    11.15     0.51     0.37     2.516     0.012     0.013     0.00107     0.00003     0.00003
10587702 4453  82  0.04 0.05     1.11     0.18     0.14     9.45     0.52     0.45     2.534     0.020     0.017     0.00132     0.00004     0.00004
10718902 4609  95 -0.27 0.06 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
10784996 4360  86 -0.05 0.06     1.15     0.17     0.14    13.50     0.83     0.74     2.239     0.012     0.012     0.00047     0.00002     0.00002
10965536 4469  94 -0.24 0.06     1.27     0.16     0.15    12.95     0.62     0.60     2.316     0.015     0.015     0.00058     0.00002     0.00002
11074543 4520  93 -0.23 0.06     1.10     0.11     0.12     8.25     0.34     0.35     2.648     0.010     0.012     0.00197     0.00006     0.00006
11019954 4837  93 -0.22 0.06     1.12     0.13     0.12    10.52     0.52     0.50     2.441     0.011     0.011     0.00096     0.00004     0.00004
11020211 4636 101 -0.42 0.07     0.99     0.11     0.10     5.73     0.27     0.24     2.919     0.011     0.010     0.00528     0.00018     0.00019
11020101 4862  77  0.16 0.05     2.17     0.34     0.33     8.00     0.53     0.52     2.964     0.023     0.025     0.00420     0.00032     0.00030
10966241 4872  95 -0.27 0.06     1.52     0.16     0.15     7.30     0.32     0.31     2.892     0.011     0.012     0.00390     0.00013     0.00012
10910541 4609  98 -0.36 0.07     0.95     0.13     0.08    10.48     0.57     0.39     2.375     0.013     0.012     0.00082     0.00003     0.00003
10910802 4369  79  0.12 0.05     1.03     0.13     0.08    12.70     0.60     0.38     2.245     0.015     0.012     0.00050     0.00001     0.00001
10910889 4583  71  0.32 0.04     1.74     0.23     0.19    11.37     0.56     0.50     2.566     0.018     0.017     0.00118     0.00004     0.00003
10910523 4375  88 -0.10 0.06     1.17     0.15     0.13    12.92     0.64     0.59     2.283     0.014     0.015     0.00054     0.00002     0.00002
11075908 4648  88 -0.11 0.06     1.21     0.16     0.17    10.58     0.49     0.56     2.473     0.017     0.018     0.00103     0.00003     0.00003
10966458 4528  85 -0.03 0.06     1.04     0.12     0.10    10.70     0.51     0.43     2.396     0.012     0.012     0.00085     0.00003     0.00003
10910674 4532  86 -0.06 0.06     1.27     0.20     0.18    11.20     0.61     0.60     2.443     0.018     0.019     0.00090     0.00003     0.00003
10966950 4512  90 -0.14 0.06     1.04     0.14     0.11    11.18     0.54     0.44     2.358     0.016     0.015     0.00074     0.00002     0.00002
11602793 4844  90 -0.16 0.06     1.34     0.13     0.12     6.10     0.23     0.22     2.993     0.010     0.010     0.00590     0.00017     0.00016
11551758 4625  90 -0.16 0.06     1.03     0.13     0.11    10.77     0.54     0.44     2.387     0.014     0.014     0.00082     0.00003     0.00003
11654305 4551  84  0.00 0.05     1.34     0.13     0.13     9.55     0.37     0.37     2.606     0.010     0.010     0.00154     0.00005     0.00005
11654184 4474  75  0.23 0.05     1.21     0.20     0.18    11.25     0.66     0.62     2.418     0.019     0.019     0.00085     0.00003     0.00003
11499428 4814  96 -0.30 0.07     1.09     0.11     0.10    10.64     0.43     0.40     2.421     0.011     0.010     0.00090     0.00003     0.00003
11551746 4790  84 -0.01 0.06     1.58     0.10     0.15    10.99     0.28     0.46     2.553     0.009     0.010     0.00119     0.00003     0.00003
11447802 4809  86 -0.05 0.06     1.91     0.22     0.20    12.21     0.55     0.53     2.547     0.011     0.012     0.00105     0.00003     0.00004
11551628 4785  76  0.18 0.05     2.05     0.20     0.17    11.51     0.43     0.40     2.629     0.010     0.010     0.00135     0.00004     0.00004
11395200 4807 102 -0.45 0.07     0.86     0.06     0.04     9.84     0.28     0.26     2.391     0.010     0.009     0.00091     0.00003     0.00003
11394905 4783 101 -0.44 0.07     1.38     0.16     0.14    11.02     0.54     0.47     2.494     0.011     0.012     0.00103     0.00004     0.00004
11394497 4193  92 -0.21 0.06     0.92     0.11     0.09    22.71     1.05     0.79     1.691     0.019     0.015     0.00008     0.00000     0.00000
11395438 4606  84 -0.02 0.06     1.04     0.16     0.11    10.39     0.58     0.44     2.426     0.016     0.014     0.00093     0.00003     0.00003
11550567 4738  88 -0.11 0.06     1.48     0.16     0.16    11.75     0.51     0.52     2.469     0.010     0.011     0.00091     0.00003     0.00003
11550492 4595  87 -0.07 0.06     1.09     0.11     0.10     6.39     0.27     0.26     2.863     0.011     0.010     0.00417     0.00013     0.00013
11498298 4818  92 -0.20 0.06     1.51     0.17     0.12    11.10     0.48     0.32     2.527     0.012     0.011     0.00111     0.00003     0.00003
11704163 4536  87 -0.07 0.06     1.44     0.14     0.13    10.46     0.43     0.38     2.555     0.011     0.010     0.00125     0.00004     0.00004
11287949 4615  83  0.02 0.05     1.31     0.12     0.11     7.10     0.27     0.26     2.852     0.010     0.010     0.00365     0.00011     0.00011
11341723 4777 101 -0.43 0.07     0.90     0.10     0.06    10.24     0.43     0.28     2.371     0.013     0.011     0.00083     0.00003     0.00003
11234897 4985  79  0.13 0.05     2.99     0.32     0.39    12.69     0.48     0.58     2.703     0.015     0.018     0.00145     0.00004     0.00004
11287936 4520  84 -0.01 0.06     1.26     0.13     0.12     9.31     0.37     0.36     2.601     0.011     0.011     0.00156     0.00004     0.00004
11446691 4566  95 -0.27 0.06     0.88     0.08     0.04    10.45     0.32     0.20     2.349     0.010     0.009     0.00078     0.00002     0.00002
11446151 4572  85 -0.02 0.06     0.94     0.12     0.09     9.95     0.60     0.53     2.423     0.016     0.014     0.00097     0.00006     0.00005
11653073 4637  85 -0.04 0.06     1.22     0.12     0.12    10.71     0.43     0.41     2.465     0.010     0.010     0.00100     0.00003     0.00003
11601529 4394  83  0.03 0.05     1.36     0.21     0.19    12.21     0.65     0.65     2.397     0.019     0.020     0.00075     0.00002     0.00002
11498101 4574  83  0.03 0.05     1.41     0.18     0.16    11.47     0.58     0.53     2.468     0.011     0.012     0.00093     0.00003     0.00003
11498043 4577 118 -0.87 0.09     1.06     0.24     0.19    10.53     1.01     0.87     2.420     0.018     0.018     0.00091     0.00006     0.00006
