# Corrected
# names=['KIC', 'Teff2', 'e_Teff2', '[M/H]2', 'e_[M/H]2', 'M2', 'E_M2', 'e_M2', 'R2', 'E_R2', 'e_R2', 'log.g2', 'E_log.g2', 'e_log.g2', 'rho2', 'E_rho2', 'e_rho2']
10908322 4809 101 -0.52 0.07     1.34     0.15     0.15    12.32     0.55     0.53     2.384     0.013     0.014     0.00072     0.00002     0.00002
10964584 4684 103 -0.54 0.07     0.89     0.10     0.05     9.98     0.44     0.25     2.392     0.012     0.010     0.00090     0.00003     0.00003
10522111 4646  97 -0.38 0.07     0.95     0.13     0.10    11.09     0.64     0.48     2.328     0.012     0.011     0.00070     0.00003     0.00003
10586902 4606 100 -0.45 0.07     0.95     0.22     0.13     8.73     0.67     0.39     2.532     0.027     0.017     0.00142     0.00004     0.00004
10587122 4621  79  0.17 0.05     1.16     0.16     0.18    10.44     0.58     0.70     2.464     0.013     0.012     0.00102     0.00005     0.00004
10522084 4720  85 -0.01 0.06     1.58     0.14     0.20    10.97     0.30     0.61     2.559     0.013     0.014     0.00122     0.00004     0.00003
10652469 4577  99 -0.40 0.07     1.15     0.13     0.11     8.94     0.39     0.38     2.597     0.012     0.012     0.00162     0.00005     0.00005
10784013 4494  93 -0.23 0.06     1.32     0.26     0.22    16.69     1.12     1.02     2.114     0.023     0.025     0.00028     0.00001     0.00001
10849541 4477  95 -0.27 0.06     1.18     0.13     0.12    13.89     0.60     0.56     2.225     0.012     0.012     0.00044     0.00001     0.00001
10718491 4645  84  0.03 0.05     1.54     0.19     0.17    10.48     0.52     0.46     2.583     0.012     0.011     0.00134     0.00005     0.00005
10849000 4620  86 -0.04 0.06     1.17     0.14     0.13     8.18     0.38     0.38     2.682     0.015     0.014     0.00215     0.00007     0.00007
10653200 4668  84  0.03 0.05     1.38     0.17     0.15    11.04     0.48     0.43     2.493     0.015     0.016     0.00103     0.00003     0.00003
10653383 4764  86 -0.05 0.06     1.48     0.18     0.12    11.15     0.52     0.36     2.516     0.012     0.013     0.00107     0.00003     0.00003
10587702 4543  82  0.09 0.05     1.19     0.17     0.16     9.66     0.50     0.49     2.542     0.018     0.018     0.00131     0.00004     0.00004
10718902 4658  95 -0.30 0.06 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
10784996 4474  86 -0.01 0.06     1.21     0.18     0.15    13.77     0.84     0.75     2.243     0.012     0.012     0.00046     0.00002     0.00002
10965536 4555  94 -0.25 0.06     1.31     0.17     0.15    13.10     0.62     0.60     2.320     0.014     0.015     0.00058     0.00002     0.00002
11074543 4592  93 -0.24 0.06     1.12     0.12     0.11     8.31     0.35     0.35     2.650     0.010     0.011     0.00196     0.00006     0.00006
11019954 4825  93 -0.27 0.06     1.12     0.12     0.12    10.54     0.48     0.49     2.441     0.011     0.011     0.00096     0.00004     0.00004
11020211 4678 101 -0.48 0.07     1.01     0.12     0.10     5.76     0.28     0.24     2.921     0.011     0.010     0.00528     0.00019     0.00018
11020101 4844  77  0.20 0.05     2.16     0.35     0.33     8.00     0.54     0.52     2.964     0.023     0.024     0.00421     0.00031     0.00031
10966241 4851  95 -0.34 0.06     1.51     0.17     0.16     7.28     0.32     0.32     2.892     0.012     0.011     0.00391     0.00013     0.00013
10910541 4658  98 -0.41 0.07     0.97     0.12     0.10    10.57     0.55     0.46     2.377     0.013     0.012     0.00082     0.00003     0.00003
10910802 4481  79  0.20 0.05     1.08     0.16     0.11    12.88     0.65     0.49     2.250     0.016     0.013     0.00050     0.00002     0.00002
10910889 4638  71  0.42 0.04     1.84     0.25     0.17    11.59     0.59     0.31     2.575     0.016     0.017     0.00118     0.00004     0.00004
10910523 4486  88 -0.07 0.06     1.22     0.16     0.14    13.12     0.63     0.61     2.288     0.014     0.014     0.00054     0.00002     0.00002
11075908 4686  88 -0.12 0.06     1.23     0.16     0.17    10.62     0.48     0.54     2.475     0.017     0.018     0.00103     0.00003     0.00003
10966458 4598  85  0.00 0.06     1.07     0.12     0.10    10.80     0.51     0.44     2.399     0.012     0.012     0.00085     0.00003     0.00003
10910674 4601  86 -0.04 0.06     1.31     0.22     0.19    11.33     0.65     0.62     2.447     0.018     0.019     0.00090     0.00003     0.00003
10966950 4586  90 -0.14 0.06     1.08     0.14     0.12    11.31     0.53     0.50     2.362     0.016     0.015     0.00074     0.00002     0.00002
11602793 4830  90 -0.19 0.06     1.33     0.12     0.12     6.09     0.23     0.22     2.994     0.010     0.010     0.00591     0.00016     0.00017
11551758 4669  90 -0.17 0.06     1.04     0.13     0.11    10.82     0.54     0.45     2.389     0.014     0.013     0.00082     0.00003     0.00003
11654305 4615  84  0.04 0.05     1.36     0.14     0.12     9.60     0.40     0.37     2.608     0.010     0.010     0.00154     0.00005     0.00005
11654184 4559  75  0.33 0.05     1.26     0.21     0.20    11.39     0.70     0.72     2.423     0.019     0.021     0.00085     0.00003     0.00003
11499428 4808  96 -0.36 0.07     1.09     0.11     0.10    10.63     0.45     0.41     2.421     0.011     0.010     0.00090     0.00003     0.00003
11551746 4791  84 -0.01 0.06     1.58     0.10     0.15    10.99     0.28     0.46     2.553     0.009     0.010     0.00119     0.00003     0.00003
11447802 4805  86 -0.06 0.06     1.91     0.22     0.20    12.20     0.55     0.52     2.547     0.011     0.011     0.00105     0.00003     0.00004
11551628 4787  76  0.23 0.05     2.07     0.18     0.18    11.51     0.44     0.40     2.629     0.010     0.009     0.00135     0.00004     0.00004
11395200 4803 102 -0.53 0.07     0.85     0.06     0.05     9.77     0.29     0.27     2.388     0.010     0.009     0.00091     0.00003     0.00003
11394905 4785 101 -0.52 0.07     1.38     0.17     0.14    11.02     0.53     0.47     2.495     0.010     0.011     0.00103     0.00004     0.00004
11394497 4350  92 -0.18 0.06     0.93     0.18     0.09    22.79     1.46     0.84     1.694     0.023     0.017     0.00008     0.00000     0.00000
11395438 4655  84  0.01 0.06     1.07     0.15     0.12    10.45     0.58     0.45     2.427     0.016     0.013     0.00093     0.00004     0.00003
11550567 4752  88 -0.12 0.06     1.49     0.16     0.15    11.77     0.51     0.51     2.469     0.010     0.010     0.00091     0.00003     0.00003
11550492 4647  87 -0.06 0.06     1.11     0.11     0.10     6.43     0.27     0.26     2.864     0.011     0.010     0.00415     0.00013     0.00013
11498298 4812  92 -0.24 0.06     1.51     0.17     0.13    11.10     0.48     0.36     2.527     0.012     0.012     0.00111     0.00003     0.00003
11704163 4604  87 -0.05 0.06     1.47     0.15     0.14    10.56     0.44     0.40     2.558     0.011     0.011     0.00125     0.00004     0.00004
11287949 4662  83  0.05 0.05     1.33     0.12     0.12     7.15     0.27     0.27     2.853     0.010     0.010     0.00364     0.00011     0.00010
11341723 4781 101 -0.51 0.07     0.88     0.11     0.05    10.19     0.47     0.28     2.370     0.013     0.011     0.00084     0.00003     0.00003
11234897 4934  79  0.15 0.05     2.89     0.33     0.41    12.55     0.53     0.67     2.699     0.016     0.022     0.00145     0.00004     0.00004
11287936 4592  84  0.03 0.06     1.29     0.13     0.12     9.39     0.36     0.35     2.603     0.011     0.011     0.00156     0.00004     0.00004
11446691 4626  95 -0.30 0.06     0.88     0.10     0.05    10.46     0.41     0.22     2.350     0.011     0.009     0.00078     0.00002     0.00002
11446151 4630  85  0.01 0.06     0.96     0.12     0.09    10.01     0.61     0.54     2.426     0.015     0.014     0.00097     0.00005     0.00005
11653073 4678  85 -0.03 0.06     1.24     0.12     0.11    10.74     0.43     0.39     2.467     0.010     0.010     0.00100     0.00003     0.00003
11601529 4499  83  0.09 0.05     1.46     0.24     0.22    12.52     0.73     0.70     2.406     0.019     0.019     0.00074     0.00002     0.00002
11498101 4632  83  0.06 0.05     1.44     0.19     0.17    11.55     0.61     0.55     2.470     0.011     0.011     0.00093     0.00004     0.00003
11498043 4634 118 -0.98 0.09     1.09     0.24     0.19    10.62     1.02     0.90     2.423     0.018     0.019     0.00091     0.00006     0.00006
11601378 4664  82  0.07 0.05     1.09     0.18     0.16    10.28     0.58     0.54     2.454     0.016     0.015     0.00101     0.00003     0.00003
11445818 4669  90 -0.17 0.06     1.43     0.22     0.20    11.62     0.66     0.65     2.463     0.017     0.017     0.00091     0.00003     0.00003
11497421 4638  97 -0.37 0.07     1.11     0.25     0.20    11.34     0.96     0.84     2.375     0.022     0.022     0.00076     0.00005     0.00005
11651776 4506  87 -0.05 0.06     1.39     0.20     0.18    13.28     0.79     0.75     2.333     0.012     0.012     0.00059     0.00003     0.00003
11600024 4698  91 -0.21 0.06     1.11     0.14     0.13    10.38     0.50     0.49     2.450     0.013     0.013     0.00099     0.00003     0.00003
11702195 4583 100 -0.46 0.07     1.03     0.12     0.11     8.41     0.39     0.36     2.602     0.011     0.011     0.00173     0.00006     0.00006
11600208 4822 100 -0.49 0.07     0.89     0.11     0.05     9.87     0.45     0.30     2.401     0.015     0.012     0.00093     0.00003     0.00003
11600604 4883  97 -0.42 0.07     1.60     0.16     0.16     7.16     0.30     0.29     2.931     0.011     0.012     0.00435     0.00012     0.00012
11600255 4833 102 -0.54 0.07     1.11     0.13     0.12     6.16     0.27     0.26     2.905     0.013     0.014     0.00476     0.00013     0.00014
11548940 4637  92 -0.23 0.06     1.17     0.11     0.11    13.05     0.51     0.48     2.276     0.011     0.011     0.00053     0.00002     0.00002
11496569 4735  83  0.04 0.05     1.61     0.19     0.17     9.20     0.42     0.41     2.720     0.011     0.012     0.00208     0.00007     0.00007
11444844 4748  94 -0.28 0.06     0.98     0.10     0.10    10.18     0.45     0.39     2.408     0.016     0.015     0.00092     0.00003     0.00003
11496497 4833  78  0.17 0.05     1.37     0.13     0.12     5.03     0.19     0.18     3.170     0.010     0.010     0.01073     0.00030     0.00030
11444313 4651  86 -0.04 0.06     1.12     0.12     0.11    10.81     0.47     0.46     2.417     0.012     0.012     0.00088     0.00003     0.00003
11599067 4430  66  0.60 0.04 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
11495120 4819  85 -0.05 0.06     1.84     0.25     0.27    10.16     0.53     0.59     2.688     0.016     0.018     0.00175     0.00007     0.00007
11599342 4787  89 -0.14 0.06     1.40     0.16     0.15     6.06     0.28     0.27     3.019     0.012     0.013     0.00629     0.00021     0.00020
11494511 4236  77  0.30 0.05     1.38     0.18     0.19    20.04     0.99     1.18     1.974     0.015     0.015     0.00017     0.00001     0.00001
11546913 4900  90 -0.20 0.06     1.48     0.28     0.26     5.24     0.45     0.44     3.168     0.012     0.012     0.01029     0.00085     0.00080
11495084 4607  90 -0.15 0.06     0.96     0.13     0.08    10.63     0.51     0.35     2.369     0.017     0.014     0.00080     0.00002     0.00002
11650039 4522 107 -0.64 0.08     1.12     0.16     0.15    14.84     0.79     0.78     2.143     0.016     0.017     0.00034     0.00001     0.00001
11338267 4624  97 -0.37 0.07     0.88     0.13     0.07    11.10     0.55     0.34     2.299     0.015     0.012     0.00065     0.00002     0.00002
11285433 4678 100 -0.47 0.07     1.26     0.16     0.14    11.58     0.56     0.55     2.412     0.013     0.013     0.00081     0.00003     0.00003
11649294 4629  83  0.05 0.05     1.04     0.16     0.11    10.35     0.58     0.40     2.426     0.018     0.014     0.00094     0.00003     0.00003
11598312 4823  91 -0.21 0.06     1.56     0.17     0.22    10.68     0.44     0.62     2.573     0.012     0.013     0.00128     0.00005     0.00005
11598116 4476  95 -0.29 0.07     1.21     0.18     0.16    15.31     0.90     0.83     2.150     0.016     0.017     0.00034     0.00001     0.00001
11494312 4654  80  0.15 0.05     1.29     0.16     0.16    10.88     0.54     0.52     2.474     0.014     0.015     0.00100     0.00003     0.00003
11546335 3947 109 -0.59 0.08     1.86     1.40     0.60    84.71    29.66    17.69     0.852     0.028     0.034     0.00000     0.00000     0.00000
11441797 4637  92 -0.23 0.06     1.23     0.13     0.12     8.70     0.36     0.34     2.648     0.012     0.013     0.00186     0.00005     0.00005
11597759 4654  96 -0.34 0.07     0.91     0.14     0.06    10.53     0.55     0.30     2.356     0.017     0.014     0.00078     0.00003     0.00003
11494169 4618  91 -0.20 0.06     1.53     0.18     0.16    11.52     0.56     0.54     2.499     0.011     0.012     0.00100     0.00004     0.00004
11442227 4595  83  0.06 0.05     1.30     0.26     0.26    12.76     0.88     0.92     2.341     0.024     0.026     0.00063     0.00002     0.00002
11177727 4532  91 -0.17 0.06     1.23     0.14     0.12    11.70     0.53     0.50     2.393     0.011     0.011     0.00077     0.00003     0.00003
11337714 4629  77  0.25 0.05     1.54     0.24     0.20    11.77     0.71     0.62     2.483     0.017     0.018     0.00094     0.00004     0.00004
11230630 4691  91 -0.20 0.06     0.96     0.10     0.09    10.52     0.46     0.36     2.377     0.012     0.011     0.00082     0.00003     0.00003
11284496 4627  79  0.17 0.05     1.25     0.12     0.11     6.48     0.24     0.24     2.912     0.009     0.010     0.00461     0.00014     0.00014
11905840 4882  94 -0.31 0.06     1.36     0.13     0.12     6.19     0.24     0.22     2.989     0.011     0.011     0.00575     0.00016     0.00016
11955410 4718  89 -0.15 0.06     1.07     0.11     0.09    10.56     0.44     0.40     2.420     0.010     0.010     0.00091     0.00003     0.00003
12005162 4857  91 -0.21 0.06     1.21     0.20     0.19     5.08     0.38     0.37     3.109     0.013     0.013     0.00925     0.00059     0.00057
12004945 4573  76  0.27 0.05     1.28     0.14     0.14     7.21     0.32     0.31     2.827     0.012     0.014     0.00340     0.00010     0.00010
11905997 4640  99 -0.42 0.07     1.17     0.16     0.14     7.93     0.40     0.40     2.709     0.016     0.016     0.00236     0.00007     0.00007
11805876 4719  75  0.29 0.05     1.95     0.19     0.15     7.18     0.27     0.24     3.017     0.011     0.011     0.00527     0.00014     0.00014
11805460 4622  79  0.17 0.05     1.25     0.14     0.14    10.86     0.49     0.47     2.461     0.013     0.013     0.00097     0.00003     0.00003
11805792 4667  89 -0.14 0.06     1.16     0.12     0.11    10.71     0.43     0.45     2.440     0.011     0.011     0.00094     0.00003     0.00003
11855110 4809  92 -0.25 0.06     1.25     0.12     0.14    10.65     0.42     0.45     2.478     0.011     0.012     0.00103     0.00003     0.00003
11754056 4603  81  0.11 0.05     0.98     0.14     0.11    10.08     0.63     0.54     2.426     0.010     0.010     0.00096     0.00005     0.00005
11804677 4583  86 -0.02 0.06     2.31     0.29     0.31    19.79     1.00     0.98     2.205     0.015     0.015     0.00030     0.00001     0.00001
11703230 4715  90 -0.19 0.06     1.10     0.13     0.11    10.73     0.50     0.46     2.418     0.014     0.014     0.00089     0.00003     0.00003
11753722 4576  99 -0.40 0.07     1.08     0.11     0.10     8.91     0.37     0.37     2.572     0.010     0.010     0.00153     0.00005     0.00005
11805217 4730  91 -0.21 0.06     1.47     0.35     0.32     9.16     0.69     0.70     2.683     0.029     0.032     0.00192     0.00006     0.00006
12101990 4670  95 -0.32 0.07     0.88     0.09     0.04    10.05     0.36     0.20     2.381     0.010     0.009     0.00087     0.00002     0.00003
11954465 4630  85  0.01 0.06     1.15     0.12     0.12     6.22     0.28     0.27     2.911     0.011     0.011     0.00478     0.00017     0.00017
11954989 4518  81  0.12 0.05     1.49     0.32     0.32    13.87     1.02     1.06     2.327     0.026     0.029     0.00056     0.00002     0.00002
11905393 4640  85 -0.01 0.06     1.00     0.12     0.08    10.30     0.50     0.34     2.413     0.012     0.011     0.00091     0.00003     0.00003
11854450 4786 100 -0.48 0.07     0.86     0.11     0.04     9.85     0.43     0.26     2.395     0.012     0.010     0.00092     0.00003     0.00003
11904929 4854  94 -0.33 0.06     1.59     0.20     0.18    11.03     0.57     0.52     2.553     0.014     0.015     0.00118     0.00004     0.00004
11954278 4633  80  0.14 0.05     1.31     0.15     0.14    11.14     0.51     0.49     2.460     0.012     0.012     0.00094     0.00003     0.00003
11905159 4558  92 -0.21 0.06     1.27     0.13     0.13     9.37     0.40     0.40     2.597     0.011     0.011     0.00154     0.00005     0.00005
11953668 4692  98 -0.39 0.07     1.11     0.14     0.13    11.34     0.53     0.50     2.374     0.015     0.016     0.00076     0.00002     0.00002
11953849 4717  86 -0.06 0.06     1.16     0.15     0.15    10.62     0.52     0.53     2.449     0.015     0.016     0.00097     0.00003     0.00003
12003742 4939  87 -0.10 0.06     2.38     0.32     0.31    11.46     0.58     0.62     2.697     0.017     0.017     0.00159     0.00005     0.00005
11753104 4639 112 -0.80 0.08     1.31     0.17     0.15    11.64     0.61     0.59     2.423     0.012     0.014     0.00083     0.00003     0.00003
11753010 4351  81  0.15 0.05     1.39     0.33     0.28    18.17     1.42     1.39     2.062     0.027     0.030     0.00023     0.00001     0.00001
11753018 4613  78  0.22 0.05     1.52     0.18     0.17     9.16     0.40     0.39     2.696     0.014     0.014     0.00198     0.00006     0.00005
