10848618 J19023097+4813496 285.629 48.230 78.490 18.146  4847   142  4697   134  4.05 0.12  33.23  0.87 PUBLIC
10908322 J19013362+4818334 285.390 48.309 78.509 18.323  5074   116  4855   106  3.61 0.08  30.31  0.87 PUBLIC
10964584 J19030356+4826449 285.765 48.446 78.736 18.138  4964   111  4744   102  4.05 0.09  31.18  0.77 KASC,PUBLIC
10522111 J19025115+4747473 285.713 47.796 78.085 17.939  5087   101  4835    92  3.57 0.12  27.06  0.63 PUBLIC
10586902 J19031115+4753540 285.796 47.898 78.206 17.924  4989   100  4765    91  5.07 0.11  45.16  2.68 PUBLIC
10587122 J19033449+4748388 285.894 47.811 78.144 17.831  4739   131  4610   124  4.33 0.09  37.36  0.80 PUBLIC
10522084 J19024774+4745344 285.699 47.760 78.045 17.935  4908   118  4787   112  4.72 0.10  45.76  1.28 PUBLIC
10652469 J19025294+4754239 285.721 47.907 78.195 17.974  4763    95  4596    89  5.40 0.12  50.26  1.12 PUBLIC
10784013 J19031936+4809465 285.831 48.163 78.474 17.997  4612    93  4408    85  2.27 0.05  17.02  0.90 KASC,PUBLIC,LUMINOUS_RGB
10849541 J19043241+4817060 286.135 48.285 78.670 17.851  4636    92  4467    85  2.83 0.06  21.72  0.52 KASC,PUBLIC
10718491 J19043294+4803072 286.137 48.052 78.442 17.766  4835    96  4663    89  4.93 0.11  48.88  1.12 PUBLIC
10849000 J19032016+4816427 285.834 48.279 78.589 18.036  4783   100  4576    92  6.24 0.14  61.67  1.76 PUBLIC
10653200 J19043358+4754006 286.140 47.900 78.294 17.709  4922    89  4705    82  4.33 0.08  39.57  1.34 PUBLIC
10653383 J19045722+4755324 286.238 47.926 78.344 17.657  4922    79  4775    74  4.42 0.10  41.36  1.17 PUBLIC
10587702 J19044603+4753567 286.192 47.899 78.306 17.676  4753    78  4588    73  4.89 0.10  45.08  1.66 PUBLIC
10718902 J19052737+4804518 286.364 48.081 78.528 17.635  4961   102  4747    94  4.14 0.13  29.26  0.94 PUBLIC
10784996 J19052717+4809030 286.363 48.151 78.596 17.661  4531    85  4353    78  2.90 0.10  22.74  0.56 PUBLIC
10965536 J19051949+4829071 286.331 48.485 78.916 17.801  4772    97  4567    89  3.25 0.07  26.87  0.83 KASC,PUBLIC
11074543 J19060646+4836249 286.527 48.607 79.084 17.724  4798    94  4631    87  5.95 0.13  56.87  1.25 PUBLIC
11019954 J19061384+4835564 286.558 48.599 79.084 17.702  5019    93  4871    88  4.18 0.11  34.64  0.79 PUBLIC
11020211 J19065498+4830092 286.729 48.503 79.033 17.562  4973    92  4826    87  9.72 0.24 104.63  2.20 PUBLIC
11020101 J19063828+4835388 286.660 48.594 79.105 17.638  5015    92  4878    88  8.52 0.51 122.66  8.07 PUBLIC
10966241 J19071222+4825381 286.801 48.427 78.977 17.490  5272   105  5037    96  8.41 0.19  97.02  2.29 PUBLIC
10910541 J19071126+4819099 286.797 48.319 78.871 17.453  4977    97  4756    89  3.87 0.12  30.27  0.81 PUBLIC
10910802 J19074810+4820421 286.950 48.345 78.935 17.367  4650    84  4462    77  3.03 0.06  23.14  0.81 KASC,PUBLIC
10910889 J19080097+4818597 287.004 48.317 78.921 17.324  4840    96  4637    88  4.64 0.10  47.66  2.18 KASC,PUBLIC
10910523 J19070716+4821188 286.780 48.355 78.902 17.476  4636    81  4449    75  3.13 0.07  25.18  0.74 PUBLIC
11075908 J19094166+4838089 287.424 48.636 79.340 17.183  5020   108  4785    99  4.33 0.08  37.93  1.42 KASC,PUBLIC
10966458 J19074692+4824360 286.946 48.410 78.997 17.394  4779   108  4596   100  3.93 0.10  32.13  0.88 PUBLIC,LUMINOUS_RGB
10910674 J19072960+4823496 286.873 48.397 78.966 17.434  4731    84  4579    79  4.05 0.08  36.02  1.43 PUBLIC
10966950 J19085757+4829059 287.240 48.485 79.146 17.240  4835    88  4612    80  3.68 0.07  29.58  1.02 PUBLIC
11602793 J19091653+4938340 287.319 49.643 80.294 17.617  5057    99  4861    92 10.35 0.20 122.83  2.51 PUBLIC
11551758 J19103742+4934534 287.656 49.582 80.319 17.392  4917   100  4729    93  3.88 0.10  31.05  1.02 PUBLIC
11654305 J19100322+4945373 287.513 49.760 80.457 17.543  4879   104  4674    96  5.29 0.11  51.88  1.10 PUBLIC
11654184 J19093690+4942063 287.404 49.702 80.373 17.588  4706    81  4499    74  3.93 0.10  34.14  1.47 PUBLIC
11499428 J19100103+4928499 287.504 49.481 80.182 17.446  5068   105  4832    95  4.06 0.09  33.08  0.77 KASC,PUBLIC
11551746 J19103545+4933054 287.648 49.552 80.287 17.386  5056   104  4841    96  4.68 0.10  44.82  0.87 KASC,PUBLIC
11447802 J19105035+4921191 287.710 49.355 80.112 17.276  4931   134  4811   128  4.38 0.09  44.22  1.02 PUBLIC
11551628 J19101320+4930476 287.555 49.513 80.227 17.428  5007    99  4773    90  4.96 0.10  53.60  1.17 KASC,PUBLIC
11395200 J19102422+4916163 287.601 49.271 80.003 17.310  5110   103  4858    93  4.14 0.09  29.90  0.76 PUBLIC
11394905 J19093999+4913392 287.417 49.228 79.914 17.406  5040    93  4830    85  4.33 0.11  39.08  0.93 PUBLIC
11394497 J19083508+4915392 287.146 49.261 79.878 17.583  4385    81  4208    74  1.20 0.03   6.45  0.44 KASC,PUBLIC,LUMINOUS_RGB
11395438 J19110187+4914345 287.758 49.243 80.015 17.205  4899    90  4694    83  4.13 0.11  34.04  1.21 PUBLIC
11550567 J19071264+4930121 286.803 49.503 80.030 17.879  5096    97  4861    89  4.08 0.08  37.24  0.79 KASC,PUBLIC
11550492 J19065989+4932243 286.750 49.540 80.053 17.924  4802    86  4685    82  8.66 0.19  93.01  1.90 KASC
11498298 J19071068+4924377 286.795 49.410 79.937 17.850  5052    96  4874    90  4.49 0.09  42.21  1.07 PUBLIC
11704163 J19075709+4949035 286.988 49.818 80.384 17.880  4736    84  4547    78  4.76 0.10  46.13  1.00 KASC
11287949 J19064470+4900300 286.686 49.008 79.517 17.771  4883   104  4702    97  8.12 0.17  90.53  1.84 PUBLIC
11341723 J19082771+4907265 287.115 49.124 79.737 17.551  5013    89  4802    82  3.92 0.09  29.12  0.95 HALO,PUBLIC
11234897 J19070178+4859293 286.757 48.991 79.518 17.722  5084    96  4972    92  5.15 0.09  61.32  2.99 PUBLIC
11287936 J19064188+4905109 286.675 49.086 79.590 17.807  4767    97  4615    91  5.32 0.10  51.37  1.16 PUBLIC
11446691 J19075629+4923281 286.985 49.391 79.965 17.728  4908    91  4694    84  3.78 0.08  28.38  0.77 PUBLIC
11446151 J19062065+4922497 286.586 49.380 79.857 17.966  4875    93  4654    85  4.26 0.17  33.16  1.55 PUBLIC
11653073 J19061800+4943561 286.575 49.732 80.200 18.099  4917    90  4711    83  4.26 0.09  37.26  0.75 KASC
11601529 J19054387+4939381 286.433 49.661 80.095 18.159  4548    79  4365    73  3.67 0.08  33.27  1.35 PUBLIC
11498101 J19063587+4927371 286.649 49.460 79.951 17.956  4891    91  4668    83  4.12 0.10  37.76  0.89 PUBLIC
11498043 J19062480+4927231 286.603 49.456 79.935 17.983  4929    98  4691    89  4.00 0.18  33.65  1.28 PUBLIC
11601378 J19051753+4936070 286.323 49.602 80.010 18.205  5004   107  4777    98  4.29 0.08  36.18  1.26 PUBLIC
