isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
g,1,0,7.283850886937e-08,0.929,0.0001,4.071,1.789204344617293e-08
n,1,0,0.0,0.929,0.0001,4.071,0.0
p,1,1,2.76155163542,0.929,0.0001,4.071,0.6783472452517809
d,2,1,2.0243762e-17,0.929,0.0001,4.071,4.972675509702776e-18
he3,3,2,2.5430295e-06,0.929,0.0001,4.071,6.246694915254237e-07
he4,4,2,1.2807941252,0.929,0.0001,4.071,0.31461413048391057
li7,7,3,7.87014999999998e-10,0.929,0.0001,4.071,1.9332227953819652e-10
be7,7,4,2.6496727e-09,0.929,0.0001,4.071,6.508653156472611e-10
b8,8,5,4.4947476e-20,0.929,0.0001,4.071,1.1040893146647016e-20
c12,12,6,0.002787427395809,0.929,0.0001,4.071,0.0006847033642370426
c13,13,6,0.00040585872817245,0.929,0.0001,4.071,9.969509412243921e-05
c14,14,6,6.3582286e-09,0.929,0.0001,4.071,1.5618345860967822e-09
n13,13,7,3.7122817999999996e-37,0.929,0.0001,4.071,9.118845001228199e-38
n14,14,7,0.0240507713849148,0.929,0.0001,4.071,0.005907828883545763
n15,15,7,6.92311823594e-07,0.929,0.0001,4.071,1.700594015214935e-07
o14,14,8,0.0,0.929,0.0001,4.071,0.0
o15,15,8,0.0,0.929,0.0001,4.071,0.0
o16,16,8,0.0006093879828790001,0.929,0.0001,4.071,0.00014968999825079834
o17,17,8,1.5467240702e-06,0.929,0.0001,4.071,3.799371334315893e-07
o18,18,8,2.4173107599999684e-09,0.929,0.0001,4.071,5.937879538196926e-10
o19,19,8,0.0,0.929,0.0001,4.071,0.0
f17,17,9,0.0,0.929,0.0001,4.071,0.0
f18,18,9,2.6854757e-30,0.929,0.0001,4.071,6.596599606976173e-31
f19,19,9,1.043729839734e-07,0.929,0.0001,4.071,2.5638168502431838e-08
f20,20,9,0.0,0.929,0.0001,4.071,0.0
ne19,19,10,0.0,0.929,0.0001,4.071,0.0
ne20,20,10,5.17821608607e-05,0.929,0.0001,4.071,1.2719764397126013e-05
ne21,21,10,2.31235779497e-07,0.929,0.0001,4.071,5.680073188332106e-08
ne22,22,10,0.00042149180274285,0.929,0.0001,4.071,0.0001035352008702653
ne23,23,10,0.0,0.929,0.0001,4.071,0.0
na21,21,11,0.0,0.929,0.0001,4.071,0.0
na22,22,11,1.2324258e-10,0.929,0.0001,4.071,3.027329403095063e-11
na23,23,11,1.099044538777e-05,0.929,0.0001,4.071,2.6996918171874234e-06
na24,24,11,0.0,0.929,0.0001,4.071,0.0
mg23,23,12,0.0,0.929,0.0001,4.071,0.0
mg24,24,12,7.118242618499999e-06,0.929,0.0001,4.071,1.7485243474576271e-06
mg25,25,12,5.681876777746e-05,0.929,0.0001,4.071,1.3956955975794646e-05
mg26,26,12,0.00016381082641929,0.929,0.0001,4.071,4.0238473696705975e-05
mg27,27,12,0.0,0.929,0.0001,4.071,0.0
al25,25,13,0.0,0.929,0.0001,4.071,0.0
al26,26,13,1.7227026e-06,0.929,0.0001,4.071,4.231644804716286e-07
al27,27,13,6.24580677471e-06,0.929,0.0001,4.071,1.534219301083272e-06
al28,28,13,0.0,0.929,0.0001,4.071,0.0
si27,27,14,0.0,0.929,0.0001,4.071,0.0
si28,28,14,1.68468336257e-05,0.929,0.0001,4.071,4.138254390985016e-06
si29,29,14,1.2733887209799999e-06,0.929,0.0001,4.071,3.1279506779169734e-07
si30,30,14,1.4540389718099998e-06,0.929,0.0001,4.071,3.57169975880619e-07
si31,31,14,0.0,0.929,0.0001,4.071,0.0
si32,32,14,3.5148624e-11,0.929,0.0001,4.071,8.633904200442151e-12
si33,33,14,0.0,0.929,0.0001,4.071,0.0
p29,29,15,0.0,0.929,0.0001,4.071,0.0
p30,30,15,0.0,0.929,0.0001,4.071,0.0
p31,31,15,5.09933475431e-07,0.929,0.0001,4.071,1.2526000379046918e-07
p32,32,15,8.9727911e-15,0.929,0.0001,4.071,2.2040754360108082e-15
p33,33,15,7.0215314e-19,0.929,0.0001,4.071,1.7247682141979858e-19
p34,34,15,0.0,0.929,0.0001,4.071,0.0
s32,32,16,8.010616902299998e-06,0.929,0.0001,4.071,1.967727070081061e-06
s33,33,16,6.739324855e-08,0.929,0.0001,4.071,1.6554470289855073e-08
s34,34,16,3.81851023235e-06,0.929,0.0001,4.071,9.379784407639401e-07
s35,35,16,7.7661815e-09,0.929,0.0001,4.071,1.9076839842790468e-09
fe54,54,26,1.41870639735e-06,0.929,0.0001,4.071,3.484908861090641e-07
fe55,55,26,2.1548519e-09,0.929,0.0001,4.071,5.293175878162614e-10
fe56,56,26,2.33260259713e-05,0.929,0.0001,4.071,5.729802498477033e-06
fe57,57,26,5.8329591868e-07,0.929,0.0001,4.071,1.4328074642102678e-07
fe58,58,26,1.37908145666e-07,0.929,0.0001,4.071,3.387574199606976e-08
fe59,59,26,1.5928793e-21,0.929,0.0001,4.071,3.9127469909113243e-22
fe60,60,26,1.3397411e-07,0.929,0.0001,4.071,3.2909385900270206e-08
fe61,61,26,0.0,0.929,0.0001,4.071,0.0
co59,59,27,9.5116871277e-08,0.929,0.0001,4.071,2.336449798010317e-08
co60,60,27,2.8629188e-13,0.929,0.0001,4.071,7.032470646032916e-14
co61,61,27,0.0,0.929,0.0001,4.071,0.0
ni58,58,28,9.844698215999998e-07,0.929,0.0001,4.071,2.418250605747973e-07
ni59,59,28,3.4470045e-11,0.929,0.0001,4.071,8.467218128224024e-12
ni60,60,28,4.08628936371e-07,0.929,0.0001,4.071,1.0037556776492262e-07
ni61,61,28,4.334613237175e-07,0.929,0.0001,4.071,1.0647539270879391e-07
ni62,62,28,2.7828371999992723e-11,0.929,0.0001,4.071,6.835758290344565e-12
g,1,0,1.050748314984e-07,0.966,0.0001,4.534,2.3174863585884428e-08
n,1,0,4.223707e-39,0.966,0.0001,4.534,9.315630789589767e-40
p,1,1,3.03796743668,0.966,0.0001,4.534,0.6700413402470224
d,2,1,2.2078767e-17,0.966,0.0001,4.534,4.8696001323334806e-18
he3,3,2,1.5837645e-06,0.966,0.0001,4.534,3.493084472871637e-07
he4,4,2,1.4635497108,0.966,0.0001,4.534,0.3227943782090869
li7,7,3,3.2678899999999913e-10,0.966,0.0001,4.534,7.207520952801039e-11
be7,7,4,1.006009200000016e-09,0.966,0.0001,4.534,2.218811645346308e-10
b8,8,5,2.5814806e-37,0.966,0.0001,4.534,5.693605205116895e-38
c12,12,6,0.0025735369049859997,0.966,0.0001,4.534,0.000567608492498015
c13,13,6,0.0004054730052773,0.966,0.0001,4.534,8.942942330774152e-05
c14,14,6,1.3674384e-09,0.966,0.0001,4.534,3.0159647110719016e-10
n13,13,7,4.2225760000024284e-29,0.966,0.0001,4.534,9.313136303490138e-30
n14,14,7,0.0279613489037592,0.966,0.0001,4.534,0.006167037693815439
n15,15,7,9.492086098759999e-07,0.966,0.0001,4.534,2.0935346490427877e-07
o14,14,8,0.0,0.966,0.0001,4.534,0.0
o15,15,8,1.2573402000024872e-33,0.966,0.0001,4.534,2.773136744601869e-34
o16,16,8,0.000589554365766,0.966,0.0001,4.534,0.00013002963514909574
o17,17,8,2.0345722308e-06,0.966,0.0001,4.534,4.4873670727834143e-07
o18,18,8,2.1104530399999257e-09,0.966,0.0001,4.534,4.654726599029391e-10
o19,19,8,0.0,0.966,0.0001,4.534,0.0
f17,17,9,1.2217130000007873e-35,0.966,0.0001,4.534,2.6945588884005015e-36
f18,18,9,0.0,0.966,0.0001,4.534,0.0
f19,19,9,6.995396194360001e-08,0.966,0.0001,4.534,1.542875208284076e-08
f20,20,9,0.0,0.966,0.0001,4.534,0.0
ne19,19,10,0.0,0.966,0.0001,4.534,0.0
ne20,20,10,5.810765646779999e-05,0.966,0.0001,4.534,1.2815980694265548e-05
ne21,21,10,2.6509309573799996e-07,0.966,0.0001,4.534,5.846781996868107e-08
ne22,22,10,0.0004388835653589,0.966,0.0001,4.534,9.679831613561976e-05
ne23,23,10,0.0,0.966,0.0001,4.534,0.0
na21,21,11,0.0,0.966,0.0001,4.534,0.0
na22,22,11,3.8058084e-10,0.966,0.0001,4.534,8.393931186590208e-11
na23,23,11,1.156660782858e-05,0.966,0.0001,4.534,2.551082450061756e-06
na24,24,11,0.0,0.966,0.0001,4.534,0.0
mg23,23,12,0.0,0.966,0.0001,4.534,0.0
mg24,24,12,4.390504448999998e-06,0.966,0.0001,4.534,9.683512238641374e-07
