isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
fe55,55,26,6.0686534e-10,0.874,0.0001,3.126,1.9413478566858607e-10
fe56,56,26,1.76984985978e-05,0.874,0.0001,3.126,5.661707804798464e-06
fe57,57,26,4.5093505088000003e-07,0.874,0.0001,3.126,1.4425305530390277e-07
fe58,58,26,1.59788200196e-07,0.874,0.0001,3.126,5.111586698528471e-08
fe59,59,26,1.3809709e-23,0.874,0.0001,3.126,4.4176932181701855e-24
fe60,60,26,1.6856369e-07,0.874,0.0001,3.126,5.392312539987204e-08
fe61,61,26,0.0,0.874,0.0001,3.126,0.0
co59,59,27,9.6099400562e-08,0.874,0.0001,3.126,3.0741970749200253e-08
co60,60,27,2.7850376e-13,0.874,0.0001,3.126,8.909269353806783e-14
co61,61,27,0.0,0.874,0.0001,3.126,0.0
ni58,58,28,7.458579945999999e-07,0.874,0.0001,3.126,2.3859820684580934e-07
ni59,59,28,6.7095468e-11,0.874,0.0001,3.126,2.1463681381957774e-11
ni60,60,28,3.24970499126e-07,0.874,0.0001,3.126,1.0395729338643635e-07
ni61,61,28,4.29960467055e-07,0.874,0.0001,3.126,1.3754333559021113e-07
ni62,62,28,4.7742631999993695e-11,0.874,0.0001,3.126,1.527275495841129e-11
g,1,0,5.810575588965e-08,0.897,0.0001,3.6029999999999998,1.6127048540008327e-08
n,1,0,3.765289e-42,0.897,0.0001,3.6029999999999998,1.0450427421593117e-42
p,1,1,2.48169447406,0.897,0.0001,3.6029999999999998,0.6887855881376632
d,2,1,1.8837416e-17,0.897,0.0001,3.6029999999999998,5.228258673327783e-18
he3,3,2,5.338276e-06,0.897,0.0001,3.6029999999999998,1.4816197613100197e-06
he4,4,2,1.0935763058099999,0.897,0.0001,3.6029999999999998,0.3035182641715237
li7,7,3,1.4661024999999993e-09,0.897,0.0001,3.6029999999999998,4.0691160144324156e-10
be7,7,4,5.3063318e-09,0.897,0.0001,3.6029999999999998,1.4727537607549267e-09
b8,8,5,1.0835241e-24,0.897,0.0001,3.6029999999999998,3.007283097418818e-25
c12,12,6,0.003495895003252,0.897,0.0001,3.6029999999999998,0.0009702733841942826
c13,13,6,0.00035125603893197,0.897,0.0001,3.6029999999999998,9.748988035858174e-05
c14,14,6,3.5103135e-08,0.897,0.0001,3.6029999999999998,9.742751873438802e-09
n13,13,7,1.7694756e-40,0.897,0.0001,3.6029999999999998,4.911117402164863e-41
n14,14,7,0.0224172532521206,0.897,0.0001,3.6029999999999998,0.006221829933977408
n15,15,7,5.34991718654e-07,0.897,0.0001,3.6029999999999998,1.48485073176242e-07
o14,14,8,0.0,0.897,0.0001,3.6029999999999998,0.0
o15,15,8,0.0,0.897,0.0001,3.6029999999999998,0.0
o16,16,8,0.000650059116792,0.897,0.0001,3.6029999999999998,0.00018042162553205665
o17,17,8,1.280884450218e-06,0.897,0.0001,3.6029999999999998,3.555049820199834e-07
o18,18,8,4.201538769999978e-09,0.897,0.0001,3.6029999999999998,1.1661223341659667e-09
o19,19,8,0.0,0.897,0.0001,3.6029999999999998,0.0
f17,17,9,0.0,0.897,0.0001,3.6029999999999998,0.0
f18,18,9,6.213896500000001e-32,0.897,0.0001,3.6029999999999998,1.7246451568137665e-32
f19,19,9,2.176333730483e-07,0.897,0.0001,3.6029999999999998,6.040337858681655e-08
f20,20,9,0.0,0.897,0.0001,3.6029999999999998,0.0
ne19,19,10,0.0,0.897,0.0001,3.6029999999999998,0.0
ne20,20,10,4.29142406335e-05,0.897,0.0001,3.6029999999999998,1.1910696817513183e-05
ne21,21,10,2.88146662633e-07,0.897,0.0001,3.6029999999999998,7.99740945414932e-08
ne22,22,10,0.00049241826462771,0.897,0.0001,3.6029999999999998,0.0001366689604850708
ne23,23,10,0.0,0.897,0.0001,3.6029999999999998,0.0
na21,21,11,0.0,0.897,0.0001,3.6029999999999998,0.0
na22,22,11,5.4964699e-11,0.897,0.0001,3.6029999999999998,1.5255259228420764e-11
na23,23,11,1.198208195673e-05,0.897,0.0001,3.6029999999999998,3.3255847784429644e-06
na24,24,11,0.0,0.897,0.0001,3.6029999999999998,0.0
mg23,23,12,0.0,0.897,0.0001,3.6029999999999998,0.0
mg24,24,12,9.8691982526e-06,0.897,0.0001,3.6029999999999998,2.7391613246183737e-06
mg25,25,12,4.632770909202e-05,0.897,0.0001,3.6029999999999998,1.2858093003613655e-05
mg26,26,12,0.00013258491124839,0.897,0.0001,3.6029999999999998,3.679847661626145e-05
mg27,27,12,0.0,0.897,0.0001,3.6029999999999998,0.0
al25,25,13,0.0,0.897,0.0001,3.6029999999999998,0.0
al26,26,13,9.9405111e-07,0.897,0.0001,3.6029999999999998,2.758953955037469e-07
al27,27,13,4.66762191421e-06,0.897,0.0001,3.6029999999999998,1.295482074440744e-06
al28,28,13,0.0,0.897,0.0001,3.6029999999999998,0.0
si27,27,14,0.0,0.897,0.0001,3.6029999999999998,0.0
si28,28,14,1.4691735234299999e-05,0.897,0.0001,3.6029999999999998,4.077639532139884e-06
si29,29,14,1.07726471732e-06,0.897,0.0001,3.6029999999999998,2.989910400555093e-07
si30,30,14,1.1374460964199998e-06,0.897,0.0001,3.6029999999999998,3.1569417053011375e-07
si31,31,14,2.4816996e-41,0.897,0.0001,3.6029999999999998,6.887870108243132e-42
si32,32,14,1.0943512e-11,0.897,0.0001,3.6029999999999998,3.0373333333333336e-12
si33,33,14,0.0,0.897,0.0001,3.6029999999999998,0.0
p29,29,15,0.0,0.897,0.0001,3.6029999999999998,0.0
p30,30,15,0.0,0.897,0.0001,3.6029999999999998,0.0
p31,31,15,3.8475012611299995e-07,0.897,0.0001,3.6029999999999998,1.0678604665917291e-07
p32,32,15,2.7936682e-15,0.897,0.0001,3.6029999999999998,7.753728004440744e-16
p33,33,15,4.7278166000000005e-21,0.897,0.0001,3.6029999999999998,1.3121888981404387e-21
p34,34,15,0.0,0.897,0.0001,3.6029999999999998,0.0
s32,32,16,7.0721048343999994e-06,0.897,0.0001,3.6029999999999998,1.962837866888704e-06
s33,33,16,5.9372529459e-08,0.897,0.0001,3.6029999999999998,1.647863709658618e-08
s34,34,16,3.3752289792399997e-06,0.897,0.0001,3.6029999999999998,9.36782952883708e-07
s35,35,16,6.6279591e-09,0.897,0.0001,3.6029999999999998,1.8395667776852625e-09
fe54,54,26,1.25324333182e-06,0.897,0.0001,3.6029999999999998,3.478332866555648e-07
fe55,55,26,6.9590711e-10,0.897,0.0001,3.6029999999999998,1.931465750763253e-10
fe56,56,26,2.05976818851e-05,0.897,0.0001,3.6029999999999998,5.716814289508743e-06
fe57,57,26,5.1693497459e-07,0.897,0.0001,3.6029999999999998,1.434734872578407e-07
fe58,58,26,1.43838645953e-07,0.897,0.0001,3.6029999999999998,3.9921911172078826e-08
fe59,59,26,1.8121771e-23,0.897,0.0001,3.6029999999999998,5.0296339161809605e-24
fe60,60,26,1.3477887e-07,0.897,0.0001,3.6029999999999998,3.7407402164862616e-08
fe61,61,26,0.0,0.897,0.0001,3.6029999999999998,0.0
co59,59,27,9.318882056999999e-08,0.897,0.0001,3.6029999999999998,2.5864229966694423e-08
co60,60,27,2.0874925e-13,0.897,0.0001,3.6029999999999998,5.793762142658895e-14
co61,61,27,0.0,0.897,0.0001,3.6029999999999998,0.0
ni58,58,28,8.6912619986e-07,0.897,0.0001,3.6029999999999998,2.4122292530113796e-07
ni59,59,28,4.2926669e-11,0.897,0.0001,3.6029999999999998,1.1914146266999723e-11
ni60,60,28,3.66060639811e-07,0.897,0.0001,3.6029999999999998,1.0159884535414932e-07
ni61,61,28,3.871298332717e-07,0.897,0.0001,3.6029999999999998,1.074465260260061e-07
ni62,62,28,6.145400799999009e-11,0.897,0.0001,3.6029999999999998,1.7056344157643658e-11
