  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Si   14    0  1.4723E+01  1.3903E+01  2.0334E+01  2.0692E+01  1.0002E+00  1.0002E+00  1.0004E+00  1.0008E+00  1.0008E+00
  P    15    0  1.4318E+01  1.3995E+01  2.1749E+01  2.3428E+01  1.0036E+00  1.0048E+00  1.0083E+00  1.0186E+00  1.0159E+00
  S    16    0  1.5088E+01  1.4204E+01  1.8357E+01  1.5604E+01  1.0000E+00  1.0000E+00  1.0001E+00  1.0001E+00  1.0001E+00
  Cl   17    0  5.0061E+00  5.1157E+00  7.1372E+00  5.3078E+00  1.0116E+00  1.0160E+00  1.0294E+00  1.0572E+00  1.0473E+00
  Ar   18    0  1.3882E+01  1.2592E+01  1.4520E+01  1.2363E+01  9.9850E-01  9.9794E-01  9.9625E-01  9.9268E-01  9.9396E-01
  K    19    0  5.9789E+00  7.4292E+00  6.6419E+00  5.2113E+00  1.0259E+00  1.0356E+00  1.0649E+00  1.1168E+00  1.1001E+00
  Ca   20    0  9.8764E+00  6.7634E+00  8.2613E+00  8.2499E+00  9.9887E-01  9.9845E-01  9.9719E-01  9.9503E-01  9.9574E-01
  Sc   21    0  7.4542E+00  1.4408E+01  1.6286E+01  1.1945E+01  1.0312E+00  1.0431E+00  1.0793E+00  1.1282E+00  1.1093E+00
  Ti   22    0  4.8037E+00  4.0943E+00  4.0959E+00  4.2005E+00  1.0005E+00  1.0007E+00  1.0013E+00  1.0029E+00  1.0023E+00
  V    23    0  4.6587E+00  3.9398E+01  4.2606E+00  3.7732E+00  1.0096E+00  1.0131E+00  1.0232E+00  1.0256E+00  1.0244E+00
  Cr   24    0  5.2691E+00  4.5774E+01  3.7919E+00  3.9889E+00  9.9980E-01  9.9975E-01  9.9950E-01  9.9927E-01  9.9938E-01
  Mn   25    0  4.1234E+00  6.7145E+01  2.9440E+00  2.8860E+00  1.0317E+00  1.0430E+00  1.0764E+00  1.1074E+00  1.0955E+00
  Fe   26    0  6.3006E+00  1.9440E+01  4.2930E+00  3.5320E+00  9.9978E-01  9.9963E-01  9.9942E-01  9.9909E-01  9.9923E-01
