  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  C     6    0  1.4189E+01  1.0880E+01  2.6814E+01  2.6968E+01  6.9080E+00  8.1012E+00  1.1598E+01  1.3120E+01  9.1605E+00
  N     7    0  5.1592E+00  4.1740E+00  5.5878E+00  5.4942E+00  8.2094E+00  8.8174E+00  8.5264E+00  8.6918E+00  8.7673E+00
  O     8    0  2.0846E+01  2.3638E+01  2.6037E+01  2.8091E+01  9.6522E-01  9.1076E-01  9.7339E-01  1.0992E+00  6.4118E-01
  F     9    0  2.6036E+00  9.0780E+01  1.2868E+01  1.3933E+00  4.8800E-01  5.1287E-01  9.4761E-01  4.8584E-01  5.5680E-01
  Ne   10    0  4.1546E+00  5.2129E+00  6.2611E+00  1.4191E+01  1.3130E+00  1.4296E+00  1.8213E+00  1.9932E+00  1.9008E+00
  Na   11    0  4.5737E+00  4.3931E+00  5.9853E+00  1.1000E+01  4.0623E+00  4.5418E+00  4.9636E+00  5.2701E+00  5.6698E+00
  Mg   12    0  2.8754E+00  3.9409E+00  4.9655E+00  8.4361E+00  9.9091E-01  9.8952E-01  9.8769E-01  9.8944E-01  9.7425E-01
  Al   13    0  2.9581E+00  2.8346E+00  4.5443E+00  1.0411E+01  1.1885E+00  1.2281E+00  1.3149E+00  1.3807E+00  1.5587E+00
  Si   14    0  2.6188E+01  1.2423E+01  3.6458E+01  3.0552E+01  1.0002E+00  1.0002E+00  1.0004E+00  1.0008E+00  1.0008E+00
  P    15    0  1.4089E+01  1.2505E+01  2.1402E+01  2.3106E+01  1.0036E+00  1.0048E+00  1.0083E+00  1.0186E+00  1.0159E+00
  S    16    0  3.3087E+01  1.2691E+01  4.1694E+01  3.0756E+01  1.0000E+00  1.0000E+00  1.0001E+00  1.0001E+00  1.0001E+00
  Cl   17    0  4.9271E+00  4.5722E+00  7.2421E+00  5.2432E+00  1.0116E+00  1.0160E+00  1.0294E+00  1.0572E+00  1.0473E+00
  Ar   18    0  3.3420E+01  1.1253E+01  3.7469E+01  2.7901E+01  9.9850E-01  9.9794E-01  9.9625E-01  9.9268E-01  9.9396E-01
  K    19    0  5.8333E+00  6.6535E+00  7.5818E+00  5.1562E+00  1.0259E+00  1.0356E+00  1.0649E+00  1.1168E+00  1.1001E+00
  Ca   20    0  3.1302E+01  6.0514E+00  3.0477E+01  2.4249E+01  9.9887E-01  9.9845E-01  9.9719E-01  9.9503E-01  9.9574E-01
  Sc   21    0  7.4321E+00  1.3383E+01  1.6225E+01  1.1889E+01  1.0312E+00  1.0431E+00  1.0793E+00  1.1282E+00  1.1093E+00
  Ti   22    0  8.0939E+00  3.8734E+00  7.5758E+00  6.5120E+00  1.0005E+00  1.0007E+00  1.0013E+00  1.0029E+00  1.0023E+00
  V    23    0  1.4159E+01  3.5731E+01  1.3933E+01  9.3809E+00  1.0096E+00  1.0131E+00  1.0232E+00  1.0256E+00  1.0244E+00
  Cr   24    0  2.1199E+01  4.1493E+01  1.7186E+01  1.3376E+01  9.9980E-01  9.9975E-01  9.9950E-01  9.9927E-01  9.9938E-01
  Mn   25    0  1.6892E+01  8.8715E+01  1.4507E+01  9.8992E+00  1.0317E+00  1.0430E+00  1.0764E+00  1.1074E+00  1.0955E+00
  Fe   26    0  6.8375E+00  2.3468E+01  5.0633E+00  3.9112E+00  9.9978E-01  9.9963E-01  9.9942E-01  9.9909E-01  9.9923E-01
  Co   27    0  3.9869E+00  4.5666E+02  7.8475E+00  7.2184E+00  1.0493E+00  1.0679E+00  1.1253E+00  1.2053E+00  1.1699E+00
  Ni   28    0  4.0210E+00  1.3328E+03  4.1955E+00  3.3616E+00  9.9733E-01  9.9636E-01  9.9350E-01  9.9153E-01  9.9198E-01
  Cu   29    0  2.0597E+01  1.3059E+02  3.4501E+01  3.4980E+01  1.0319E+00  1.0437E+00  1.0805E+00  1.1776E+00  1.1398E+00
  Zn   30    0  1.1569E+01  9.2796E+02  1.9132E+01  1.9345E+01  9.9846E-01  9.9795E-01  9.9666E-01  1.0028E+00  9.9920E-01
  Ga   31    0  3.6622E+01  9.0932E+01  6.4678E+01  6.9314E+01  1.0139E+00  1.0190E+00  1.0342E+00  1.0654E+00  1.0554E+00
  Ge   32    0  1.8968E+01  5.9636E+01  3.9323E+01  3.8326E+01  1.0012E+00  1.0017E+00  1.0033E+00  1.0107E+00  1.0077E+00
  As   33    0  2.6692E+01  9.2681E+01  5.4644E+01  6.4939E+01  9.9651E-01  9.9533E-01  9.9179E-01  9.9188E-01  9.9161E-01
  Se   34    0  1.2976E+01  4.3867E+01  2.9607E+01  2.5490E+01  9.9962E-01  9.9948E-01  9.9906E-01  9.9982E-01  1.0007E+00
  Br   35    0  9.1308E+00  2.8173E+01  1.9230E+01  2.0649E+01  9.9518E-01  9.9327E-01  9.8744E-01  9.8294E-01  9.8430E-01
  Kr   36    0  8.0662E+00  2.8773E+01  1.5114E+01  1.4772E+01  1.0040E+00  1.0056E+00  1.0106E+00  1.0186E+00  1.0142E+00
  Rb   37    0  9.0292E+00  4.1930E+01  2.0136E+01  1.8861E+01  9.9643E-01  9.9510E-01  9.9112E-01  9.8573E-01  9.8745E-01
  Sr   38    0  1.0352E+01  4.1405E+01  1.3660E+01  1.6574E+01  1.0144E+00  1.0197E+00  1.0357E+00  1.0693E+00  1.0572E+00
  Y    39    0  6.1753E+00  2.4532E+01  9.6203E+00  9.0897E+00  1.0009E+00  1.0013E+00  1.0026E+00  1.0064E+00  1.0045E+00
  Zr   40    0  3.5155E+00  1.1684E+01  5.8132E+00  4.2427E+00  9.7054E-01  9.7059E-01  9.7068E-01  9.7201E-01  9.7143E-01
  Nb   41    0  1.8889E+00  5.4182E+00  3.0593E+00  2.6329E+00  9.8638E-01  9.8171E-01  9.6733E-01  9.6437E-01  9.6638E-01
  Mo   42    0  1.6609E+00  2.9102E+00  1.9887E+00  2.1106E+00  1.1658E+00  1.1691E+00  1.1790E+00  1.1807E+00  1.1804E+00
  Xe   54    0  1.0953E+00  1.6136E+00  1.2320E+00  1.2900E+00  9.9665E-01  9.9545E-01  9.9178E-01  9.8856E-01  9.8963E-01
  Cs   55    0  1.0320E+00  1.4024E+00  1.1015E+00  1.1318E+00  9.8255E-01  9.7651E-01  9.5783E-01  9.4729E-01  9.5171E-01
  Ba   56    0  1.3611E+00  1.9654E+00  1.5529E+00  1.6845E+00  1.0050E+00  1.0069E+00  1.0126E+00  1.0226E+00  1.0189E+00
  La   57    0  1.2187E+00  1.5896E+00  1.4626E+00  1.5269E+00  1.0006E+00  1.0008E+00  1.0015E+00  1.0037E+00  1.0028E+00
  Ce   58    0  1.0979E+00  1.2529E+00  1.2335E+00  1.2565E+00  1.0003E+00  1.0005E+00  1.0009E+00  1.0020E+00  1.0016E+00
  Pr   59    0  1.0385E+00  1.3949E+00  1.9039E+00  1.1798E+00  9.9209E-01  9.8933E-01  9.8107E-01  9.7125E-01  9.7380E-01
  Nd   60    0  1.0891E+00  1.1179E+00  1.0683E+00  1.3397E+00  1.0005E+00  1.0007E+00  1.0012E+00  1.0009E+00  1.0010E+00
  Hg   80    0  1.1103E+00  1.1471E+00  1.1279E+00  1.1000E+00  1.0067E+00  1.0091E+00  1.0162E+00  1.0244E+00  1.0226E+00
  Tl   81    0  9.9863E-01  1.0200E+00  9.9611E-01  1.0508E+00  9.9745E-01  9.9657E-01  9.9394E-01  9.9476E-01  9.9409E-01
  Pb   82    0  1.0712E+00  1.1086E+00  1.1618E+00  1.1925E+00  1.0017E+00  1.0023E+00  1.0042E+00  1.0080E+00  1.0066E+00
  Bi   83    0  9.0645E-01  8.1775E-01  8.9964E-01  9.1076E-01  9.9950E-01  9.9935E-01  9.9886E-01  9.9753E-01  9.9785E-01
  ele   Z    A    013a300     015a300     020a300     025a300     030a300     040a300     060a300     080a300     120a300
  H     1    0  5.1180E-01  5.0066E-01  4.6624E-01  3.9697E-01  5.2507E-01  5.0577E-01  4.1139E-01  4.1241E-01  4.2395E-01
  He    2    0  1.4070E+00  1.3673E+00  1.3480E+00  1.5044E+00  2.1985E+00  2.2345E+00  2.5209E+00  2.5411E+00  2.5261E+00
  Li    3    0  2.9189E-04  5.2142E-04  1.1210E-03  1.9286E-03  2.8331E-03  3.5629E-03  2.6063E-03  2.3980E-03  9.8925E-04
  Be    4    0  4.2959E-04  7.5325E-04  1.5657E-03  2.6230E-03  4.4941E-03  5.7025E-03  4.0076E-03  3.7958E-03  1.7493E-03
  B     5    0  1.6663E-02  1.7194E-02  1.5258E-02  1.8886E-02  3.2199E-02  4.0642E-02  3.6423E-02  3.8322E-02  2.7553E-02
  C     6    0  2.0531E+01  1.7941E+01  2.4989E+01  2.8506E+01  8.7649E+00  1.0703E+01  8.3634E+00  6.0387E+00  4.3942E+00
  N     7    0  6.8539E+00  8.3031E+00  1.0989E+01  6.6723E+00  1.0048E+01  9.5798E+00  9.3931E+00  9.9630E+00  1.0547E+01
  O     8    0  2.3636E+01  2.6210E+01  2.9626E+01  3.0039E+01  9.0655E-01  8.7212E-01  5.1002E-01  3.8409E-01  2.8047E-01
  F     9    0  9.2708E+01  1.7324E+01  1.4769E+01  8.9859E-01  5.1766E-01  7.5637E-01  8.9535E-01  3.5788E-01  2.4933E-01
  Ne   10    0  8.4477E+00  9.4528E+00  8.9568E+00  1.9158E+01  1.4802E+00  1.7218E+00  1.7676E+00  1.5255E+00  1.3200E+00
  Na   11    0  7.8047E+00  7.1457E+00  8.8653E+00  1.6871E+01  4.9092E+00  5.1617E+00  5.8564E+00  6.0562E+00  6.2676E+00
  Mg   12    0  4.8468E+00  5.2588E+00  5.5464E+00  9.4516E+00  9.8751E-01  9.8563E-01  9.7416E-01  9.7352E-01  9.7465E-01
  Al   13    0  4.3847E+00  4.7120E+00  5.9636E+00  1.2423E+01  1.2498E+00  1.2972E+00  1.4783E+00  1.5141E+00  1.5576E+00
  Si   14    0  3.0139E+01  3.1611E+01  3.8562E+01  2.8226E+01  1.0003E+00  1.0003E+00  1.0005E+00  1.0005E+00  1.0005E+00
  P    15    0  1.1780E+01  2.2890E+01  3.4407E+01  2.3317E+01  1.0058E+00  1.0074E+00  1.0066E+00  1.0092E+00  1.0063E+00
  S    16    0  4.7480E+01  3.3820E+01  4.3575E+01  2.8520E+01  1.0000E+00  1.0000E+00  1.0001E+00  1.0000E+00  1.0000E+00
