 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  Sc   21    0  3.2460E+00  7.0713E+00  1.0057E+01  1.1355E+01  3.1527E+01  3.7864E+01  1.9984E+01  2.7387E+02  2.4968E+02  6.8792E+02  5.7498E+02  5.5235E+03  1.2107E-07  2.5939E-07  3.7325E-07  3.0624E-08  9.5453E-08  1.2197E-07  3.7347E-09  7.4515E-08  7.1432E-08  1.2301E-08  1.4691E-08  1.5156E-07  3.2462E+00  1.1356E+01  2.0004E+01  6.8791E+02  1.2108E-07  3.0628E-08  3.7385E-09  1.2301E-08  4.6794E-08  4.6788E-09  4.6788E-10  4.6788E-11
  Ti   22    0  2.2444E+00  3.5390E+00  4.4302E+00  1.1951E+01  1.8828E+01  3.9110E+01  1.3020E+02  1.9600E+02  3.6806E+02  1.7494E+03  1.9170E+03  2.0337E+03  5.6246E-06  8.7223E-06  1.1047E-05  4.3210E-06  7.6419E-06  1.6888E-05  3.2619E-06  7.1490E-06  1.4116E-05  4.1935E-06  6.5661E-06  7.4806E-06  2.2445E+00  1.1952E+01  1.3021E+02  1.7494E+03  5.6247E-06  4.3212E-06  3.2622E-06  4.1937E-06  3.1440E-06  6.2722E-07  6.2722E-08  6.2722E-09
  V    23    0  3.2575E+00  9.9202E+00  1.0680E+01  2.8518E+01  3.5897E+01  8.8020E+01  2.2864E+02  2.6438E+02  7.7683E+02  2.3278E+03  1.7782E+03  7.1755E+03  8.2969E-07  2.4849E-06  2.7067E-06  5.2522E-07  7.4216E-07  1.9361E-06  2.9178E-07  4.9121E-07  1.5177E-06  2.8424E-07  3.1026E-07  1.3445E-06  3.2578E+00  2.8518E+01  2.2864E+02  2.3278E+03  8.2977E-07  5.2523E-07  2.9179E-07  2.8424E-07  3.1954E-07  3.1950E-08  3.1950E-09  3.1950E-10
  Cr   24    0  3.9889E+00  1.2119E+01  1.0025E+01  6.2235E+01  8.8247E+01  8.8052E+01  7.7163E+02  9.1992E+02  1.0137E+03  9.8981E+03  1.0268E+04  9.4504E+03  5.3187E-05  1.5892E-04  1.3301E-04  6.0004E-05  9.5513E-05  1.0139E-04  5.1550E-05  8.9476E-05  1.0367E-04  6.3272E-05  9.3790E-05  9.2699E-05  3.9894E+00  6.2237E+01  7.7164E+02  9.8981E+03  5.3193E-05  6.0006E-05  5.1552E-05  6.3274E-05  1.6728E-05  1.6726E-06  1.6726E-07  1.6726E-08
  Mn   25    0  3.6449E+00  1.7995E+01  1.3290E+01  3.5206E+01  4.5272E+01  7.4198E+01  3.2690E+02  3.3990E+02  8.1047E+02  3.3387E+03  2.6667E+03  7.8813E+03  3.1662E-05  1.5373E-04  1.1487E-04  2.2112E-05  3.1920E-05  5.5659E-05  1.4227E-05  2.1537E-05  5.3999E-05  1.3903E-05  1.5868E-05  5.0362E-05  3.6457E+00  3.5207E+01  3.2691E+02  3.3386E+03  3.1669E-05  2.2113E-05  1.4228E-05  1.3903E-05  1.0898E-05  1.0896E-06  1.0896E-07  1.0896E-08
  Fe   26    0  2.7803E+00  5.6038E+00  4.4005E+00  2.4891E+01  2.2950E+01  2.6577E+01  3.3187E+02  2.3140E+02  2.8624E+02  3.4355E+03  2.3923E+03  2.8794E+03  2.8845E-03  5.7178E-03  4.5428E-03  1.8673E-03  1.9327E-03  2.3812E-03  1.7251E-03  1.7512E-03  2.2778E-03  1.7087E-03  1.7002E-03  2.1975E-03  2.7804E+00  2.4891E+01  3.3186E+02  3.4354E+03  2.8846E-03  1.8673E-03  1.7251E-03  1.7087E-03  1.3016E-03  1.3014E-04  1.3014E-05  1.3014E-06
  Co   27    0  3.6818E+00  6.9892E+01  3.8576E+00  7.4647E+00  4.0536E+00  5.0431E+00  4.9854E+01  1.3737E+01  3.5964E+01  2.8898E+02  1.7852E+01  1.9974E+02  1.2456E-05  2.3255E-04  1.2986E-05  1.8262E-06  1.1132E-06  1.4735E-06  8.4510E-07  3.3901E-07  9.3330E-07  4.6872E-07  4.1374E-08  4.9714E-07  3.6852E+00  7.4645E+00  4.9851E+01  2.8896E+02  1.2468E-05  1.8261E-06  8.4507E-07  4.6870E-07  4.2445E-06  4.2440E-07  4.2440E-08  4.2440E-09
  Ni   28    0  3.3537E+00  1.9711E+02  5.3326E+00  1.2644E+01  7.6864E+00  1.8827E+01  1.1372E+02  4.3159E+01  1.6774E+02  7.3973E+02  2.9089E+02  2.0144E+03  1.9190E-04  1.1092E-02  3.0363E-04  5.2316E-05  3.5702E-05  9.3036E-05  3.2605E-05  1.8015E-05  7.3625E-05  2.0293E-05  1.1402E-05  8.4795E-05  3.3638E+00  1.2644E+01  1.1372E+02  7.3969E+02  1.9248E-04  5.2315E-05  3.2604E-05  2.0292E-05  7.1789E-05  7.1779E-06  7.1779E-07  7.1779E-08
  Cu   29    0  6.5423E+00  3.0810E+01  1.9292E+01  1.1183E+01  2.8560E+01  1.4165E+01  4.4157E+00  2.6468E+01  1.3052E+01  4.7519E+01  3.4064E+01  2.6606E+01  3.7826E-06  1.7519E-05  1.1098E-05  4.6754E-07  1.3404E-06  7.0726E-07  1.2792E-08  1.1163E-07  5.7882E-08  1.3171E-08  1.3491E-08  1.1316E-08  6.5436E+00  1.1184E+01  4.4175E+00  4.7518E+01  3.7833E-06  4.6759E-07  1.2797E-08  1.3171E-08  7.2535E-07  7.2526E-08  7.2526E-09  7.2526E-10
  Zn   30    0  2.9574E+00  1.4264E+02  1.2486E+01  7.1027E+00  2.2443E+01  1.3564E+01  1.3115E+01  2.0788E+01  1.2824E+01  9.6476E+01  1.6949E+01  3.6860E+01  4.1251E-06  1.9567E-04  1.7329E-05  7.1637E-07  2.5411E-06  1.6339E-06  9.1657E-08  2.1151E-07  1.3720E-07  6.4514E-08  1.6195E-08  3.7823E-08  2.9647E+00  7.1036E+00  1.3116E+01  9.6470E+01  4.1352E-06  7.1647E-07  9.1664E-08  6.4511E-08  1.7499E-06  1.7497E-07  1.7497E-08  1.7497E-09
