isotope,a,z,yield,mass,metallicity,irv
Ti46,46,22,1.8168e-05,15.0,0.0134,0.0
Ti47,47,22,4.172e-06,15.0,0.0134,0.0
Ti48,48,22,0.00010369,15.0,0.0134,0.0
Ti49,49,22,7.8874e-06,15.0,0.0134,0.0
Ti50,50,22,3.3961e-06,15.0,0.0134,0.0
V50,50,23,1.0173e-07,15.0,0.0134,0.0
V51,51,23,1.7921e-05,15.0,0.0134,0.0
Cr50,50,24,7.1517e-05,15.0,0.0134,0.0
Cr52,52,24,0.0009377,15.0,0.0134,0.0
Cr53,53,24,0.0001206,15.0,0.0134,0.0
Cr54,54,24,9.2528e-06,15.0,0.0134,0.0
Mn55,55,25,0.00067903,15.0,0.0134,0.0
Fe54,54,26,0.0055967,15.0,0.0134,0.0
Fe56,56,26,0.085099,15.0,0.0134,0.0
Fe57,57,26,0.0031108,15.0,0.0134,0.0
Fe58,58,26,0.00027807,15.0,0.0134,0.0
Co59,59,27,0.00031688,15.0,0.0134,0.0
Ni58,58,28,0.0057943,15.0,0.0134,0.0
Ni60,60,28,0.0014921,15.0,0.0134,0.0
Ni61,61,28,0.00010667,15.0,0.0134,0.0
Ni62,62,28,0.00069144,15.0,0.0134,0.0
Ni64,64,28,2.925e-05,15.0,0.0134,0.0
Cu63,63,29,2.9485e-05,15.0,0.0134,0.0
Cu65,65,29,1.6495e-05,15.0,0.0134,0.0
Zn64,64,30,2.118e-05,15.0,0.0134,0.0
Zn66,66,30,3.14e-05,15.0,0.0134,0.0
Zn67,67,30,2.5007e-06,15.0,0.0134,0.0
Zn68,68,30,1.1446e-05,15.0,0.0134,0.0
Zn70,70,30,3.5504e-07,15.0,0.0134,0.0
Ga69,69,31,1.8458e-06,15.0,0.0134,0.0
Ga71,71,31,1.146e-06,15.0,0.0134,0.0
Ge70,70,32,2.4631e-06,15.0,0.0134,0.0
Ge72,72,32,2.3279e-06,15.0,0.0134,0.0
Ge73,73,32,4.9153e-07,15.0,0.0134,0.0
Ge74,74,32,2.1979e-06,15.0,0.0134,0.0
Ge76,76,32,3.3954e-07,15.0,0.0134,0.0
As75,75,33,5.0689e-07,15.0,0.0134,0.0
Se74,74,34,1.3138e-07,15.0,0.0134,0.0
Se76,76,34,5.2e-07,15.0,0.0134,0.0
Se77,77,34,3.0034e-07,15.0,0.0134,0.0
Se78,78,34,6.8814e-07,15.0,0.0134,0.0
Se80,80,34,1.0381e-06,15.0,0.0134,0.0
Se82,82,34,2.006e-07,15.0,0.0134,0.0
Br79,79,35,2.0182e-07,15.0,0.0134,0.0
