  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Be    4    0  1.0436E-03  1.4951E-03  2.7644E-03  4.0502E-03  4.0475E-03  3.7400E-03  4.2411E-03  2.4539E-03  2.5409E-03
  B     5    0  6.4137E-02  5.4605E-02  4.9645E-02  4.4097E-02  4.0670E-02  4.1139E-02  4.4355E-02  3.7036E-02  4.6145E-02
  C     6    0  1.4189E+01  1.0880E+01  2.6814E+01  2.6968E+01  2.5582E+01  2.5515E+01  2.5254E+01  2.5422E+01  2.0253E+01
  N     7    0  5.1592E+00  4.1740E+00  5.5878E+00  5.4942E+00  5.5832E+00  6.2426E+00  6.1870E+00  6.3915E+00  7.1110E+00
  O     8    0  2.0846E+01  2.3638E+01  2.6037E+01  2.8091E+01  3.2120E+01  3.0175E+01  3.0081E+01  3.0526E+01  2.1427E+01
  F     9    0  2.6036E+00  9.0780E+01  1.2868E+01  1.3933E+00  5.9330E-01  6.4627E-01  7.3083E-01  3.8032E-01  4.5480E-01
  Ne   10    0  4.1546E+00  5.2129E+00  6.2611E+00  1.4191E+01  3.1766E+01  2.5068E+01  2.0722E+01  1.5180E+01  8.4340E+00
  Na   11    0  4.5737E+00  4.3931E+00  5.9853E+00  1.1000E+01  2.6633E+01  2.4148E+01  1.6702E+01  9.6636E+00  6.8432E+00
  Mg   12    0  2.8754E+00  3.9409E+00  4.9655E+00  8.4361E+00  1.2265E+01  1.0036E+01  1.0318E+01  9.3648E+00  7.1260E+00
  Al   13    0  2.9581E+00  2.8346E+00  4.5443E+00  1.0411E+01  1.6609E+01  1.3594E+01  1.0651E+01  7.4509E+00  4.4905E+00
  Si   14    0  2.6188E+01  1.2423E+01  3.6458E+01  3.0552E+01  1.7528E+01  1.7529E+01  1.9666E+01  2.1279E+01  1.5886E+01
  P    15    0  1.4089E+01  1.2505E+01  2.1402E+01  2.3106E+01  1.8658E+01  1.7917E+01  1.7457E+01  1.8224E+01  1.2993E+01
  S    16    0  3.3087E+01  1.2691E+01  4.1694E+01  3.0756E+01  1.7083E+01  1.9079E+01  2.1835E+01  2.3730E+01  1.6476E+01
  Cl   17    0  4.9271E+00  4.5722E+00  7.2421E+00  5.2432E+00  5.0983E+00  5.7450E+00  5.5884E+00  5.4796E+00  3.6934E+00
  Ar   18    0  3.3420E+01  1.1253E+01  3.7469E+01  2.7901E+01  1.5986E+01  1.8165E+01  1.9940E+01  2.1666E+01  1.4830E+01
  K    19    0  5.8333E+00  6.6535E+00  7.5818E+00  5.1562E+00  4.4046E+00  4.8710E+00  5.3051E+00  5.2742E+00  3.9041E+00
  Ca   20    0  3.1302E+01  6.0514E+00  3.0477E+01  2.4249E+01  1.4319E+01  1.5691E+01  1.5937E+01  1.8315E+01  1.2346E+01
  Sc   21    0  7.4321E+00  1.3383E+01  1.6225E+01  1.1889E+01  1.9052E+01  2.3562E+01  2.2118E+01  1.9779E+01  1.5204E+01
  Ti   22    0  8.0939E+00  3.8734E+00  7.5758E+00  6.5120E+00  4.8005E+00  5.1607E+00  5.1583E+00  4.6540E+00  3.6190E+00
  V    23    0  1.4159E+01  3.5731E+01  1.3933E+01  9.3809E+00  5.3940E+00  6.0242E+00  6.4794E+00  6.3901E+00  5.0694E+00
  Cr   24    0  2.1199E+01  4.1493E+01  1.7186E+01  1.3376E+01  7.5875E+00  8.1131E+00  6.6667E+00  5.4371E+00  4.0122E+00
  Mn   25    0  1.6892E+01  8.8715E+01  1.4507E+01  9.8992E+00  6.0253E+00  5.8582E+00  5.4980E+00  5.2490E+00  3.9294E+00
  Fe   26    0  6.8375E+00  2.3468E+01  5.0633E+00  3.9112E+00  3.1062E+00  2.5896E+00  2.1355E+00  1.9601E+00  1.6566E+00
